Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5e-06,20.689231,[33 16] ; [ 6 29],[22.75 26.25] ; [16.25 18.75],1
s3,1,0.000101,15.120552,[37 12] ; [12 24],[28.24705882 20.75294118] ; [20.75294118 15.24705882],1
s5,1,0.002065,9.490602,[17 33] ; [ 2 33],[11.17647059 38.82352941] ; [ 7.82352941 27.17647059],0
s2,1,0.003122,8.735024,[30 20] ; [10 26],[23.25581395 26.74418605] ; [16.74418605 19.25581395],0
a4,1,0.004217,8.187903,[ 6 43] ; [14 22],[11.52941176 37.47058824] ; [ 8.47058824 27.52941176],0
s8,1,0.00484,7.938411,[25 26] ; [ 7 29],[18.75862069 32.24137931] ; [13.24137931 22.75862069],0
r4,1,0.013867,6.055056,[46  5] ; [25 11],[41.62068966  9.37931034] ; [29.37931034  6.62068966],0
p5,1,0.013886,6.052575,[11 40] ; [ 1 34],[ 7.11627907 43.88372093] ; [ 4.88372093 30.11627907],0
d4,1,0.02813,4.820067,[32 19] ; [14 22],[26.96551724 24.03448276] ; [19.03448276 16.96551724],0
p8,1,0.048214,3.902521,[30 21] ; [13 22],[25.5 25.5] ; [17.5 17.5],0
a3,1,0.070232,3.277584,[28 22] ; [27  9],[31.97674419 18.02325581] ; [23.02325581 12.97674419],0
n3,1,0.093533,2.8125,[5 5] ; [7 1],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
p9,1,0.098267,2.733439,[43  8] ; [25 11],[39.86206897 11.13793103] ; [28.13793103  7.86206897],0
r2,1,0.100336,2.700188,[47  3] ; [29  6],[44.70588235  5.29411765] ; [31.29411765  3.70588235],0
v4,1,0.100336,2.700188,[47  3] ; [29  6],[44.70588235  5.29411765] ; [31.29411765  3.70588235],0
d3,1,0.120824,2.40661,[27 24] ; [13 23],[23.44827586 27.55172414] ; [16.55172414 19.44827586],0
u2,1,0.123828,2.36822,[14  8] ; [3 6],[12.06451613  9.93548387] ; [4.93548387 4.06451613],0
a8,1,0.135238,2.231326,[ 8 38] ; [ 2 31],[ 5.82278481 40.17721519] ; [ 4.17721519 28.82278481],0
p10,1,0.162098,1.954545,[40 10] ; [24 12],[37.20930233 12.79069767] ; [26.79069767  9.20930233],0
p7,1,0.177143,1.821429,[33 17] ; [18 17],[30. 20.] ; [21. 14.],0
p2,1,0.201521,1.631319,[39 12] ; [23 13],[36.34482759 14.65517241] ; [25.65517241 10.34482759],0
p6,1,0.212428,1.5548,[17 32] ; [ 8 28],[14.41176471 34.58823529] ; [10.58823529 25.41176471],0
p3,1,0.233579,1.418936,[22 29] ; [11 25],[19.34482759 31.65517241] ; [13.65517241 22.34482759],0
s4,1,0.323584,0.974404,[ 6 45] ; [ 2 34],[ 4.68965517 46.31034483] ; [ 3.31034483 32.68965517],0
a7,1,0.331568,0.942766,[33 18] ; [19 16],[30.8372093 20.1627907] ; [21.1627907 13.8372093],0
a2,1,0.361788,0.831678,[ 4 47] ; [ 5 31],[ 5.27586207 45.72413793] ; [ 3.72413793 32.27586207],0
s1,1,0.370242,0.802852,[ 3 47] ; [ 4 31],[ 4.11764706 45.88235294] ; [ 2.88235294 32.11764706],0
b1,1,0.374967,0.787139,[22 29] ; [19 17],[24.03448276 26.96551724] ; [16.96551724 19.03448276],0
p12,1,0.383866,0.758286,[ 2 49] ; [ 3 33],[ 2.93103448 48.06896552] ; [ 2.06896552 33.93103448],0
