Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.1e-05,19.285504,[28  3] ; [88 96],[16.7255814 14.2744186] ; [99.2744186 84.7255814],1
p3,1,0.000616,11.725981,[23  8] ; [ 76 109],[14.20833333 16.79166667] ; [ 84.79166667 100.20833333],1
u4,1,0.003122,8.734591,[ 3 28] ; [  2 184],[ 0.71428571 30.28571429] ; [  4.28571429 181.71428571],0
s5,1,0.003377,8.591909,[18 12] ; [ 58 122],[10.85714286 19.14285714] ; [ 65.14285714 114.85714286],0
p1,1,0.010292,6.583715,[ 6 25] ; [ 11 174],[ 2.43981481 28.56018519] ; [ 14.56018519 170.43981481],0
p7,1,0.015422,5.867656,[25  6] ; [105  77],[18.92018779 12.07981221] ; [111.07981221  70.92018779],0
p8,1,0.016668,5.730978,[21 10] ; [ 81 101],[14.84507042 16.15492958] ; [87.15492958 94.84507042],0
p12,1,0.048929,3.877795,[ 5 26] ; [ 11 171],[ 2.3286385 28.6713615] ; [ 13.6713615 168.3286385],0
s6,1,0.050559,3.822835,[23  6] ; [110  72],[18.27962085 10.72037915] ; [114.72037915  67.27962085],0
a1,1,0.052377,3.763686,[ 4 27] ; [  8 178],[ 1.71428571 29.28571429] ; [ 10.28571429 175.71428571],0
v3,1,0.071965,3.237614,[17 14] ; [ 69 114],[12.45794393 18.54205607] ; [ 73.54205607 109.45794393],0
p6,1,0.074112,3.189515,[15 15] ; [ 60 121],[10.66350711 19.33649289] ; [ 64.33649289 116.66350711],0
r4,1,0.132764,2.259883,[27  4] ; [139  47],[23.71428571  7.28571429] ; [142.28571429  43.71428571],0
d2,1,0.14898,2.082668,[19 12] ; [87 97],[15.28372093 15.71627907] ; [90.71627907 93.28372093],0
b4,1,0.14903,2.082155,[20 11] ; [94 92],[16.28571429 14.71428571] ; [97.71428571 88.28571429],0
v1,1,0.158645,1.987092,[19 11] ; [90 92],[15.4245283 14.5754717] ; [93.5754717 88.4245283],0
d1,1,0.16483,1.929342,[18 13] ; [ 83 103],[14.42857143 16.57142857] ; [86.57142857 99.42857143],0
s3,1,0.17397,1.848396,[20 11] ; [95 90],[16.50462963 14.49537037] ; [98.49537037 86.50462963],0
r3,1,0.178182,1.812724,[29  2] ; [157  29],[26.57142857  4.42857143] ; [159.42857143  26.57142857],0
n4,1,0.178182,1.812724,[29  2] ; [157  29],[26.57142857  4.42857143] ; [159.42857143  26.57142857],0
n1,1,0.178341,1.811396,[4 2] ; [23 37],[2.45454545 3.54545455] ; [24.54545455 35.45454545],0
p9,1,0.178806,1.807517,[28  3] ; [146  36],[25.32394366  5.67605634] ; [148.67605634  33.32394366],0
p2,1,0.197684,1.6594,[26  4] ; [140  44],[23.27102804  6.72897196] ; [142.72897196  41.27102804],0
u3,1,0.197775,1.65873,[5 4] ; [19 38],[3.27272727 5.72727273] ; [20.72727273 36.27272727],0
