Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.6e-05,17.063797,[4 4] ; [73  4],[7.24705882 0.75294118] ; [69.75294118  7.24705882],1
p4,1,0.000159,14.265263,[4 4] ; [71  5],[7.14285714 0.85714286] ; [67.85714286  8.14285714],1
r2,1,0.022686,5.192397,[5 2] ; [72  4],[6.4939759 0.5060241] ; [70.5060241  5.4939759],0
v1,1,0.041306,4.163436,[3 5] ; [53 20],[5.5308642 2.4691358] ; [50.4691358 22.5308642],0
a4,1,0.0465,3.963396,[1 7] ; [38 39],[3.67058824 4.32941176] ; [35.32941176 41.67058824],0
p6,1,0.069035,3.305823,[3 4] ; [57 19],[5.06024096 1.93975904] ; [54.93975904 21.06024096],0
s8,1,0.08544,2.958266,[3 5] ; [51 24],[5.20481928 2.79518072] ; [48.79518072 26.20481928],0
s3,1,0.091071,2.855343,[3 5] ; [50 24],[5.17073171 2.82926829] ; [47.82926829 26.17073171],0
s7,1,0.107547,2.589902,[4 4] ; [55 17],[5.9 2.1] ; [53.1 18.9],0
d1,1,0.108055,2.582434,[3 5] ; [51 26],[5.08235294 2.91764706] ; [48.91764706 28.08235294],0
d2,1,0.137072,2.210526,[2 6] ; [40 36],[4. 4.] ; [38. 38.],0
s2,1,0.143231,2.142895,[3 5] ; [48 27],[4.91566265 3.08433735] ; [46.08433735 28.91566265],0
v4,1,0.156636,2.00641,[7 1] ; [73  2],[7.71084337 0.28915663] ; [72.28915663  2.71084337],0
r1,1,0.162318,1.952496,[5 3] ; [63 13],[6.47619048 1.52380952] ; [61.52380952 14.47619048],0
p3,1,0.162318,1.952496,[5 3] ; [63 13],[6.47619048 1.52380952] ; [61.52380952 14.47619048],0
a3,1,0.279939,1.167388,[5 3] ; [61 16],[6.21176471 1.78823529] ; [59.78823529 17.21176471],0
n6,1,0.285943,1.138623,[7 1] ; [72  3],[7.61445783 0.38554217] ; [71.38554217  3.61445783],0
s5,1,0.291351,1.113368,[6 1] ; [45 23],[4.76 2.24] ; [46.24 21.76],0
p7,1,0.302611,1.062652,[6 2] ; [66  9],[6.93975904 1.06024096] ; [65.06024096  9.93975904],0
a7,1,0.363886,0.824438,[7 1] ; [56 21],[5.92941176 2.07058824] ; [57.07058824 19.92941176],0
d3,1,0.375323,0.785965,[4 4] ; [50 26],[5.14285714 2.85714286] ; [48.85714286 27.14285714],0
a6,1,0.466029,0.531377,[4 4] ; [48 28],[4.95238095 3.04761905] ; [47.04761905 28.95238095],0
a5,1,0.527976,0.398286,[7 1] ; [60 17],[6.30588235 1.69411765] ; [60.69411765 16.30588235],0
v2,1,0.605917,0.266163,[4 4] ; [44 30],[4.68292683 3.31707317] ; [43.31707317 30.68292683],0
s1,1,0.644783,0.21254,[1 7] ; [ 6 71],[0.65882353 7.34117647] ; [ 6.34117647 70.65882353],0
d5,1,0.652171,0.203173,[6 2] ; [62 14],[6.47619048 1.52380952] ; [61.52380952 14.47619048],0
b5,1,0.666687,0.185502,[3 5] ; [35 42],[3.57647059 4.42352941] ; [34.42352941 42.57647059],0
p12,1,0.733035,0.116343,[3 5] ; [24 52],[2.57142857 5.42857143] ; [24.42857143 51.57142857],0
a1,1,0.817553,0.053219,[1 7] ; [12 65],[1.22352941 6.77647059] ; [11.77647059 65.22352941],0
r4,1,0.853509,0.034093,[7 1] ; [69  8],[7.15294118 0.84705882] ; [68.84705882  8.15294118],0
p2,1,0.853509,0.034093,[7 1] ; [69  8],[7.15294118 0.84705882] ; [68.84705882  8.15294118],0
d4,1,0.879389,0.023026,[7 1] ; [65 11],[6.85714286 1.14285714] ; [65.14285714 10.85714286],0
s6,1,0.890656,0.018899,[7 1] ; [60 10],[6.87179487 1.12820513] ; [60.12820513  9.87179487],0
u3,1,0.8908,0.018849,[2 1] ; [10  6],[1.89473684 1.10526316] ; [10.10526316  5.89473684],0
b3,1,0.931376,0.007416,[3 3] ; [28 26],[3.1 2.9] ; [27.9 26.1],0
b2,1,0.931376,0.007416,[3 3] ; [28 26],[3.1 2.9] ; [27.9 26.1],0
a8,1,0.93269,0.007134,[1 6] ; [11 60],[1.07692308 5.92307692] ; [10.92307692 60.07692308],0
b4,1,0.935676,0.006513,[5 3] ; [47 30],[4.89411765 3.10588235] ; [47.10588235 29.89411765],0
p11,1,0.945929,0.0046,[7 1] ; [68  9],[7.05882353 0.94117647] ; [67.94117647  9.05882353],0
s4,1,0.947314,0.004367,[1 7] ; [10 65],[1.06024096 6.93975904] ; [ 9.93975904 65.06024096],0
v3,1,0.985064,0.00035,[5 3] ; [46 28],[4.97560976 3.02439024] ; [46.02439024 27.97560976],0
n2,1,1.0,0.0,[3 1] ; [12  4],[3. 1.] ; [12.  4.],0
