Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.000105,15.049103,[ 9 17] ; [70 23],[17.2605042  8.7394958] ; [61.7394958 31.2605042],1
p10,1,0.000133,14.596388,[12 15] ; [75 17],[19.7394958  7.2605042] ; [67.2605042 24.7394958],1
b1,1,0.000744,11.375046,[21  7] ; [36 57],[13.19008264 14.80991736] ; [43.80991736 49.19008264],1
p9,1,0.001321,10.312318,[17 11] ; [79 11],[22.77966102  5.22033898] ; [73.22033898 16.77966102],0
r4,1,0.001676,9.87444,[ 9 19] ; [61 32],[16.19834711 11.80165289] ; [53.80165289 39.19834711],0
p8,1,0.004615,8.024495,[ 4 22] ; [42 49],[10.22222222 15.77777778] ; [35.77777778 55.22222222],0
d2,1,0.005542,7.693608,[21  7] ; [41 50],[14.58823529 13.41176471] ; [47.41176471 43.58823529],0
v4,1,0.006076,7.52765,[18 10] ; [81 12],[22.90909091  5.09090909] ; [76.09090909 16.90909091],0
p11,1,0.007513,7.146135,[14 14] ; [71 22],[19.66942149  8.33057851] ; [65.33057851 27.66942149],0
n5,1,0.026926,4.895539,[16 12] ; [72 20],[20.53333333  7.46666667] ; [67.46666667 24.53333333],0
r3,1,0.031021,4.651817,[19  9] ; [79 13],[22.86666667  5.13333333] ; [75.13333333 16.86666667],0
s6,1,0.032382,4.578173,[11 17] ; [56 34],[15.89830508 12.10169492] ; [51.10169492 38.89830508],0
p3,1,0.059782,3.543424,[ 8 18] ; [48 45],[12.23529412 13.76470588] ; [43.76470588 49.23529412],0
d4,1,0.06246,3.470831,[19  9] ; [78 15],[22.44628099  5.55371901] ; [74.55371901 18.44628099],0
a3,1,0.075335,3.16277,[25  3] ; [68 25],[21.52066116  6.47933884] ; [71.47933884 21.52066116],0
s5,1,0.077378,3.119134,[ 4 22] ; [29 58],[ 7.59292035 18.40707965] ; [25.40707965 61.59292035],0
r2,1,0.086324,2.941625,[18  8] ; [75 14],[21.02608696  4.97391304] ; [71.97391304 17.02608696],0
n4,1,0.107723,2.587319,[16 12] ; [68 25],[19.43801653  8.56198347] ; [64.56198347 28.43801653],0
a8,1,0.123292,2.37499,[ 5 23] ; [ 7 83],[ 2.84745763 25.15254237] ; [ 9.15254237 80.84745763],0
p6,1,0.124877,2.355059,[ 5 20] ; [33 58],[ 8.18965517 16.81034483] ; [29.81034483 61.18965517],0
s7,1,0.132847,2.258911,[ 8 19] ; [40 47],[11.36842105 15.63157895] ; [36.63157895 50.36842105],0
p4,1,0.148597,2.086599,[11 16] ; [52 40],[14.29411765 12.70588235] ; [48.70588235 43.29411765],0
a4,1,0.162741,1.948574,[17 11] ; [42 50],[13.76666667 14.23333333] ; [45.23333333 46.76666667],0
a1,1,0.165608,1.922257,[ 5 23] ; [ 8 85],[ 3.00826446 24.99173554] ; [ 9.99173554 83.00826446],0
p1,1,0.165608,1.922257,[ 5 23] ; [ 8 85],[ 3.00826446 24.99173554] ; [ 9.99173554 83.00826446],0
s2,1,0.168318,1.89786,[10 18] ; [47 46],[13.19008264 14.80991736] ; [43.80991736 49.19008264],0
b2,1,0.21182,1.558941,[ 5 13] ; [24 30],[ 7.25 10.75] ; [21.75 32.25],0
b3,1,0.21182,1.558941,[ 5 13] ; [24 30],[ 7.25 10.75] ; [21.75 32.25],0
s8,1,0.218247,1.515862,[ 7 21] ; [35 58],[ 9.71900826 18.28099174] ; [32.28099174 60.71900826],0
v3,1,0.248886,1.329545,[ 5 21] ; [28 63],[ 7.33333333 18.66666667] ; [25.66666667 65.33333333],0
p5,1,0.258333,1.277671,[ 1 26] ; [10 82],[ 2.49579832 24.50420168] ; [ 8.50420168 83.49579832],0
u1,1,0.303599,1.058317,[ 1 27] ; [ 9 84],[ 2.31404959 25.68595041] ; [ 7.68595041 85.31404959],0
n1,1,0.322873,0.977273,[6 5] ; [12 20],[4.60465116 6.39534884] ; [13.39534884 18.60465116],0
d3,1,0.337224,0.920957,[14 14] ; [56 37],[16.19834711 11.80165289] ; [53.80165289 39.19834711],0
s1,1,0.338444,0.916316,[ 2 25] ; [ 3 90],[ 1.125 25.875] ; [ 3.875 89.125],0
v1,1,0.348808,0.877789,[ 9 17] ; [40 49],[11.07826087 14.92173913] ; [37.92173913 51.07826087],0
a2,1,0.356683,0.849538,[ 7 21] ; [16 77],[ 5.32231405 22.67768595] ; [17.67768595 75.32231405],0
a6,1,0.404892,0.693749,[21  7] ; [62 31],[19.20661157  8.79338843] ; [63.79338843 29.20661157],0
p7,1,0.415864,0.661973,[12 16] ; [47 44],[13.88235294 14.11764706] ; [45.11764706 45.88235294],0
u3,1,0.495947,0.463599,[2 1] ; [11 13],[1.44444444 1.55555556] ; [11.55555556 12.44444444],0
s3,1,0.526432,0.401274,[15 13] ; [43 49],[13.53333333 14.46666667] ; [44.46666667 47.53333333],0
n2,1,0.529183,0.39596,[9 4] ; [25  7],[9.82222222 3.17777778] ; [24.17777778  7.82222222],0
b4,1,0.581644,0.303584,[14 14] ; [52 41],[15.27272727 12.72727273] ; [50.72727273 42.27272727],0
b5,1,0.619116,0.247111,[16 12] ; [58 35],[17.12396694 10.87603306] ; [56.87603306 36.12396694],0
s4,1,0.624693,0.239327,[ 4 24] ; [17 76],[ 4.85950413 23.14049587] ; [16.14049587 76.85950413],0
a7,1,0.694105,0.154678,[16 12] ; [57 36],[16.89256198 11.10743802] ; [56.10743802 36.89256198],0
u2,1,0.724263,0.124444,[1 2] ; [11 14],[1.28571429 1.71428571] ; [10.71428571 14.28571429],0
d5,1,0.81418,0.055242,[24  4] ; [78 15],[23.60330579  4.39669421] ; [78.39669421 14.60330579],0
n3,1,0.816099,0.054087,[9 4] ; [21 11],[8.66666667 4.33333333] ; [21.33333333 10.66666667],0
v2,1,0.845052,0.038195,[11 16] ; [39 52],[11.44067797 15.55932203] ; [38.55932203 52.44067797],0
p12,1,0.91062,0.012602,[ 1 26] ; [ 3 89],[ 0.90756303 26.09243697] ; [ 3.09243697 88.90756303],0
d1,1,0.988515,0.000207,[16 12] ; [53 40],[15.96694215 12.03305785] ; [53.03305785 39.96694215],0
