Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,32.480185,[49 22] ; [ 82 177],[28.18484848 42.81515152] ; [102.81515152 156.18484848],1
s6,1,0.0,31.259313,[59 12] ; [120 142],[38.16516517 32.83483483] ; [140.83483483 121.16516517],1
s7,1,2.8e-05,17.542427,[38 30] ; [ 71 177],[23.4556962 44.5443038] ; [ 85.5443038 162.4556962],1
s3,1,0.000124,14.738444,[45 25] ; [100 159],[30.85106383 39.14893617] ; [114.14893617 144.85106383],1
s8,1,0.000335,12.864043,[33 37] ; [ 66 197],[20.81081081 49.18918919] ; [ 78.18918919 184.81081081],1
s4,1,0.000823,11.189737,[20 50] ; [ 32 230],[10.96385542 59.03614458] ; [ 41.03614458 220.96385542],1
d4,1,0.003387,8.58655,[63  7] ; [193  70],[53.81381381 16.18618619] ; [202.18618619  60.81381381],0
p12,1,0.007658,7.111704,[ 9 62] ; [ 11 251],[ 4.26426426 66.73573574] ; [ 15.73573574 246.26426426],0
p10,1,0.029466,4.740179,[53 18] ; [157 102],[45.18181818 25.81818182] ; [164.81818182  94.18181818],0
r2,1,0.036654,4.366399,[68  3] ; [227  34],[63.0873494  7.9126506] ; [231.9126506  29.0873494],0
d2,1,0.03707,4.347192,[40 29] ; [115 147],[32.31117825 36.68882175] ; [122.68882175 139.31117825],0
r4,1,0.059827,3.542179,[60 11] ; [194  69],[53.99401198 17.00598802] ; [200.00598802  62.99401198],0
p3,1,0.071382,3.250962,[25 46] ; [ 64 197],[19.03313253 51.96686747] ; [ 69.96686747 191.03313253],0
p8,1,0.090761,2.860815,[10 60] ; [ 62 200],[15.18072289 54.81927711] ; [ 56.81927711 205.18072289],0
d1,1,0.095706,2.77568,[43 28] ; [130 133],[36.7754491 34.2245509] ; [136.2245509 126.7754491],0
n1,1,0.097051,2.753344,[12 10] ; [34 62],[ 8.57627119 13.42372881] ; [37.42372881 58.57627119],0
a4,1,0.11339,2.506327,[36 35] ; [105 156],[30.15361446 40.84638554] ; [110.84638554 150.15361446],0
b5,1,0.136381,2.218328,[49 22] ; [156 107],[43.57784431 27.42215569] ; [161.42215569 101.57784431],0
p9,1,0.155452,2.017922,[53 16] ; [174  82],[48.19384615 20.80615385] ; [178.80615385  77.19384615],0
s1,1,0.170313,1.880189,[ 5 65] ; [  9 253],[ 2.95180723 67.04819277] ; [ 11.04819277 250.95180723],0
p6,1,0.171313,1.871412,[13 57] ; [ 32 229],[ 9.51661631 60.48338369] ; [ 35.48338369 225.51661631],0
u3,1,0.191867,1.70322,[14  7] ; [50 48],[11.29411765  9.70588235] ; [52.70588235 45.29411765],0
p4,1,0.198922,1.650269,[31 40] ; [ 93 170],[26.35928144 44.64071856] ; [ 97.64071856 165.35928144],0
d3,1,0.206408,1.596446,[49 22] ; [160 103],[44.42814371 26.57185629] ; [164.57185629  98.42814371],0
n2,1,0.208511,1.581732,[17  5] ; [60 35],[14.47863248  7.52136752] ; [62.52136752 32.47863248],0
v4,1,0.217945,1.517854,[64  7] ; [221  41],[60.76576577 10.23423423] ; [224.23423423  37.76576577],0
b4,1,0.227539,1.456177,[49 22] ; [161 102],[44.64071856 26.35928144] ; [165.35928144  97.64071856],0
d5,1,0.234558,1.413009,[57 14] ; [193  70],[53.14371257 17.85628743] ; [196.85628743  66.14371257],0
n6,1,0.25288,1.307322,[57 14] ; [193  69],[53.3033033 17.6966967] ; [196.6966967  65.3033033],0
a3,1,0.259891,1.269338,[50 21] ; [165  96],[45.97891566 25.02108434] ; [169.02108434  91.97891566],0
n4,1,0.289145,1.123599,[45 26] ; [184  79],[48.67964072 22.32035928] ; [180.32035928  82.67964072],0
v1,1,0.374085,0.790051,[32 39] ; [100 155],[28.74846626 42.25153374] ; [103.25153374 151.74846626],0
a6,1,0.380421,0.769342,[43 28] ; [174  89],[46.12874251 24.87125749] ; [170.87125749  92.12874251],0
p11,1,0.414535,0.665755,[43 28] ; [173  90],[45.91616766 25.08383234] ; [170.08383234  92.91616766],0
u1,1,0.439713,0.597032,[12 59] ; [ 35 228],[ 9.99101796 61.00898204] ; [ 37.00898204 225.99101796],0
a8,1,0.446892,0.578522,[ 4 59] ; [ 23 222],[ 5.52272727 57.47727273] ; [ 21.47727273 223.52272727],0
p1,1,0.467642,0.527541,[ 7 64] ; [ 19 243],[ 5.54354354 65.45645646] ; [ 20.45645646 241.54354354],0
b1,1,0.502185,0.450316,[29 42] ; [ 96 167],[26.57185629 44.42814371] ; [ 98.42814371 164.57185629],0
a2,1,0.508172,0.43783,[16 55] ; [ 50 213],[14.02994012 56.97005988] ; [ 51.97005988 211.02994012],0
a5,1,0.528694,0.396901,[49 22] ; [171  92],[46.76646707 24.23353293] ; [173.23353293  89.76646707],0
u4,1,0.54,0.37554,[ 1 70] ; [  7 256],[ 1.7005988 69.2994012] ; [  6.2994012 256.7005988],0
r1,1,0.553202,0.351613,[51 19] ; [182  81],[48.97897898 21.02102102] ; [184.02102102  78.97897898],0
v2,1,0.587851,0.293712,[34 35] ; [114 136],[32.01253918 36.98746082] ; [115.98746082 134.01253918],0
n5,1,0.589992,0.290356,[45 26] ; [175  87],[46.90690691 24.09309309] ; [173.09309309  88.90690691],0
r3,1,0.612315,0.256818,[62  8] ; [226  36],[60.72289157  9.27710843] ; [227.27710843  34.72289157],0
u2,1,0.680154,0.169953,[11 10] ; [46 51],[10.1440678 10.8559322] ; [46.8559322 50.1440678],0
a1,1,0.707666,0.140619,[ 4 67] ; [ 12 251],[ 3.4011976 67.5988024] ; [ 12.5988024 250.4011976],0
a7,1,0.756322,0.096295,[49 21] ; [179  84],[47.92792793 22.07207207] ; [180.07207207  82.92792793],0
p2,1,0.761696,0.091963,[47 24] ; [169  94],[45.91616766 25.08383234] ; [170.08383234  92.91616766],0
b2,1,0.79473,0.06769,[15 28] ; [53 90],[15.72043011 27.27956989] ; [52.27956989 90.72043011],0
b3,1,0.79473,0.06769,[15 28] ; [53 90],[15.72043011 27.27956989] ; [52.27956989 90.72043011],0
n3,1,0.958337,0.002729,[13  8] ; [57 36],[12.89473684  8.10526316] ; [57.10526316 35.89473684],0
v3,1,0.974063,0.001057,[21 47] ; [ 77 174],[20.89028213 47.10971787] ; [ 77.10971787 173.89028213],0
