Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,21.665652,[17 16] ; [99 13],[26.4  6.6] ; [89.6 22.4],1
n5,1,2.8e-05,17.542956,[18 15] ; [99 14],[26.44520548  6.55479452] ; [90.55479452 22.44520548],1
p9,1,0.000102,15.108134,[21 12] ; [103  10],[28.02739726  4.97260274] ; [95.97260274 17.02739726],1
n4,1,0.002322,9.275833,[20 13] ; [96 17],[26.21917808  6.78082192] ; [89.78082192 23.21917808],0
p7,1,0.017288,5.666907,[19 14] ; [87 24],[24.29166667  8.70833333] ; [81.70833333 29.29166667],0
n6,1,0.018889,5.511746,[22 11] ; [96 17],[26.67123288  6.32876712] ; [91.32876712 21.67123288],0
b1,1,0.021115,5.317245,[23 10] ; [53 60],[17.17808219 15.82191781] ; [58.82191781 54.17808219],0
a5,1,0.02278,5.185215,[17 16] ; [82 31],[22.37671233 10.62328767] ; [76.62328767 36.37671233],0
v1,1,0.024099,5.087477,[12 21] ; [64 45],[17.66197183 15.33802817] ; [58.33802817 50.66197183],0
d5,1,0.02426,5.075979,[21 12] ; [92 20],[25.71724138  7.28275862] ; [87.28275862 24.71724138],0
p2,1,0.037221,4.340264,[23 10] ; [95 16],[27.04166667  5.95833333] ; [90.95833333 20.04166667],0
a3,1,0.063132,3.453145,[19 14] ; [84 29],[23.28082192  9.71917808] ; [79.71917808 33.28082192],0
p6,1,0.092099,2.837302,[11 22] ; [55 55],[15.23076923 17.76923077] ; [50.76923077 59.23076923],0
s8,1,0.104597,2.63402,[14 19] ; [66 47],[18.08219178 14.91780822] ; [61.91780822 51.08219178],0
r2,1,0.126185,2.338823,[26  7] ; [98 12],[28.61538462  4.38461538] ; [95.38461538 14.61538462],0
p8,1,0.128477,2.310816,[17 16] ; [74 38],[20.71034483 12.28965517] ; [70.28965517 41.71034483],0
b3,1,0.137198,2.209105,[ 5 14] ; [36 44],[ 7.86868687 11.13131313] ; [33.13131313 46.86868687],0
b2,1,0.137198,2.209105,[ 5 14] ; [36 44],[ 7.86868687 11.13131313] ; [33.13131313 46.86868687],0
u3,1,0.159102,1.982743,[9 5] ; [12 17],[6.8372093 7.1627907] ; [14.1627907 14.8372093],0
b4,1,0.181311,1.786846,[21 12] ; [57 56],[17.63013699 15.36986301] ; [60.36986301 52.63013699],0
r1,1,0.187734,1.735311,[20 13] ; [82 31],[23.05479452  9.94520548] ; [78.94520548 34.05479452],0
d1,1,0.208118,1.584473,[14 19] ; [62 51],[17.17808219 15.82191781] ; [58.82191781 54.17808219],0
a6,1,0.220199,1.503073,[ 9 24] ; [44 69],[11.97945205 21.02054795] ; [41.02054795 71.97945205],0
v4,1,0.223835,1.479613,[28  5] ; [103   9],[29.8137931  3.1862069] ; [101.1862069  10.8137931],0
b5,1,0.231911,1.4291,[17 16] ; [45 68],[14.01369863 18.98630137] ; [47.98630137 65.01369863],0
a2,1,0.265178,1.241519,[ 1 32] ; [ 10 103],[ 2.48630137 30.51369863] ; [  8.51369863 104.48630137],0
p3,1,0.304788,1.053128,[19 14] ; [76 37],[21.47260274 11.52739726] ; [73.52739726 39.47260274],0
a4,1,0.325764,0.965662,[13 20] ; [55 57],[15.47586207 17.52413793] ; [52.52413793 59.47586207],0
n1,1,0.327929,0.957058,[7 4] ; [11 13],[5.65714286 5.34285714] ; [12.34285714 11.65714286],0
r3,1,0.353577,0.860578,[29  4] ; [105   8],[30.28767123  2.71232877] ; [103.71232877   9.28767123],0
p12,1,0.389492,0.740529,[ 1 32] ; [  8 104],[ 2.04827586 30.95172414] ; [  6.95172414 105.04827586],0
s2,1,0.394613,0.724682,[20 13] ; [59 54],[17.85616438 15.14383562] ; [61.14383562 51.85616438],0
s6,1,0.420863,0.647905,[25  7] ; [78 32],[23.21126761  8.78873239] ; [79.78873239 30.21126761],0
p5,1,0.491043,0.47424,[ 5 28] ; [23 89],[ 6.37241379 26.62758621] ; [21.62758621 90.37241379],0
s1,1,0.535165,0.384574,[ 2 31] ; [  4 107],[ 1.375 31.625] ; [  4.625 106.375],0
d4,1,0.555176,0.348126,[24  9] ; [87 25],[25.26206897  7.73793103] ; [85.73793103 26.26206897],0
p1,1,0.585232,0.297852,[ 4 29] ; [ 10 102],[ 3.1862069 29.8137931] ; [ 10.8137931 101.1862069],0
v3,1,0.651415,0.204121,[12 19] ; [48 63],[13.09859155 17.90140845] ; [46.90140845 64.09859155],0
a8,1,0.652417,0.202866,[ 5 28] ; [13 94],[ 4.24285714 28.75714286] ; [13.75714286 93.24285714],0
u2,1,0.661076,0.19222,[7 7] ; [16 12],[7.66666667 6.33333333] ; [15.33333333 12.66666667],0
n3,1,0.670269,0.181287,[7 4] ; [17  7],[7.54285714 3.45714286] ; [16.45714286  7.54285714],0
