Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,97.472107,[ 98 131] ; [482 134],[157.18343195  71.81656805] ; [422.81656805 193.18343195],1
d3,1,0.0,87.775297,[103 126] ; [483 133],[158.80946746  70.19053254] ; [427.19053254 188.80946746],1
a2,1,0.0,34.632655,[ 23 206] ; [183 436],[ 55.62971698 173.37028302] ; [150.37028302 468.62971698],1
u1,1,0.0,28.453031,[ 15 214] ; [139 480],[ 41.58726415 187.41273585] ; [112.41273585 506.58726415],1
b5,1,4e-06,21.204512,[110 119] ; [405 214],[139.07429245  89.92570755] ; [375.92570755 243.07429245],1
d1,1,0.000422,12.432436,[114 115] ; [391 228],[136.37382075  92.62617925] ; [368.62617925 250.37382075],1
p2,1,0.001084,10.677556,[170  55] ; [524  91],[185.89285714  39.10714286] ; [508.10714286 106.89285714],0
b1,1,0.004093,8.242013,[103 126] ; [212 407],[ 85.06485849 143.93514151] ; [229.93514151 389.06485849],0
r1,1,0.004287,8.157902,[176  53] ; [523  91],[189.88256228  39.11743772] ; [509.11743772 104.88256228],0
d5,1,0.005467,7.718207,[172  56] ; [517 100],[185.90769231  42.09230769] ; [503.09230769 113.90769231],0
p10,1,0.007286,7.201147,[166  58] ; [503 107],[179.68345324  44.31654676] ; [489.31654676 120.68345324],0
d4,1,0.008972,6.828366,[175  52] ; [523  94],[187.73222749  39.26777251] ; [510.26777251 106.73222749],0
v2,1,0.013469,6.106473,[110 109] ; [354 237],[125.45185185  93.54814815] ; [338.54814815 252.45185185],0
p4,1,0.014926,5.925149,[117 108] ; [376 237],[132.36873508  92.63126492] ; [360.63126492 252.36873508],0
r4,1,0.024325,5.071344,[211  18] ; [594  25],[217.3879717  11.6120283] ; [587.6120283  31.3879717],0
s5,1,0.031299,4.636503,[ 87 129] ; [191 403],[ 74.13333333 141.86666667] ; [203.86666667 390.13333333],0
b3,1,0.045489,4.00042,[65 80] ; [127 233],[55.12871287 89.87128713] ; [136.87128713 223.12871287],0
b2,1,0.045489,4.00042,[65 80] ; [127 233],[55.12871287 89.87128713] ; [136.87128713 223.12871287],0
v4,1,0.052727,3.752551,[215  12] ; [601  16],[219.46919431   7.53080569] ; [596.53080569  20.46919431],0
u3,1,0.076567,3.136314,[35 34] ; [111  65],[41.11836735 27.88163265] ; [104.88163265  71.11836735],0
p9,1,0.085809,2.951283,[181  45] ; [517  91],[189.14628297  36.85371703] ; [508.85371703  99.14628297],0
p8,1,0.106089,2.611529,[104 119] ; [322 286],[114.31768953 108.68231047] ; [311.68231047 296.31768953],0
n1,1,0.108783,2.571811,[28 34] ; [40 81],[23.03825137 38.96174863] ; [44.96174863 76.03825137],0
a5,1,0.128588,2.309467,[159  70] ; [462 157],[167.69929245  61.30070755] ; [453.30070755 165.69929245],0
s7,1,0.133427,2.252176,[118 102] ; [281 308],[108.50432633 111.49567367] ; [290.49567367 298.50432633],0
s8,1,0.136184,2.220555,[110 118] ; [261 353],[100.4608076 127.5391924] ; [270.5391924 343.4608076],0
n6,1,0.144464,2.129757,[184  43] ; [524  91],[190.87410926  36.12589074] ; [517.12589074  97.87410926],0
a1,1,0.254692,1.297383,[ 13 216] ; [ 24 595],[  9.99174528 219.00825472] ; [ 27.00825472 591.99174528],0
p12,1,0.259633,1.270715,[ 13 210] ; [ 50 563],[ 16.80502392 206.19497608] ; [ 46.19497608 566.80502392],0
u2,1,0.277298,1.180286,[34 34] ; [101  74],[37.77777778 30.22222222] ; [97.22222222 77.77777778],0
n2,1,0.297957,1.083314,[50 13] ; [89 34],[47.08064516 15.91935484] ; [91.91935484 31.08064516],0
s3,1,0.350662,0.87106,[136  91] ; [343 266],[130.06339713  96.93660287] ; [348.93660287 260.06339713],0
b4,1,0.350851,0.870375,[128 101] ; [368 251],[133.94339623  95.05660377] ; [362.05660377 256.94339623],0
a8,1,0.38975,0.739722,[ 26 192] ; [ 79 474],[ 29.68871595 188.31128405] ; [ 75.31128405 477.68871595],0
s2,1,0.399007,0.711316,[112 115] ; [322 290],[117.42312277 109.57687723] ; [316.57687723 295.42312277],0
v3,1,0.405382,0.692304,[ 83 137] ; [242 349],[ 88.16276202 131.83723798] ; [236.83723798 354.16276202],0
s6,1,0.455753,0.556305,[144  76] ; [414 193],[148.4401451  71.5598549] ; [409.5598549 197.4401451],0
s4,1,0.462161,0.540655,[ 42 186] ; [ 99 509],[ 38.45454545 189.54545455] ; [102.54545455 505.45454545],0
p1,1,0.578699,0.308342,[ 17 211] ; [ 53 560],[ 18.97740785 209.02259215] ; [ 51.02259215 561.97740785],0
a4,1,0.584806,0.298529,[107 121] ; [277 341],[103.4893617 124.5106383] ; [280.5106383 337.4893617],0
p3,1,0.595087,0.28247,[109 118] ; [308 307],[112.4216152 114.5783848] ; [304.5783848 310.4216152],0
v1,1,0.656646,0.197623,[118 105] ; [329 273],[120.82545455 102.17454545] ; [326.17454545 275.82545455],0
s1,1,0.668756,0.183061,[  8 218] ; [ 18 590],[  7.04556355 218.95443645] ; [ 18.95443645 589.04556355],0
p11,1,0.685645,0.16384,[182  47] ; [484 135],[179.85141509  49.14858491] ; [486.14858491 132.85141509],0
a3,1,0.711407,0.136875,[160  68] ; [441 176],[162.16331361  65.83668639] ; [438.83668639 178.16331361],0
u4,1,0.760115,0.093226,[  6 223] ; [ 14 605],[  5.4009434 223.5990566] ; [ 14.5990566 604.4009434],0
p5,1,0.801013,0.063522,[ 25 201] ; [ 64 548],[ 24.00238663 201.99761337] ; [ 64.99761337 547.00238663],0
n5,1,0.870338,0.026644,[167  59] ; [451 164],[166.07372176  59.92627824] ; [451.92627824 163.07372176],0
p7,1,0.883351,0.021528,[141  83] ; [381 219],[141.90291262  82.09708738] ; [380.09708738 219.90291262],0
p6,1,0.910682,0.012584,[ 81 139] ; [222 388],[ 80.31325301 139.68674699] ; [222.68674699 387.31325301],0
n4,1,0.928203,0.008119,[173  55] ; [470 147],[173.49585799  54.50414201] ; [469.50414201 147.49585799],0
n3,1,0.97526,0.000962,[45 16] ; [91 32],[45.08695652 15.91304348] ; [90.91304348 32.08695652],0
d2,1,0.980065,0.000624,[112 116] ; [302 314],[111.83886256 116.16113744] ; [302.16113744 313.83886256],0
