Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-06,24.473939,[75 34] ; [ 9 30],[61.86486486 47.13513514] ; [22.13513514 16.86486486],1
a3,1,1.5e-05,18.765102,[82 28] ; [14 25],[70.87248322 39.12751678] ; [25.12751678 13.87248322],1
a4,1,7.8e-05,15.59694,[63 47] ; [ 8 31],[52.41610738 57.58389262] ; [18.58389262 20.41610738],1
d1,1,8.1e-05,15.543913,[81 29] ; [15 24],[70.87248322 39.12751678] ; [25.12751678 13.87248322],1
r2,1,0.000943,10.936453,[105   4] ; [31  8],[100.16216216   8.83783784] ; [35.83783784  3.16216216],1
u1,1,0.00192,9.624379,[28 82] ; [ 1 38],[21.40939597 88.59060403] ; [ 7.59060403 31.40939597],0
s2,1,0.002489,9.148739,[67 40] ; [13 25],[59.03448276 47.96551724] ; [20.96551724 17.03448276],0
d5,1,0.010207,6.598396,[98 12] ; [28 11],[93.02013423 16.97986577] ; [32.97986577  6.02013423],0
v2,1,0.01068,6.517862,[66 43] ; [13 23],[59.3862069 49.6137931] ; [19.6137931 16.3862069],0
n4,1,0.016741,5.723366,[93 17] ; [26 13],[87.85234899 22.14765101] ; [31.14765101  7.85234899],0
d4,1,0.017002,5.696132,[95 15] ; [27 12],[90.06711409 19.93288591] ; [31.93288591  7.06711409],0
r1,1,0.035937,4.400104,[88 21] ; [25 14],[83.22297297 25.77702703] ; [29.77702703  9.22297297],0
s7,1,0.067941,3.332075,[52 50] ; [12 24],[47.30434783 54.69565217] ; [16.69565217 19.30434783],0
s3,1,0.071078,3.257952,[61 47] ; [15 23],[56.21917808 51.78082192] ; [19.78082192 18.21917808],0
a7,1,0.083061,3.003975,[86 24] ; [25 14],[81.94630872 28.05369128] ; [29.05369128  9.94630872],0
p11,1,0.110172,2.551749,[80 30] ; [23 16],[76.04026846 33.95973154] ; [26.95973154 12.04026846],0
s6,1,0.110698,2.544231,[81 27] ; [24 15],[77.14285714 30.85714286] ; [27.85714286 11.14285714],0
a6,1,0.133939,2.246242,[74 36] ; [21 18],[70.13422819 39.86577181] ; [24.86577181 14.13422819],0
p8,1,0.152182,2.050246,[40 70] ; [ 9 29],[36.41891892 73.58108108] ; [12.58108108 25.41891892],0
n5,1,0.152674,2.045329,[86 24] ; [26 13],[82.68456376 27.31543624] ; [29.31543624  9.68456376],0
b3,1,0.17828,1.811901,[29 45] ; [ 4 14],[26.54347826 47.45652174] ; [ 6.45652174 11.54347826],0
b2,1,0.17828,1.811901,[29 45] ; [ 4 14],[26.54347826 47.45652174] ; [ 6.45652174 11.54347826],0
p10,1,0.213029,1.55072,[83 26] ; [25 13],[80.08163265 28.91836735] ; [27.91836735 10.08163265],0
n2,1,0.224044,1.478281,[22  9] ; [5 5],[20.41463415 10.58536585] ; [6.58536585 3.41463415],0
b5,1,0.224317,1.476541,[67 43] ; [28 11],[70.13422819 39.86577181] ; [24.86577181 14.13422819],0
n3,1,0.225887,1.466571,[23  8] ; [6 5],[21.4047619  9.5952381] ; [7.5952381 3.4047619],0
s1,1,0.282895,1.153129,[  6 104] ; [ 4 34],[  7.43243243 102.56756757] ; [ 2.56756757 35.43243243],0
d3,1,0.310352,1.029178,[80 30] ; [25 14],[77.51677852 32.48322148] ; [27.48322148 11.51677852],0
p5,1,0.375479,0.785452,[  9 100] ; [ 5 33],[10.38095238 98.61904762] ; [ 3.61904762 34.38095238],0
