Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,35.561019,[ 91 126] ; [56 11],[112.32042254 104.67957746] ; [34.67957746 32.32042254],1
p4,1,9e-06,19.655922,[ 79 142] ; [45 23],[ 94.82352941 126.17647059] ; [29.17647059 38.82352941],1
p3,1,1.5e-05,18.783003,[ 67 157] ; [40 28],[ 82.08219178 141.91780822] ; [24.91780822 43.08219178],1
p5,1,6.4e-05,15.988734,[  8 214] ; [12 56],[ 15.31034483 206.68965517] ; [ 4.68965517 63.31034483],1
p8,1,9.6e-05,15.218016,[ 78 144] ; [42 26],[ 91.86206897 130.13793103] ; [28.13793103 39.86206897],1
p2,1,0.008404,6.945322,[154  69] ; [58 10],[162.4604811  60.5395189] ; [49.5395189 18.4604811],0
s7,1,0.010307,6.581088,[ 38 175] ; [21 43],[ 45.36823105 167.63176895] ; [13.63176895 50.36823105],0
s5,1,0.010999,6.465534,[ 38 181] ; [21 45],[ 45.33684211 173.66315789] ; [13.66315789 52.33684211],0
p12,1,0.013413,6.113825,[  5 216] ; [ 6 62],[  8.41176471 212.58823529] ; [ 2.58823529 65.41176471],0
v2,1,0.020398,5.377473,[ 76 137] ; [35 33],[ 84.13879004 128.86120996] ; [26.86120996 41.13879004],0
r3,1,0.029763,4.722922,[185  36] ; [64  4],[190.41176471  30.58823529] ; [58.58823529  9.41176471],0
p1,1,0.030136,4.701523,[ 12 209] ; [ 9 59],[ 16.05882353 204.94117647] ; [ 4.94117647 63.05882353],0
b2,1,0.035725,4.410164,[28 90] ; [15 21],[32.94805195 85.05194805] ; [10.05194805 25.94805195],0
b3,1,0.035725,4.410164,[28 90] ; [15 21],[32.94805195 85.05194805] ; [10.05194805 25.94805195],0
r4,1,0.055047,3.680672,[162  62] ; [57 11],[168.  56.] ; [51. 17.],0
p11,1,0.05551,3.666686,[147  77] ; [53 15],[153.42465753  70.57534247] ; [46.57534247 21.42465753],0
v4,1,0.057625,3.604453,[187  32] ; [64  4],[191.52961672  27.47038328] ; [59.47038328  8.52961672],0
a5,1,0.073355,3.206311,[120 104] ; [28 40],[113.53424658 110.46575342] ; [34.46575342 33.53424658],0
s2,1,0.105323,2.623033,[ 60 162] ; [25 42],[ 65.29411765 156.70588235] ; [19.70588235 47.29411765],0
a7,1,0.112253,2.522207,[136  87] ; [48 19],[141.48965517  81.51034483] ; [42.51034483 24.48965517],0
p10,1,0.129113,2.303137,[137  82] ; [48 18],[142.15789474  76.84210526] ; [42.84210526 23.15789474],0
s6,1,0.129354,2.300242,[ 95 125] ; [35 30],[100.35087719 119.64912281] ; [29.64912281 35.35087719],0
n1,1,0.166554,1.913693,[20 41] ; [10 10],[22.59259259 38.40740741] ; [ 7.40740741 12.59259259],0
a6,1,0.179696,1.80014,[121 103] ; [43 25],[125.80821918  98.19178082] ; [38.19178082 29.80821918],0
n6,1,0.233147,1.42156,[155  66] ; [52 15],[158.84375  62.15625] ; [48.15625 18.84375],0
b1,1,0.282732,1.153912,[ 89 135] ; [32 36],[ 92.82191781 131.17808219] ; [28.17808219 39.82191781],0
r2,1,0.311026,1.026312,[187  34] ; [60  7],[189.53819444  31.46180556] ; [57.46180556  9.53819444],0
r1,1,0.320529,0.986788,[136  87] ; [46 22],[139.47079038  83.52920962] ; [42.52920962 25.47079038],0
p9,1,0.329303,0.951636,[150  68] ; [51 17],[153.20979021  64.79020979] ; [47.79020979 20.20979021],0
u2,1,0.344103,0.895084,[52 63] ; [18 15],[54.39189189 60.60810811] ; [15.60810811 17.39189189],0
d4,1,0.373123,0.793239,[129  95] ; [35 33],[125.80821918  98.19178082] ; [38.19178082 29.80821918],0
a2,1,0.400467,0.706923,[  8 216] ; [ 4 64],[  9.20547945 214.79452055] ; [ 2.79452055 65.20547945],0
s1,1,0.407643,0.685666,[ 12 207] ; [ 2 65],[ 10.72027972 208.27972028] ; [ 3.27972028 63.72027972],0
d2,1,0.442993,0.588517,[ 28 195] ; [11 57],[ 29.88659794 193.11340206] ; [ 9.11340206 58.88659794],0
d3,1,0.444354,0.585012,[ 90 134] ; [30 36],[ 92.68965517 131.31034483] ; [27.31034483 38.68965517],0
d5,1,0.577811,0.309788,[119 105] ; [33 34],[117.00343643 106.99656357] ; [34.99656357 32.00343643],0
