Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.6e-05,18.588226,[55 35] ; [ 52 106],[38.83064516 51.16935484] ; [68.16935484 89.83064516],1
p2,1,4.5e-05,16.665807,[73 19] ; [88 76],[57.859375 34.140625] ; [103.140625  60.859375],1
s6,1,0.000245,13.449076,[48 44] ; [ 48 117],[34.36575875 57.63424125] ; [ 61.63424125 103.36575875],1
p3,1,0.000893,11.036229,[35 56] ; [ 32 133],[23.81640625 67.18359375] ; [ 43.18359375 121.81640625],1
v3,1,0.003072,8.764265,[36 55] ; [ 35 124],[25.844 65.156] ; [ 45.156 113.844],0
r1,1,0.006965,7.281867,[71 21] ; [100  65],[61.21400778 30.78599222] ; [109.78599222  55.21400778],0
p9,1,0.011073,6.453561,[68 25] ; [92 69],[58.58267717 34.41732283] ; [101.41732283  59.58267717],0
p10,1,0.032056,4.595487,[61 31] ; [85 77],[52.88188976 39.11811024] ; [93.11811024 68.88188976],0
u1,1,0.035927,4.40057,[16 77] ; [ 14 151],[10.81395349 82.18604651] ; [ 19.18604651 145.81395349],0
p7,1,0.04682,3.951833,[38 53] ; [ 48 115],[30.81102362 60.18897638] ; [ 55.18897638 107.81102362],0
p11,1,0.051473,3.792802,[66 27] ; [97 68],[58.75581395 34.24418605] ; [104.24418605  60.75581395],0
v4,1,0.066999,3.355056,[80 10] ; [131  33],[74.76377953 15.23622047] ; [136.23622047  27.76377953],0
r3,1,0.07876,3.090297,[81 10] ; [132  32],[76.01176471 14.98823529] ; [136.98823529  27.01176471],0
p4,1,0.09598,2.771111,[35 58] ; [ 45 118],[29.0625 63.9375] ; [ 50.9375 112.0625],0
b5,1,0.098668,2.726949,[60 33] ; [89 76],[53.70930233 39.29069767] ; [95.29069767 69.70930233],0
r2,1,0.114407,2.492267,[82  9] ; [135  28],[77.74409449 13.25590551] ; [139.25590551  23.74409449],0
n5,1,0.132493,2.263046,[64 28] ; [98 65],[58.44705882 33.55294118] ; [103.55294118  59.44705882],0
u3,1,0.141943,2.156772,[18 13] ; [26 36],[14.66666667 16.33333333] ; [29.33333333 32.66666667],0
a7,1,0.141983,2.156337,[64 28] ; [99 65],[58.578125 33.421875] ; [104.421875  59.578125],0
n1,1,0.149021,2.082242,[ 5 18] ; [26 42],[ 7.83516484 15.16483516] ; [23.16483516 44.83516484],0
p6,1,0.187437,1.737652,[18 73] ; [ 22 141],[14.33070866 76.66929134] ; [ 25.66929134 137.33070866],0
d3,1,0.192624,1.697435,[61 32] ; [94 70],[56.08949416 36.91050584] ; [98.91050584 65.08949416],0
u2,1,0.206039,1.59904,[18 12] ; [28 33],[15.16483516 14.83516484] ; [30.83516484 30.16483516],0
r4,1,0.253085,1.306194,[71 22] ; [115  50],[67.04651163 25.95348837] ; [118.95348837  46.04651163],0
