Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.001001,10.826332,[32 78] ; [17 10],[39.34306569 70.65693431] ; [ 9.65693431 17.34306569],0
n1,1,0.004169,8.208774,[11 31] ; [8 3],[15.05660377 26.94339623] ; [3.94339623 7.05660377],0
p10,1,0.012406,6.251973,[17 92] ; [10 17],[21.63970588 87.36029412] ; [ 5.36029412 21.63970588],0
s6,1,0.047829,3.915983,[35 76] ; [14 13],[39.41304348 71.58695652] ; [ 9.58695652 17.41304348],0
p11,1,0.053981,3.713279,[47 64] ; [17 10],[51.47826087 59.52173913] ; [12.52173913 14.47826087],0
s2,1,0.060815,3.515004,[22 88] ; [10 17],[25.69343066 84.30656934] ; [ 6.30656934 20.69343066],0
s4,1,0.06284,3.460798,[13 97] ; [ 7 20],[16.05839416 93.94160584] ; [ 3.94160584 23.05839416],0
v1,1,0.096532,2.761917,[31 80] ; [12 15],[34.58695652 76.41304348] ; [ 8.41304348 18.58695652],0
p6,1,0.129846,2.294348,[15 93] ; [ 7 20],[17.6 90.4] ; [ 4.4 22.6],0
n6,1,0.141512,2.161439,[64 45] ; [20  7],[67.32352941 41.67647059] ; [16.67647059 10.32352941],0
a8,1,0.150142,2.070806,[ 8 96] ; [ 4 19],[ 9.82677165 94.17322835] ; [ 2.17322835 20.82677165],0
p2,1,0.156113,2.011477,[53 58] ; [17 10],[56.30434783 54.69565217] ; [13.69565217 13.30434783],0
p8,1,0.17089,1.87512,[30 80] ; [11 16],[32.91970803 77.08029197] ; [ 8.08029197 18.91970803],0
n2,1,0.225494,1.469063,[22 20] ; [8 3],[23.77358491 18.22641509] ; [6.22641509 4.77358491],0
n4,1,0.280889,1.162783,[65 45] ; [19  8],[67.44525547 42.55474453] ; [16.55474453 10.44525547],0
d5,1,0.281311,1.160744,[70 41] ; [20  7],[72.39130435 38.60869565] ; [17.60869565  9.39130435],0
a3,1,0.297794,1.084046,[57 53] ; [17 10],[59.41605839 50.58394161] ; [14.58394161 12.41605839],0
u3,1,0.309747,1.031753,[23 31] ; [6 4],[24.46875 29.53125] ; [4.53125 5.46875],0
d3,1,0.316307,1.004155,[58 53] ; [17 10],[60.32608696 50.67391304] ; [14.67391304 12.32608696],0
p4,1,0.355246,0.854631,[38 71] ; [12 15],[40.07352941 68.92647059] ; [ 9.92647059 17.07352941],0
p1,1,0.370184,0.803047,[ 10 101] ; [ 4 23],[11.26086957 99.73913043] ; [ 2.73913043 24.26086957],0
r1,1,0.392817,0.730203,[72 38] ; [20  7],[73.86861314 36.13138686] ; [18.13138686  8.86861314],0
a4,1,0.396099,0.720138,[35 74] ; [11 16],[36.86764706 72.13235294] ; [ 9.13235294 17.86764706],0
d1,1,0.420648,0.648504,[44 67] ; [13 14],[45.84782609 65.15217391] ; [11.15217391 15.84782609],0
r3,1,0.436567,0.605288,[81 28] ; [22  5],[82.55147059 26.44852941] ; [20.44852941  6.55147059],0
b3,1,0.442444,0.589936,[20 45] ; [ 8 12],[21.41176471 43.58823529] ; [ 6.58823529 13.41176471],0
b2,1,0.442444,0.589936,[20 45] ; [ 8 12],[21.41176471 43.58823529] ; [ 6.58823529 13.41176471],0
u1,1,0.462723,0.5393,[ 11 100] ; [ 4 23],[12.06521739 98.93478261] ; [ 2.93478261 24.06521739],0
u2,1,0.495745,0.464033,[20 32] ; [5 5],[20.96774194 31.03225806] ; [4.03225806 5.96774194],0
s1,1,0.49628,0.462882,[  8 101] ; [ 1 26],[  7.21323529 101.78676471] ; [ 1.78676471 25.21323529],0
a7,1,0.502274,0.450127,[65 44] ; [18  9],[66.52205882 42.47794118] ; [16.47794118 10.52205882],0
b1,1,0.519737,0.414414,[57 54] ; [12 15],[55.5 55.5] ; [13.5 13.5],0
d4,1,0.551828,0.354052,[75 35] ; [20  7],[76.27737226 33.72262774] ; [18.72262774  8.27737226],0
v3,1,0.551962,0.353815,[26 82] ; [ 8 19],[27.2 80.8] ; [ 6.8 20.2],0
v4,1,0.565586,0.330124,[83 27] ; [21  5],[84.11764706 25.88235294] ; [19.88235294  6.11764706],0
r2,1,0.579639,0.306818,[87 21] ; [23  4],[88. 20.] ; [22.  5.],0
a2,1,0.594397,0.283529,[16 95] ; [ 5 22],[16.89130435 94.10869565] ; [ 4.10869565 22.89130435],0
r4,1,0.603183,0.270222,[68 43] ; [18  9],[69.17391304 41.82608696] ; [16.82608696 10.17391304],0
a1,1,0.603755,0.269369,[  7 104] ; [ 1 26],[  6.43478261 104.56521739] ; [ 1.56521739 25.43478261],0
a5,1,0.62579,0.237813,[60 51] ; [16 11],[61.13043478 49.86956522] ; [14.86956522 12.13043478],0
d2,1,0.637289,0.222305,[51 58] ; [14 13],[52.09558824 56.90441176] ; [12.90441176 14.09558824],0
v2,1,0.65591,0.198529,[41 67] ; [ 9 18],[40. 68.] ; [10. 17.],0
s5,1,0.683434,0.166285,[17 94] ; [ 5 22],[17.69565217 93.30434783] ; [ 4.30434783 22.69565217],0
p7,1,0.693033,0.155821,[49 60] ; [11 16],[48.08823529 60.91176471] ; [11.91176471 15.08823529],0
b5,1,0.771571,0.084286,[61 50] ; [14 13],[60.32608696 50.67391304] ; [14.67391304 12.32608696],0
b4,1,0.77678,0.080382,[65 46] ; [15 12],[64.34782609 46.65217391] ; [15.65217391 11.34782609],0
p5,1,0.787131,0.07292,[  3 107] ; [ 1 26],[  3.21167883 106.78832117] ; [ 0.78832117 26.21167883],0
n3,1,0.809884,0.057877,[24 19] ; [6 4],[24.33962264 18.66037736] ; [5.66037736 4.33962264],0
p3,1,0.826014,0.048319,[32 78] ; [ 7 19],[31.54411765 78.45588235] ; [ 7.45588235 18.54411765],0
a6,1,0.843034,0.03921,[64 47] ; [15 12],[63.54347826 47.45652174] ; [15.45652174 11.54347826],0
n5,1,0.867736,0.027734,[59 51] ; [14 13],[58.61313869 51.38686131] ; [14.38686131 12.61313869],0
