Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,46.869554,[131  30] ; [78 95],[100.74550898  60.25449102] ; [108.25449102  64.74550898],1
v1,1,0.000131,14.628856,[117  46] ; [89 84],[99.93452381 63.06547619] ; [106.06547619  66.93452381],1
n5,1,0.001024,10.78286,[143  21] ; [126  47],[130.90801187  33.09198813] ; [138.09198813  34.90801187],0
p10,1,0.002526,9.121844,[153  10] ; [145  29],[144.13649852  18.86350148] ; [153.86350148  20.13649852],0
p1,1,0.002797,8.935403,[ 27 136] ; [ 11 164],[ 18.32544379 144.67455621] ; [ 19.67455621 155.32544379],0
s7,1,0.00535,7.757273,[104  51] ; [86 80],[91.74454829 63.25545171] ; [98.25545171 67.74454829],0
n4,1,0.005775,7.619079,[145  19] ; [134  40],[135.37278107  28.62721893] ; [143.62721893  30.37278107],0
n6,1,0.018368,5.560712,[151  12] ; [146  27],[144.08035714  18.91964286] ; [152.91964286  20.08035714],0
p12,1,0.022519,5.2052,[ 25 138] ; [ 13 161],[ 18.37982196 144.62017804] ; [ 19.62017804 154.37982196],0
p5,1,0.026743,4.907309,[ 40 124] ; [ 26 149],[ 31.92920354 132.07079646] ; [ 34.07079646 140.92920354],0
s8,1,0.027218,4.876925,[94 68] ; [80 94],[83.89285714 78.10714286] ; [90.10714286 83.89285714],0
p2,1,0.034881,4.450991,[155   9] ; [154  21],[149.48672566  14.51327434] ; [159.51327434  15.48672566],0
r4,1,0.050737,3.816928,[157   7] ; [158  17],[152.38938053  11.61061947] ; [162.61061947  12.38938053],0
s4,1,0.053835,3.717795,[ 25 138] ; [ 41 132],[ 32.01785714 130.98214286] ; [ 33.98214286 139.01785714],0
a3,1,0.107843,2.585556,[128  34] ; [125  50],[121.62017804  40.37982196] ; [131.37982196  43.62017804],0
d5,1,0.110599,2.545644,[141  22] ; [140  35],[135.51183432  27.48816568] ; [145.48816568  29.51183432],0
n2,1,0.111424,2.533908,[17  2] ; [21  9],[14.73469388  4.26530612] ; [23.26530612  6.73469388],0
d1,1,0.123503,2.372323,[108  56] ; [101  74],[101.10914454  62.89085546] ; [107.89085546  67.10914454],0
p11,1,0.128075,2.315681,[143  21] ; [142  33],[137.87610619  26.12389381] ; [147.12389381  27.87610619],0
r3,1,0.130024,2.29222,[159   4] ; [164  10],[156.22848665   6.77151335] ; [166.77151335   7.22848665],0
v4,1,0.13281,2.259352,[159   4] ; [165  10],[156.24852071   6.75147929] ; [167.75147929   7.24852071],0
r1,1,0.152907,2.043004,[139  25] ; [137  37],[133.91715976  30.08284024] ; [142.08284024  31.91715976],0
u4,1,0.154014,2.032034,[  4 160] ; [  1 174],[  2.41887906 161.58112094] ; [  2.58112094 172.41887906],0
p9,1,0.160386,1.97058,[150  13] ; [152  22],[146.07121662  16.92878338] ; [155.92878338  18.07121662],0
s5,1,0.191268,1.707824,[73 85] ; [ 66 103],[67.16207951 90.83792049] ; [71.83792049 97.16207951],0
a5,1,0.199157,1.648549,[134  30] ; [133  42],[129.16814159  34.83185841] ; [137.83185841  37.16814159],0
a1,1,0.214354,1.541774,[ 14 150] ; [  9 166],[ 11.12684366 152.87315634] ; [ 11.87315634 163.12684366],0
