Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3.7e-05,17.042648,[14  5] ; [15 51],[ 6.48235294 12.51764706] ; [22.51764706 43.48235294],1
d4,1,0.000307,13.029847,[18  1] ; [32 34],[11.17647059  7.82352941] ; [38.82352941 27.17647059],1
v1,1,0.003879,8.339651,[11  8] ; [15 50],[ 5.88095238 13.11904762] ; [20.11904762 44.88095238],0
n6,1,0.00501,7.875821,[16  2] ; [34 31],[10.84337349  7.15662651] ; [39.15662651 25.84337349],0
p8,1,0.006486,7.410199,[10  9] ; [14 53],[ 5.30232558 13.69767442] ; [18.69767442 48.30232558],0
d1,1,0.011563,6.376632,[11  8] ; [18 49],[ 6.40697674 12.59302326] ; [22.59302326 44.40697674],0
d3,1,0.011758,6.347,[14  5] ; [27 39],[9.16470588 9.83529412] ; [31.83529412 34.16470588],0
s2,1,0.02365,5.120106,[ 5 14] ; [ 5 62],[ 2.20930233 16.79069767] ; [ 7.79069767 59.20930233],0
p7,1,0.025775,4.971072,[9 9] ; [15 50],[ 5.20481928 12.79518072] ; [18.79518072 46.20481928],0
a5,1,0.026081,4.950667,[14  5] ; [30 37],[9.72093023 9.27906977] ; [34.27906977 32.72093023],0
d5,1,0.02842,4.802431,[15  4] ; [34 33],[10.8255814  8.1744186] ; [38.1744186 28.8255814],0
p2,1,0.030012,4.708595,[14  5] ; [30 36],[9.83529412 9.16470588] ; [34.16470588 31.83529412],0
b3,1,0.043502,4.075789,[1 9] ; [17 21],[3.75 6.25] ; [14.25 23.75],0
b2,1,0.043502,4.075789,[1 9] ; [17 21],[3.75 6.25] ; [14.25 23.75],0
p6,1,0.047394,3.931336,[ 6 13] ; [ 8 57],[ 3.16666667 15.83333333] ; [10.83333333 54.16666667],0
p9,1,0.0507,3.818153,[13  6] ; [27 36],[9.26829268 9.73170732] ; [30.73170732 32.26829268],0
a4,1,0.071635,3.245149,[ 9 10] ; [17 49],[ 5.81176471 13.18823529] ; [20.18823529 45.81176471],0
p5,1,0.087571,2.91846,[ 3 16] ; [ 3 64],[ 1.3255814 17.6744186] ; [ 4.6744186 62.3255814],0
s5,1,0.087617,2.917622,[ 4 15] ; [ 5 62],[ 1.98837209 17.01162791] ; [ 7.01162791 59.98837209],0
s8,1,0.087617,2.917622,[ 4 15] ; [ 5 62],[ 1.98837209 17.01162791] ; [ 7.01162791 59.98837209],0
s6,1,0.112245,2.522331,[ 7 12] ; [13 54],[ 4.41860465 14.58139535] ; [15.58139535 51.41860465],0
v4,1,0.135263,2.231032,[14  5] ; [36 30],[11.17647059  7.82352941] ; [38.82352941 27.17647059],0
a7,1,0.192235,1.700405,[12  7] ; [30 35],[9.5 9.5] ; [32.5 32.5],0
p11,1,0.213302,1.548871,[11  8] ; [28 39],[ 8.61627907 10.38372093] ; [30.38372093 36.61627907],0
n2,1,0.225818,1.467011,[6 2] ; [18 17],[4.46511628 3.53488372] ; [19.53488372 15.46511628],0
s7,1,0.251503,1.314935,[ 5 13] ; [10 53],[ 3.33333333 14.66666667] ; [11.66666667 51.33333333],0
s1,1,0.328906,0.9532,[ 2 17] ; [ 3 63],[ 1.11764706 17.88235294] ; [ 3.88235294 62.11764706],0
b4,1,0.337873,0.918484,[ 9 10] ; [40 27],[10.8255814  8.1744186] ; [38.1744186 28.8255814],0
p12,1,0.342245,0.902005,[ 1 18] ; [ 1 65],[ 0.44705882 18.55294118] ; [ 1.55294118 64.44705882],0
r2,1,0.37267,0.794741,[11  7] ; [31 32],[9.33333333 8.66666667] ; [32.66666667 30.33333333],0
n5,1,0.383174,0.760494,[10  8] ; [44 22],[11.57142857  6.42857143] ; [42.42857143 23.57142857],0
a6,1,0.400993,0.705348,[10  9] ; [28 39],[ 8.39534884 10.60465116] ; [29.60465116 37.39534884],0
d2,1,0.429438,0.624342,[ 8 11] ; [21 44],[ 6.55952381 12.44047619] ; [22.44047619 42.55952381],0
p10,1,0.446896,0.578512,[10  8] ; [30 36],[8.57142857 9.42857143] ; [31.42857143 34.57142857],0
v2,1,0.455651,0.556557,[ 8 11] ; [21 43],[ 6.63855422 12.36144578] ; [22.36144578 41.63855422],0
u3,1,0.486335,0.484625,[3 4] ; [10 24],[2.2195122 4.7804878] ; [10.7804878 23.2195122],0
a1,1,0.492252,0.471599,[ 1 18] ; [ 7 60],[ 1.76744186 17.23255814] ; [ 6.23255814 60.76744186],0
a2,1,0.521447,0.411031,[ 3 16] ; [ 7 60],[ 2.20930233 16.79069767] ; [ 7.79069767 59.20930233],0
v3,1,0.533777,0.387195,[ 5 14] ; [13 53],[ 4.02352941 14.97647059] ; [13.97647059 52.02352941],0
a3,1,0.543954,0.368261,[11  8] ; [33 33],[9.83529412 9.16470588] ; [34.16470588 31.83529412],0
b5,1,0.581871,0.303219,[11  8] ; [34 33],[9.94186047 9.05813953] ; [35.05813953 31.94186047],0
n1,1,0.619829,0.246108,[3 5] ; [10 25],[2.41860465 5.58139535] ; [10.58139535 24.41860465],0
r3,1,0.659237,0.194452,[10  9] ; [30 34],[9.15662651 9.84337349] ; [30.84337349 33.15662651],0
b1,1,0.662638,0.190334,[11  8] ; [35 32],[10.1627907  8.8372093] ; [35.8372093 31.1627907],0
u1,1,0.739754,0.110343,[ 1 18] ; [ 5 62],[ 1.3255814 17.6744186] ; [ 4.6744186 62.3255814],0
s4,1,0.793578,0.06847,[ 3 16] ; [ 9 58],[ 2.65116279 16.34883721] ; [ 9.34883721 57.65116279],0
p1,1,0.835151,0.043306,[ 2 17] ; [ 6 61],[ 1.76744186 17.23255814] ; [ 6.23255814 60.76744186],0
r1,1,0.853509,0.034093,[ 5 14] ; [16 50],[ 4.69411765 14.30588235] ; [16.30588235 49.69411765],0
n4,1,0.887008,0.02019,[11  8] ; [37 29],[10.72941176  8.27058824] ; [37.27058824 28.72941176],0
n3,1,0.941863,0.005318,[4 4] ; [17 18],[3.90697674 4.09302326] ; [17.09302326 17.90697674],0
