Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4e-06,21.493421,[ 5 49] ; [27 27],[16. 38.] ; [16. 38.],1
s2,1,4e-06,21.177234,[ 8 46] ; [30 22],[19.35849057 34.64150943] ; [18.64150943 33.35849057],1
s3,1,4.6e-05,16.623453,[16 38] ; [36 16],[26.49056604 27.50943396] ; [25.50943396 26.49056604],1
r1,1,0.000107,15.000779,[21 32] ; [40 12],[30.79047619 22.20952381] ; [30.20952381 21.79047619],1
s7,1,0.000116,14.861978,[ 6 44] ; [24 27],[14.85148515 35.14851485] ; [15.14851485 35.85148515],1
n6,1,0.000348,12.792857,[31 22] ; [48  6],[39.13084112 13.86915888] ; [39.86915888 14.13084112],1
s5,1,0.000433,12.382821,[ 1 53] ; [13 39],[ 7.13207547 46.86792453] ; [ 6.86792453 45.13207547],1
p10,1,0.000767,11.320527,[21 31] ; [38 14],[29.5 22.5] ; [29.5 22.5],1
r4,1,0.00142,10.180142,[31 23] ; [46  8],[38.5 15.5] ; [38.5 15.5],0
r3,1,0.00294,8.844201,[35 17] ; [49  5],[41.20754717 10.79245283] ; [42.79245283 11.20754717],0
p4,1,0.003192,8.694097,[14 40] ; [29 25],[21.5 32.5] ; [21.5 32.5],0
p9,1,0.004568,8.042802,[24 27] ; [40 14],[31.08571429 19.91428571] ; [32.91428571 21.08571429],0
b5,1,0.006706,7.35,[23 31] ; [37 17],[30. 24.] ; [30. 24.],0
d5,1,0.009067,6.809558,[20 33] ; [34 20],[26.74766355 26.25233645] ; [27.25233645 26.74766355],0
p11,1,0.010606,6.530233,[26 28] ; [39 15],[32.5 21.5] ; [32.5 21.5],0
s4,1,0.013243,6.136364,[ 5 49] ; [15 39],[10. 44.] ; [10. 44.],0
v4,1,0.013605,6.088688,[39 13] ; [50  4],[43.66037736  8.33962264] ; [45.33962264  8.66037736],0
n4,1,0.023095,5.161368,[30 23] ; [41 12],[35.5 17.5] ; [35.5 17.5],0
u3,1,0.024505,5.058528,[ 8 18] ; [15  9],[11.96 14.04] ; [11.04 12.96],0
r2,1,0.027151,4.88119,[41 12] ; [50  4],[45.07476636  7.92523364] ; [45.92523364  8.07476636],0
v3,1,0.027448,4.862388,[ 8 44] ; [18 35],[12.87619048 39.12380952] ; [13.12380952 39.87619048],0
b4,1,0.033987,4.495356,[23 31] ; [34 20],[28.5 25.5] ; [28.5 25.5],0
p3,1,0.03509,4.440789,[11 43] ; [21 33],[16. 38.] ; [16. 38.],0
b3,1,0.048315,3.89901,[13 17] ; [ 8 30],[ 9.26470588 20.73529412] ; [11.73529412 26.26470588],0
b2,1,0.048315,3.89901,[13 17] ; [ 8 30],[ 9.26470588 20.73529412] ; [11.73529412 26.26470588],0
v1,1,0.066994,3.355177,[18 36] ; [26 25],[22.62857143 31.37142857] ; [21.37142857 29.62857143],0
n5,1,0.118649,2.435068,[36 17] ; [43 10],[39.5 13.5] ; [39.5 13.5],0
v2,1,0.123413,2.373462,[13 37] ; [21 31],[16.66666667 33.33333333] ; [17.33333333 34.66666667],0
a2,1,0.141645,2.16,[ 2 52] ; [ 6 48],[ 4. 50.] ; [ 4. 50.],0
p2,1,0.160814,1.966555,[31 23] ; [38 16],[34.5 19.5] ; [34.5 19.5],0
p5,1,0.169498,1.887379,[ 1 53] ; [ 4 50],[ 2.5 51.5] ; [ 2.5 51.5],0
s1,1,0.219821,1.505541,[ 2 51] ; [ 5 46],[ 3.56730769 49.43269231] ; [ 3.43269231 47.56730769],0
n3,1,0.270912,1.212121,[15  7] ; [15  3],[16.5  5.5] ; [13.5  4.5],0
d2,1,0.277657,1.178525,[12 42] ; [17 37],[14.5 39.5] ; [14.5 39.5],0
d3,1,0.316713,1.002471,[11 41] ; [16 38],[13.24528302 38.75471698] ; [13.75471698 40.24528302],0
a7,1,0.329412,0.951207,[23 29] ; [29 25],[25.50943396 26.49056604] ; [26.49056604 27.50943396],0
a8,1,0.332268,0.94004,[ 5 46] ; [ 8 41],[ 6.63 44.37] ; [ 6.37 42.63],0
a6,1,0.335177,0.928793,[26 28] ; [31 23],[28.5 25.5] ; [28.5 25.5],0
a5,1,0.335177,0.928793,[23 31] ; [28 26],[25.5 28.5] ; [25.5 28.5],0
u2,1,0.418551,0.65438,[ 9 17] ; [11 13],[10.4 15.6] ; [ 9.6 14.4],0
p7,1,0.422834,0.642424,[18 35] ; [22 31],[20. 33.] ; [20. 33.],0
a4,1,0.449273,0.572485,[10 44] ; [13 40],[11.60747664 42.39252336] ; [11.39252336 41.60747664],0
p1,1,0.462433,0.54,[ 3 51] ; [ 5 49],[ 4. 50.] ; [ 4. 50.],0
p12,1,0.558185,0.342857,[ 2 52] ; [ 1 53],[ 1.5 52.5] ; [ 1.5 52.5],0
n2,1,0.612467,0.256598,[17  7] ; [14  4],[17.71428571  6.28571429] ; [13.28571429  4.71428571],0
n1,1,0.70213,0.146265,[ 9 14] ; [ 6 12],[ 8.41463415 14.58536585] ; [ 6.58536585 11.41463415],0
a3,1,0.77725,0.080035,[28 25] ; [30 24],[28.72897196 24.27102804] ; [29.27102804 24.72897196],0
b1,1,0.844163,0.03864,[22 32] ; [21 33],[21.5 32.5] ; [21.5 32.5],0
p6,1,0.844889,0.038277,[10 43] ; [11 43],[10.40186916 42.59813084] ; [10.59813084 43.40186916],0
u1,1,1.0,0.0,[ 1 53] ; [ 1 53],[ 1. 53.] ; [ 1. 53.],0
d1,1,1.0,0.0,[ 1 53] ; [ 1 53],[ 1. 53.] ; [ 1. 53.],0
