Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000628,11.691228,[26  8] ; [12 22],[19. 15.] ; [19. 15.],1
p7,1,0.001273,10.38121,[20 14] ; [ 7 27],[13.5 20.5] ; [13.5 20.5],0
r3,1,0.001404,10.2,[30  4] ; [18 16],[24. 10.] ; [24. 10.],0
v4,1,0.00307,8.765625,[27  5] ; [17 17],[21.33333333 10.66666667] ; [22.66666667 11.33333333],0
b3,1,0.005412,7.73649,[ 2 19] ; [11 12],[ 6.20454545 14.79545455] ; [ 6.79545455 16.20454545],0
b2,1,0.005412,7.73649,[ 2 19] ; [11 12],[ 6.20454545 14.79545455] ; [ 6.79545455 16.20454545],0
p3,1,0.00731,7.195294,[14 20] ; [ 4 29],[ 9.13432836 24.86567164] ; [ 8.86567164 24.13432836],0
p11,1,0.011162,6.439394,[17 17] ; [ 7 27],[12. 22.] ; [12. 22.],0
s4,1,0.021152,5.314195,[ 9 25] ; [ 2 32],[ 5.5 28.5] ; [ 5.5 28.5],0
r1,1,0.072774,3.219324,[26  8] ; [19 15],[22.5 11.5] ; [22.5 11.5],0
b5,1,0.086087,2.946065,[18 16] ; [11 23],[14.5 19.5] ; [14.5 19.5],0
n1,1,0.087648,2.917053,[ 2 11] ; [ 8 10],[4.19354839 8.80645161] ; [ 5.80645161 12.19354839],0
s1,1,0.09427,2.799906,[ 1 32] ; [ 5 29],[ 2.95522388 30.04477612] ; [ 3.04477612 30.95522388],0
p6,1,0.098648,2.727273,[ 8 25] ; [ 3 30],[ 5.5 27.5] ; [ 5.5 27.5],0
v1,1,0.110294,2.55,[13 21] ; [ 7 27],[10. 24.] ; [10. 24.],0
p4,1,0.110294,2.55,[13 21] ; [ 7 27],[10. 24.] ; [10. 24.],0
p8,1,0.114148,2.495835,[12 22] ; [ 6 27],[ 9.13432836 24.86567164] ; [ 8.86567164 24.13432836],0
d5,1,0.119874,2.418972,[26  8] ; [20 14],[23. 11.] ; [23. 11.],0
b4,1,0.139296,2.185714,[23 11] ; [17 17],[20. 14.] ; [20. 14.],0
s6,1,0.189386,1.722391,[13 21] ; [ 8 26],[10.5 23.5] ; [10.5 23.5],0
u3,1,0.197631,1.659799,[10  5] ; [6 8],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
p10,1,0.203225,1.619048,[ 8 26] ; [ 4 30],[ 6. 28.] ; [ 6. 28.],0
n2,1,0.207656,1.587696,[9 5] ; [ 8 11],[7.21212121 6.78787879] ; [9.78787879 9.21212121],0
a6,1,0.215262,1.535682,[23 11] ; [18 16],[20.5 13.5] ; [20.5 13.5],0
s5,1,0.261421,1.261218,[ 6 27] ; [ 3 31],[ 4.43283582 28.56716418] ; [ 4.56716418 29.43283582],0
s8,1,0.283018,1.152542,[ 6 28] ; [ 3 31],[ 4.5 29.5] ; [ 4.5 29.5],0
n5,1,0.310088,1.030303,[10 24] ; [14 20],[12. 22.] ; [12. 22.],0
b1,1,0.324324,0.971429,[22 12] ; [18 16],[20. 14.] ; [20. 14.],0
a5,1,0.324324,0.971429,[18 16] ; [22 12],[20. 14.] ; [20. 14.],0
n3,1,0.337482,0.919974,[9 5] ; [8 9],[7.67741935 6.32258065] ; [9.32258065 7.67741935],0
d4,1,0.339439,0.912551,[24  9] ; [21 13],[22.1641791 10.8358209] ; [22.8358209 11.1641791],0
a8,1,0.348255,0.879806,[ 1 30] ; [ 3 31],[ 1.90769231 29.09230769] ; [ 2.09230769 31.90769231],0
n4,1,0.466661,0.52987,[19 15] ; [16 18],[17.5 16.5] ; [17.5 16.5],0
r2,1,0.52114,0.411637,[27  7] ; [24  9],[25.88059701  8.11940299] ; [25.11940299  7.88059701],0
s3,1,0.534095,0.386594,[17 17] ; [14 19],[15.73134328 18.26865672] ; [15.26865672 17.73134328],0
d1,1,0.617721,0.249084,[14 20] ; [12 22],[13. 21.] ; [13. 21.],0
a4,1,0.617721,0.249084,[12 22] ; [14 20],[13. 21.] ; [13. 21.],0
a7,1,0.627029,0.236111,[19 15] ; [17 17],[18. 16.] ; [18. 16.],0
d3,1,0.627029,0.236111,[19 15] ; [17 17],[18. 16.] ; [18. 16.],0
s7,1,0.648224,0.208147,[ 6 23] ; [ 5 26],[ 5.31666667 23.68333333] ; [ 5.68333333 25.31666667],0
p1,1,0.667013,0.185116,[ 2 31] ; [ 3 31],[ 2.46268657 30.53731343] ; [ 2.53731343 31.46268657],0
a3,1,0.695112,0.153607,[19 15] ; [20 13],[19.79104478 14.20895522] ; [19.20895522 13.79104478],0
v2,1,0.796153,0.066734,[12 21] ; [11 22],[11.5 21.5] ; [11.5 21.5],0
d2,1,0.808284,0.058874,[16 18] ; [17 17],[16.5 17.5] ; [16.5 17.5],0
u2,1,0.875948,0.02437,[9 6] ; [8 6],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
v3,1,0.948179,0.004224,[ 7 25] ; [ 7 26],[ 6.89230769 25.10769231] ; [ 7.10769231 25.89230769],0
s2,1,1.0,0.0,[ 9 25] ; [ 9 25],[ 9. 25.] ; [ 9. 25.],0
a2,1,1.0,0.0,[ 5 29] ; [ 5 29],[ 5. 29.] ; [ 5. 29.],0
