Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000284,13.174932,[57 15] ; [ 9 14],[50.02105263 21.97894737] ; [15.97894737  7.02105263],1
p10,1,0.000658,11.604114,[65  7] ; [13  9],[59.74468085 12.25531915] ; [18.25531915  3.74468085],1
p8,1,0.002165,9.404497,[48 22] ; [ 7 15],[41.84782609 28.15217391] ; [13.15217391  8.84782609],0
p7,1,0.021873,5.255834,[54 14] ; [12 10],[49.86666667 18.13333333] ; [16.13333333  5.86666667],0
p2,1,0.026929,4.89533,[64  8] ; [16  7],[60.63157895 11.36842105] ; [19.36842105  3.63157895],0
n6,1,0.071509,3.248036,[62 10] ; [16  7],[59.11578947 12.88421053] ; [18.88421053  4.11578947],0
p4,1,0.079959,3.065728,[49 23] ; [11 12],[45.47368421 26.52631579] ; [14.52631579  8.47368421],0
v2,1,0.081011,3.044501,[28 42] ; [14  9],[31.61290323 38.38709677] ; [10.38709677 12.61290323],0
p3,1,0.084126,2.983323,[43 29] ; [ 9 14],[39.41052632 32.58947368] ; [12.58947368 10.41052632],0
n2,1,0.089686,2.88,[14  1] ; [6 3],[12.5  2.5] ; [7.5 1.5],0
a7,1,0.106397,2.606941,[43 29] ; [18  5],[46.23157895 25.76842105] ; [14.76842105  8.23157895],0
u3,1,0.114653,2.488889,[14  4] ; [1 2],[12.85714286  5.14285714] ; [2.14285714 0.85714286],0
n4,1,0.1213,2.400459,[53 19] ; [13 10],[50.02105263 21.97894737] ; [15.97894737  7.02105263],0
v4,1,0.132699,2.260647,[68  3] ; [20  3],[66.46808511  4.53191489] ; [21.53191489  1.46808511],0
d3,1,0.150968,2.062446,[52 20] ; [20  3],[54.56842105 17.43157895] ; [17.43157895  5.56842105],0
s6,1,0.163144,1.944836,[66  6] ; [17  4],[64.25806452  7.74193548] ; [18.74193548  2.25806452],0
s8,1,0.166605,1.913225,[49 23] ; [12 11],[46.23157895 25.76842105] ; [14.76842105  8.23157895],0
s3,1,0.173562,1.851906,[62 10] ; [17  6],[59.87368421 12.12631579] ; [19.12631579  3.87368421],0
r3,1,0.206397,1.596524,[68  4] ; [19  3],[66.63829787  5.36170213] ; [20.36170213  1.63829787],0
b1,1,0.212982,1.551041,[27 45] ; [12 11],[29.55789474 42.44210526] ; [ 9.44210526 13.55789474],0
a3,1,0.22897,1.447247,[54 18] ; [20  3],[56.08421053 15.91578947] ; [17.91578947  5.08421053],0
p9,1,0.244285,1.355698,[65  7] ; [17  4],[63.48387097  8.51612903] ; [18.51612903  2.48387097],0
b4,1,0.246078,1.345434,[37 35] ; [15  8],[39.41052632 32.58947368] ; [12.58947368 10.41052632],0
u2,1,0.271028,1.211538,[12  6] ; [1 2],[11.14285714  6.85714286] ; [1.85714286 1.14285714],0
a8,1,0.302939,1.061211,[ 3 66] ; [ 2 17],[ 3.92045455 65.07954545] ; [ 1.07954545 17.92045455],0
v1,1,0.305779,1.048821,[37 35] ; [ 9 14],[34.86315789 37.13684211] ; [11.13684211 11.86315789],0
p1,1,0.316977,1.00138,[ 7 65] ; [ 4 19],[ 8.33684211 63.66315789] ; [ 2.66315789 20.33684211],0
p5,1,0.334932,0.929733,[ 8 64] ; [ 1 22],[ 6.82105263 65.17894737] ; [ 2.17894737 20.82105263],0
n3,1,0.363646,0.825263,[11  4] ; [8 1],[11.875  3.125] ; [7.125 1.875],0
b5,1,0.396931,0.717603,[43 29] ; [16  7],[44.71578947 27.28421053] ; [14.28421053  8.71578947],0
