Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.1e-05,19.312449,[33  7] ; [20 34],[22.55319149 17.44680851] ; [30.44680851 23.55319149],1
s2,1,0.000122,14.759904,[38  9] ; [25 32],[28.47115385 18.52884615] ; [34.52884615 22.47115385],1
p9,1,0.000132,14.606532,[41  5] ; [31 26],[32.15533981 13.84466019] ; [39.84466019 17.15533981],1
u1,1,0.001398,10.207998,[16 31] ; [ 5 52],[ 9.49038462 37.50961538] ; [11.50961538 45.49038462],0
p10,1,0.004879,7.923764,[33 12] ; [26 31],[26.02941176 18.97058824] ; [32.97058824 24.02941176],0
a3,1,0.005576,7.682505,[36 11] ; [28 28],[29.2038835 17.7961165] ; [34.7961165 21.2038835],0
v4,1,0.006377,7.440587,[46  1] ; [46 11],[41.57692308  5.42307692] ; [50.42307692  6.57692308],0
n6,1,0.012109,6.294864,[41  5] ; [39 18],[35.72815534 10.27184466] ; [44.27184466 12.72815534],0
s6,1,0.012242,6.275526,[40  5] ; [38 18],[34.75247525 10.24752475] ; [43.24752475 12.75247525],0
n5,1,0.01527,5.88506,[36 11] ; [30 26],[30.11650485 16.88349515] ; [35.88349515 20.11650485],0
d1,1,0.024464,5.061448,[31 16] ; [25 32],[25.30769231 21.69230769] ; [30.69230769 26.30769231],0
p1,1,0.024502,5.058764,[ 9 37] ; [ 3 54],[ 5.3592233 40.6407767] ; [ 6.6407767 50.3592233],0
s5,1,0.026057,4.952233,[22 21] ; [16 39],[16.67346939 26.32653061] ; [21.32653061 33.67346939],0
a2,1,0.03016,4.700145,[16 31] ; [ 9 48],[11.29807692 35.70192308] ; [13.70192308 43.29807692],0
d2,1,0.03021,4.697275,[29 18] ; [23 34],[23.5 23.5] ; [28.5 28.5],0
u2,1,0.036934,4.353432,[8 3] ; [10 18],[5.07692308 5.92307692] ; [12.92307692 15.07692308],0
v1,1,0.042299,4.123214,[27 19] ; [22 35],[21.88349515 24.11650485] ; [27.11650485 29.88349515],0
p2,1,0.043493,4.076148,[42  5] ; [42 15],[37.96153846  9.03846154] ; [46.03846154 10.96153846],0
p6,1,0.043853,4.062194,[24 23] ; [18 39],[18.98076923 28.01923077] ; [23.01923077 33.98076923],0
n4,1,0.061619,3.493258,[34 12] ; [32 25],[29.47572816 16.52427184] ; [36.52427184 20.47572816],0
