Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,40.96906,[91 14] ; [121 120],[64.33526012 40.66473988] ; [147.66473988  93.33526012],1
s7,1,4e-06,21.043858,[65 37] ; [ 87 150],[45.73451327 56.26548673] ; [106.26548673 130.73451327],1
s2,1,0.000103,15.073798,[65 43] ; [ 92 151],[48.30769231 59.69230769] ; [108.69230769 134.30769231],1
p5,1,0.000114,14.881325,[18 89] ; [ 11 233],[ 8.84045584 98.15954416] ; [ 20.15954416 223.84045584],1
s4,1,0.001689,9.860428,[30 76] ; [ 34 207],[19.55043228 86.44956772] ; [ 44.44956772 196.55043228],0
r4,1,0.005755,7.625428,[101   7] ; [201  43],[92.65909091 15.34090909] ; [209.34090909  34.65909091],0
p3,1,0.005977,7.557166,[56 52] ; [ 88 155],[44.30769231 63.69230769] ; [ 99.69230769 143.30769231],0
p6,1,0.012944,6.176749,[42 66] ; [ 62 179],[32.18338109 75.81661891] ; [ 71.81661891 169.18338109],0
p4,1,0.017878,5.608112,[64 43] ; [111 130],[53.80747126 53.19252874] ; [121.19252874 119.80747126],0
s3,1,0.017878,5.608112,[64 43] ; [111 130],[53.80747126 53.19252874] ; [121.19252874 119.80747126],0
p1,1,0.035493,4.42131,[13 93] ; [ 14 230],[ 8.17714286 97.82285714] ; [ 18.82285714 225.17714286],0
p7,1,0.037122,4.344819,[67 37] ; [126 115],[58.17971014 45.82028986] ; [134.82028986 106.17971014],0
r1,1,0.040528,4.195654,[87 21] ; [171  73],[79.15909091 28.84090909] ; [178.84090909  65.15909091],0
p12,1,0.041027,4.174886,[11 96] ; [ 11 232],[  6.72571429 100.27428571] ; [ 15.27428571 227.72571429],0
a5,1,0.04457,4.034833,[80 28] ; [154  90],[71.79545455 36.20454545] ; [162.20454545  81.79545455],0
r2,1,0.048009,3.909685,[103   5] ; [213  27],[98.06896552  9.93103448] ; [217.93103448  22.06896552],0
b5,1,0.054406,3.700208,[50 58] ; [140 104],[58.29545455 49.70454545] ; [131.70454545 112.29545455],0
p9,1,0.057739,3.601174,[88 16] ; [181  59],[81.3255814 22.6744186] ; [187.6744186  52.3255814],0
p10,1,0.059074,3.563195,[87 19] ; [175  66],[80.03458213 25.96541787] ; [181.96541787  59.03458213],0
s1,1,0.068698,3.313852,[  7 101] ; [  6 235],[  4.02292264 103.97707736] ; [  8.97707736 232.02292264],0
a4,1,0.087296,2.923544,[50 58] ; [ 89 154],[42.76923077 65.23076923] ; [ 96.23076923 146.76923077],0
u1,1,0.100299,2.700787,[21 87] ; [ 31 213],[15.95454545 92.04545455] ; [ 36.04545455 207.95454545],0
s8,1,0.111201,2.537066,[45 62] ; [ 81 163],[38.41025641 68.58974359] ; [ 87.58974359 156.41025641],0
u3,1,0.132777,2.259729,[20 15] ; [34 47],[16.29310345 18.70689655] ; [37.70689655 43.29310345],0
v3,1,0.147513,2.097781,[35 70] ; [ 62 179],[29.43641618 75.56358382] ; [ 67.56358382 173.43641618],0
v2,1,0.171374,1.870887,[48 58] ; [ 88 147],[42.27565982 63.72434018] ; [ 93.72434018 141.27565982],0
d2,1,0.209005,1.578306,[54 53] ; [105 138],[48.60857143 58.39142857] ; [110.39142857 132.60857143],0
n3,1,0.21867,1.513081,[20  5] ; [53 26],[17.54807692  7.45192308] ; [55.45192308 23.54807692],0
a1,1,0.245989,1.345939,[  7 101] ; [  9 235],[  4.90909091 103.09090909] ; [ 11.09090909 232.90909091],0
n1,1,0.257776,1.280662,[11 14] ; [25 54],[ 8.65384615 16.34615385] ; [27.34615385 51.65384615],0
a2,1,0.264892,1.243006,[25 83] ; [ 44 200],[21.17045455 86.82954545] ; [ 47.82954545 196.17045455],0
b2,1,0.294242,1.100109,[24 39] ; [40 91],[20.78350515 42.21649485] ; [43.21649485 87.78350515],0
b3,1,0.294242,1.100109,[24 39] ; [40 91],[20.78350515 42.21649485] ; [43.21649485 87.78350515],0
p2,1,0.330512,0.94689,[87 20] ; [187  57],[83.52706553 23.47293447] ; [190.47293447  53.52706553],0
b4,1,0.33636,0.924256,[67 41] ; [138 106],[62.89772727 45.10227273] ; [142.10227273 101.89772727],0
p8,1,0.364842,0.821159,[52 54] ; [106 136],[48.12643678 57.87356322] ; [109.87356322 132.12643678],0
n2,1,0.492924,0.470137,[19  7] ; [52 27],[17.58095238  8.41904762] ; [53.41904762 25.58095238],0
r3,1,0.525681,0.402734,[99  7] ; [223  21],[97.52  8.48] ; [224.48  19.52],0
v4,1,0.545388,0.365644,[101   6] ; [226  18],[99.68376068  7.31623932] ; [227.31623932  16.68376068],0
u4,1,0.55245,0.352946,[  1 107] ; [  1 243],[  0.61363636 107.38636364] ; [  1.38636364 242.61363636],0
a8,1,0.590398,0.289723,[10 85] ; [ 29 200],[11.43518519 83.56481481] ; [ 27.56481481 201.43518519],0
d5,1,0.628701,0.233827,[81 27] ; [188  55],[82.76923077 25.23076923] ; [186.23076923  56.76923077],0
p11,1,0.728219,0.120753,[82 26] ; [181  63],[80.69318182 27.30681818] ; [182.30681818  61.69318182],0
n5,1,0.732471,0.116855,[79 29] ; [172  69],[77.67335244 30.32664756] ; [173.32664756  67.67335244],0
a7,1,0.745556,0.105303,[73 34] ; [170  73],[74.28857143 32.71142857] ; [168.71142857  74.28857143],0
d4,1,0.763739,0.090345,[84 23] ; [188  56],[82.91737892 24.08262108] ; [189.08262108  54.91737892],0
a3,1,0.768067,0.086969,[73 35] ; [161  83],[71.79545455 36.20454545] ; [162.20454545  81.79545455],0
a6,1,0.81618,0.054038,[70 38] ; [155  89],[69.03409091 38.96590909] ; [155.96590909  88.03409091],0
n4,1,0.870057,0.02676,[80 28] ; [182  61],[80.61538462 27.38461538] ; [181.38461538  61.61538462],0
b1,1,0.890436,0.018976,[42 66] ; [ 93 151],[41.42045455 66.57954545] ; [ 93.57954545 150.42045455],0
d1,1,0.93079,0.007543,[57 51] ; [130 114],[57.375 50.625] ; [129.625 114.375],0
u2,1,0.943792,0.004971,[16 18] ; [38 44],[15.82758621 18.17241379] ; [38.17241379 43.82758621],0
d3,1,0.970252,0.001391,[70 38] ; [158  85],[70.15384615 37.84615385] ; [157.84615385  85.15384615],0
