Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000148,14.392809,[93 22] ; [14 16],[84.86206897 30.13793103] ; [22.13793103  7.86206897],1
s2,1,0.00078,11.287329,[88 29] ; [13 17],[80.3877551 36.6122449] ; [20.6122449  9.3877551],1
s5,1,0.001788,9.755719,[51 61] ; [ 4 25],[43.68794326 68.31205674] ; [11.31205674 17.68794326],0
r4,1,0.002799,8.934081,[104  13] ; [20 10],[98.69387755 18.30612245] ; [25.30612245  4.69387755],0
s8,1,0.003329,8.61786,[84 33] ; [13 17],[77.20408163 39.79591837] ; [19.79591837 10.20408163],0
v4,1,0.006673,7.359023,[110   6] ; [23  6],[106.4   9.6] ; [26.6  2.4],0
r1,1,0.013261,6.133967,[98 19] ; [19 11],[93.12244898 23.87755102] ; [23.87755102  6.12244898],0
a2,1,0.020221,5.392745,[31 86] ; [ 2 28],[26.26530612 90.73469388] ; [ 6.73469388 23.26530612],0
p9,1,0.033298,4.530397,[97 16] ; [20  9],[93.1056338 19.8943662] ; [23.8943662  5.1056338],0
b5,1,0.03841,4.286774,[75 42] ; [13 17],[70.04081633 46.95918367] ; [17.95918367 12.04081633],0
n1,1,0.055259,3.674258,[13 20] ; [8 3],[15.75 17.25] ; [5.25 5.75],0
b3,1,0.061591,3.494004,[32 49] ; [12  7],[35.64 45.36] ; [ 8.36 10.64],0
b2,1,0.061591,3.494004,[32 49] ; [12  7],[35.64 45.36] ; [ 8.36 10.64],0
b1,1,0.077148,3.123985,[52 65] ; [ 8 22],[47.75510204 69.24489796] ; [12.24489796 17.75510204],0
p7,1,0.162014,1.955331,[61 48] ; [12 17],[57.65942029 51.34057971] ; [15.34057971 13.65942029],0
a3,1,0.187734,1.735308,[94 22] ; [21  9],[91.36986301 24.63013699] ; [23.63013699  6.36986301],0
a7,1,0.192792,1.696154,[81 36] ; [17 13],[78. 39.] ; [20. 10.],0
a6,1,0.196426,1.668747,[76 39] ; [16 14],[72.96551724 42.03448276] ; [19.03448276 10.96551724],0
v2,1,0.228441,1.450544,[69 42] ; [15 15],[66.12765957 44.87234043] ; [17.87234043 12.12765957],0
n6,1,0.263123,1.252252,[94 21] ; [21  8],[91.84027778 23.15972222] ; [23.15972222  5.84027778],0
