Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000245,13.452096,[17  7] ; [38 84],[ 9.04109589 14.95890411] ; [45.95890411 76.04109589],1
s6,1,0.039628,4.233757,[19  5] ; [68 52],[14.5  9.5] ; [72.5 47.5],0
v2,1,0.065147,3.401255,[ 7 18] ; [55 59],[11.15107914 13.84892086] ; [50.84892086 63.15107914],0
u1,1,0.093363,2.815412,[ 2 25] ; [  2 120],[ 0.72483221 26.27516779] ; [  3.27516779 118.72483221],0
s3,1,0.100869,2.691749,[17  8] ; [60 60],[13.27586207 11.72413793] ; [63.72413793 56.27586207],0
s5,1,0.103767,2.646678,[ 9 15] ; [26 93],[ 5.87412587 18.12587413] ; [29.12587413 89.87412587],0
v3,1,0.133492,2.251415,[ 6 20] ; [46 73],[ 9.32413793 16.67586207] ; [42.67586207 76.32413793],0
b1,1,0.166912,1.910458,[ 7 20] ; [49 73],[10.14765101 16.85234899] ; [45.85234899 76.14765101],0
p6,1,0.174816,1.841152,[ 5 22] ; [38 82],[ 7.89795918 19.10204082] ; [35.10204082 84.89795918],0
a5,1,0.193011,1.694482,[12 15] ; [71 51],[15.04026846 11.95973154] ; [67.95973154 54.04026846],0
p3,1,0.20841,1.582437,[10 17] ; [61 60],[12.9527027 14.0472973] ; [58.0472973 62.9527027],0
a4,1,0.256785,1.286006,[ 4 23] ; [30 90],[ 6.24489796 20.75510204] ; [27.75510204 92.24489796],0
n5,1,0.313756,1.014797,[18  9] ; [92 29],[20.06756757  6.93243243] ; [89.93243243 31.06756757],0
p10,1,0.313919,1.014116,[22  5] ; [85 33],[19.92413793  7.07586207] ; [87.07586207 30.92413793],0
p12,1,0.318797,0.993876,[ 3 24] ; [  7 114],[ 1.82432432 25.17567568] ; [  8.17567568 112.82432432],0
s7,1,0.368583,0.808435,[13 13] ; [46 68],[10.95714286 15.04285714] ; [48.04285714 65.95714286],0
n6,1,0.38379,0.758526,[24  3] ; [100  22],[22.46979866  4.53020134] ; [101.53020134  20.46979866],0
p4,1,0.405853,0.690916,[12 15] ; [65 57],[13.95302013 13.04697987] ; [63.04697987 58.95302013],0
u2,1,0.422102,0.644455,[ 5 10] ; [26 32],[6.36986301 8.63013699] ; [24.63013699 33.36986301],0
a3,1,0.427119,0.630645,[12 15] ; [64 57],[13.86486486 13.13513514] ; [62.13513514 58.86486486],0
d3,1,0.437183,0.603665,[ 9 17] ; [33 89],[ 7.37837838 18.62162162] ; [34.62162162 87.37837838],0
d2,1,0.44908,0.572972,[ 5 22] ; [31 91],[ 6.52348993 20.47651007] ; [29.47651007 92.52348993],0
p5,1,0.46224,0.540465,[ 2 25] ; [ 15 106],[ 3.10135135 23.89864865] ; [ 13.89864865 107.10135135],0
v4,1,0.468473,0.525576,[25  1] ; [120   2],[25.47297297  0.52702703] ; [119.52702703   2.47297297],0
n1,1,0.473805,0.513088,[2 5] ; [13 17],[2.83783784 4.16216216] ; [12.16216216 17.83783784],0
p11,1,0.523705,0.406591,[19  8] ; [93 29],[20.29530201  6.70469799] ; [91.70469799 30.29530201],0
d5,1,0.559213,0.341069,[14 12] ; [58 64],[12.64864865 13.35135135] ; [59.35135135 62.64864865],0
p9,1,0.574103,0.315865,[22  5] ; [91 28],[20.89726027  6.10273973] ; [92.10273973 26.89726027],0
b5,1,0.624873,0.239078,[15 12] ; [74 48],[16.12751678 10.87248322] ; [72.87248322 49.12751678],0
s1,1,0.680366,0.169714,[ 1 25] ; [  7 112],[ 1.43448276 24.56551724] ; [  6.56551724 112.43448276],0
p7,1,0.692312,0.156594,[17 10] ; [70 49],[16.0890411 10.9109589] ; [70.9109589 48.0890411],0
a2,1,0.695522,0.153173,[ 2 25] ; [ 12 110],[ 2.53691275 24.46308725] ; [ 11.46308725 110.53691275],0
r1,1,0.702874,0.145499,[20  7] ; [93 27],[20.75510204  6.24489796] ; [92.24489796 27.75510204],0
s8,1,0.730865,0.118319,[11 16] ; [45 76],[10.21621622 16.78378378] ; [45.78378378 75.21621622],0
d1,1,0.787287,0.072811,[ 1 26] ; [  6 116],[ 1.26845638 25.73154362] ; [  5.73154362 116.26845638],0
n4,1,0.804571,0.061225,[19  8] ; [88 33],[19.52027027  7.47972973] ; [87.47972973 33.52027027],0
u3,1,0.81796,0.052978,[8 7] ; [29 29],[7.60273973 7.39726027] ; [29.39726027 28.60273973],0
a6,1,0.823933,0.049502,[17 10] ; [74 48],[16.48993289 10.51006711] ; [74.51006711 47.48993289],0
p8,1,0.838649,0.041462,[12 15] ; [55 63],[12.47586207 14.52413793] ; [54.52413793 63.47586207],0
b4,1,0.86175,0.030327,[14 13] ; [61 61],[13.59060403 13.40939597] ; [61.40939597 60.59060403],0
p2,1,0.884419,0.021132,[20  7] ; [92 30],[20.29530201  6.70469799] ; [91.70469799 30.29530201],0
a7,1,0.888636,0.019609,[17  9] ; [78 44],[16.68918919  9.31081081] ; [78.31081081 43.68918919],0
p1,1,0.905304,0.014152,[ 4 23] ; [ 17 105],[ 3.80536913 23.19463087] ; [ 17.19463087 104.80536913],0
v1,1,0.948324,0.004201,[13 14] ; [56 62],[12.84827586 14.15172414] ; [56.15172414 61.84827586],0
