Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.7e-05,17.588256,[ 5 45] ; [17 16],[13.25301205 36.74698795] ; [ 8.74698795 24.25301205],1
s8,1,0.000314,12.986029,[ 5 45] ; [15 19],[11.9047619 38.0952381] ; [ 8.0952381 25.9047619],1
s6,1,0.000428,12.40525,[14 35] ; [23 11],[21.84337349 27.15662651] ; [15.15662651 18.84337349],1
s3,1,0.000504,12.100862,[12 38] ; [21 13],[19.64285714 30.35714286] ; [13.35714286 20.64285714],1
s7,1,0.010441,6.558061,[ 8 40] ; [14 19],[13.03703704 34.96296296] ; [ 8.96296296 24.03703704],0
p3,1,0.018599,5.538843,[11 38] ; [16 18],[15.93975904 33.06024096] ; [11.06024096 22.93975904],0
s4,1,0.034961,4.447059,[10 40] ; [14 20],[14.28571429 35.71428571] ; [ 9.71428571 24.28571429],0
n3,1,0.036464,4.375264,[16  8] ; [4 9],[12.97297297 11.02702703] ; [7.02702703 5.97297297],0
r3,1,0.04909,3.872284,[37 13] ; [31  3],[40.47619048  9.52380952] ; [27.52380952  6.47619048],0
u3,1,0.051422,3.794466,[10 17] ; [12  6],[13.2 13.8] ; [8.8 9.2],0
a1,1,0.063364,3.447065,[ 1 49] ; [ 4 30],[ 2.97619048 47.02380952] ; [ 2.02380952 31.97619048],0
a5,1,0.071593,3.246117,[18 32] ; [19 15],[22.02380952 27.97619048] ; [14.97619048 19.02380952],0
p10,1,0.092289,2.833985,[25 24] ; [23 10],[28.68292683 20.31707317] ; [19.31707317 13.68292683],0
p4,1,0.09731,2.749091,[16 34] ; [17 17],[19.64285714 30.35714286] ; [13.35714286 20.64285714],0
d4,1,0.102211,2.670701,[28 22] ; [25  9],[31.54761905 18.45238095] ; [21.45238095 12.54761905],0
v1,1,0.106997,2.598032,[12 37] ; [14 20],[15.34939759 33.65060241] ; [10.65060241 23.34939759],0
a6,1,0.13,2.292504,[21 29] ; [20 14],[24.4047619 25.5952381] ; [16.5952381 17.4047619],0
p6,1,0.130777,2.283252,[10 39] ; [12 22],[12.98795181 36.01204819] ; [ 9.01204819 24.98795181],0
b4,1,0.131056,2.279952,[24 26] ; [22 12],[27.38095238 22.61904762] ; [18.61904762 15.38095238],0
r2,1,0.141947,2.156729,[34 16] ; [28  6],[36.9047619 13.0952381] ; [25.0952381  8.9047619],0
d1,1,0.143771,2.137131,[13 37] ; [14 20],[16.07142857 33.92857143] ; [10.92857143 23.07142857],0
d2,1,0.144837,2.125804,[21 29] ; [ 9 25],[17.85714286 32.14285714] ; [12.14285714 21.85714286],0
d5,1,0.152699,2.045077,[27 23] ; [23 10],[30.12048193 19.87951807] ; [19.87951807 13.12048193],0
n2,1,0.173023,1.856556,[13 11] ; [10  3],[14.91891892  9.08108108] ; [8.08108108 4.91891892],0
p8,1,0.241058,1.374398,[16 33] ; [15 18],[18.52439024 30.47560976] ; [12.47560976 20.52439024],0
v4,1,0.252341,1.310295,[39 11] ; [29  4],[40.96385542  9.03614458] ; [27.03614458  5.96385542],0
v3,1,0.265402,1.240357,[ 9 40] ; [ 3 29],[ 7.25925926 41.74074074] ; [ 4.74074074 27.25925926],0
d3,1,0.300501,1.071972,[24 25] ; [20 13],[26.29268293 22.70731707] ; [17.70731707 15.29268293],0
a2,1,0.336116,0.925188,[ 4 46] ; [ 1 33],[ 2.97619048 47.02380952] ; [ 2.02380952 31.97619048],0
p9,1,0.337356,0.920455,[30 18] ; [24  9],[32. 16.] ; [22. 11.],0
v2,1,0.352487,0.864483,[12 38] ; [11 22],[13.85542169 36.14457831] ; [ 9.14457831 23.85542169],0
b2,1,0.39329,0.728745,[10 16] ; [ 5 14],[ 8.66666667 17.33333333] ; [ 6.33333333 12.66666667],0
b3,1,0.39329,0.728745,[10 16] ; [ 5 14],[ 8.66666667 17.33333333] ; [ 6.33333333 12.66666667],0
n5,1,0.475896,0.508252,[20 30] ; [11 23],[18.45238095 31.54761905] ; [12.54761905 21.45238095],0
s1,1,0.518172,0.417529,[ 3 47] ; [ 1 33],[ 2.38095238 47.61904762] ; [ 1.61904762 32.38095238],0
p1,1,0.527351,0.399493,[ 5 45] ; [ 2 31],[ 4.21686747 45.78313253] ; [ 2.78313253 30.21686747],0
