Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.5e-05,17.150928,[53  6] ; [3 6],[48.58823529 10.41176471] ; [7.41176471 1.58823529],1
s2,1,0.000304,13.046624,[43 16] ; [1 8],[38.17647059 20.82352941] ; [5.82352941 3.17647059],1
p9,1,0.00068,11.543238,[47 11] ; [2 6],[43.06060606 14.93939394] ; [5.93939394 2.06060606],1
s8,1,0.001249,10.417014,[44 14] ; [2 7],[39.82089552 18.17910448] ; [6.17910448 2.82089552],0
s6,1,0.005349,7.757471,[50  9] ; [4 5],[46.85294118 12.14705882] ; [7.14705882 1.85294118],0
r3,1,0.005384,7.74558,[56  3] ; [6 3],[53.79411765  5.20588235] ; [8.20588235 0.79411765],0
p10,1,0.008455,6.934463,[45 14] ; [3 6],[41.64705882 17.35294118] ; [6.35294118 2.64705882],0
r1,1,0.009273,6.769475,[49 10] ; [4 5],[45.98529412 13.01470588] ; [7.01470588 1.98529412],0
p1,1,0.014614,5.96245,[ 4 55] ; [3 6],[ 6.07352941 52.92647059] ; [0.92647059 8.07352941],0
a7,1,0.045787,3.989405,[40 19] ; [3 6],[37.30882353 21.69117647] ; [5.69117647 3.30882353],0
s3,1,0.051705,3.785273,[44 14] ; [4 5],[41.55223881 16.44776119] ; [6.44776119 2.55223881],0
a6,1,0.076092,3.146453,[42 15] ; [4 5],[39.72727273 17.27272727] ; [6.27272727 2.72727273],0
a5,1,0.082074,3.02335,[48 11] ; [5 4],[45.98529412 13.01470588] ; [7.01470588 1.98529412],0
n5,1,0.085435,2.958361,[43 16] ; [4 5],[40.77941176 18.22058824] ; [6.22058824 2.77941176],0
v1,1,0.108025,2.582879,[31 25] ; [2 6],[28.875 27.125] ; [4.125 3.875],0
p3,1,0.114872,2.485878,[22 36] ; [1 8],[19.91044776 38.08955224] ; [3.08955224 5.91044776],0
p4,1,0.135801,2.224906,[21 37] ; [1 8],[19.04477612 38.95522388] ; [2.95522388 6.04477612],0
p6,1,0.143637,2.138556,[21 38] ; [1 8],[19.08823529 39.91176471] ; [2.91176471 6.08823529],0
n4,1,0.148106,2.091651,[46 13] ; [5 4],[44.25 14.75] ; [6.75 2.25],0
d5,1,0.148829,2.084211,[49  8] ; [6 3],[47.5  9.5] ; [7.5 1.5],0
d3,1,0.160653,1.96807,[39 18] ; [4 5],[37.13636364 19.86363636] ; [5.86363636 3.13636364],0
a2,1,0.195814,1.673321,[19 40] ; [1 8],[17.35294118 41.64705882] ; [2.64705882 6.35294118],0
b5,1,0.251012,1.31766,[38 21] ; [4 5],[36.44117647 22.55882353] ; [5.55882353 3.44117647],0
s5,1,0.28065,1.163938,[23 33] ; [2 7],[21.53846154 34.46153846] ; [3.46153846 5.53846154],0
p7,1,0.297449,1.085597,[23 34] ; [2 7],[21.59090909 35.40909091] ; [3.40909091 5.59090909],0
u1,1,0.301586,1.067169,[16 43] ; [1 8],[14.75 44.25] ; [2.25 6.75],0
n6,1,0.323928,0.973023,[47 11] ; [6 3],[45.88059701 12.11940299] ; [7.11940299 1.88059701],0
b4,1,0.331355,0.943596,[36 23] ; [7 2],[37.30882353 21.69117647] ; [5.69117647 3.30882353],0
a8,1,0.341431,0.905051,[ 6 49] ; [2 7],[ 6.875 48.125] ; [1.125 7.875],0
a3,1,0.39513,0.723098,[45 14] ; [8 1],[45.98529412 13.01470588] ; [7.01470588 1.98529412],0
n3,1,0.404657,0.694444,[12  8] ; [4 1],[12.8  7.2] ; [3.2 1.8],0
n2,1,0.496587,0.462222,[16  4] ; [4 2],[15.38461538  4.61538462] ; [4.61538462 1.38461538],0
v3,1,0.573216,0.31733,[26 28] ; [3 5],[25.25806452 28.74193548] ; [3.74193548 4.25806452],0
a4,1,0.583515,0.300586,[32 27] ; [4 5],[31.23529412 27.76470588] ; [4.76470588 4.23529412],0
d2,1,0.587625,0.294069,[37 20] ; [5 4],[36.27272727 20.72727273] ; [5.72727273 3.27272727],0
d4,1,0.630356,0.231579,[48  9] ; [7 2],[47.5  9.5] ; [7.5 1.5],0
b2,1,0.646184,0.210745,[19 27] ; [4 4],[19.59259259 26.40740741] ; [3.40740741 4.59259259],0
b3,1,0.646184,0.210745,[19 27] ; [4 4],[19.59259259 26.40740741] ; [3.40740741 4.59259259],0
n1,1,0.702195,0.146199,[11  8] ; [4 2],[11.4  7.6] ; [3.6 2.4],0
s1,1,0.795053,0.067473,[ 5 54] ; [1 8],[ 5.20588235 53.79411765] ; [0.79411765 8.20588235],0
d1,1,0.864334,0.029193,[41 18] ; [6 3],[40.77941176 18.22058824] ; [6.22058824 2.77941176],0
v2,1,0.882427,0.021872,[32 23] ; [5 4],[31.796875 23.203125] ; [5.203125 3.796875],0
b1,1,0.941039,0.005471,[32 27] ; [5 4],[32.10294118 26.89705882] ; [4.89705882 4.10294118],0
p11,1,0.973379,0.001114,[39 20] ; [6 3],[39.04411765 19.95588235] ; [5.95588235 3.04411765],0
s4,1,0.989874,0.000161,[13 46] ; [2 7],[13.01470588 45.98529412] ; [1.98529412 7.01470588],0
