Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.535391,[73  4] ; [16 19],[61.1875 15.8125] ; [27.8125  7.1875],1
r2,1,3.2e-05,17.32057,[73  4] ; [22 12],[65.9009009 11.0990991] ; [29.0990991  4.9009009],1
a5,1,0.000294,13.110229,[46 31] ; [ 8 27],[37.125 39.875] ; [16.875 18.125],1
v2,1,0.00341,8.573892,[42 32] ; [ 9 25],[34.94444444 39.05555556] ; [16.05555556 17.94444444],0
s7,1,0.004711,7.987087,[41 31] ; [ 9 24],[34.28571429 37.71428571] ; [15.71428571 17.28571429],0
b3,1,0.004931,7.90448,[21 28] ; [ 2 20],[15.87323944 33.12676056] ; [ 7.12676056 14.87323944],0
b2,1,0.004931,7.90448,[21 28] ; [ 2 20],[15.87323944 33.12676056] ; [ 7.12676056 14.87323944],0
a7,1,0.013365,6.120173,[54 23] ; [16 19],[48.125 28.875] ; [21.875 13.125],0
p11,1,0.013449,6.109091,[63 14] ; [21 14],[57.75 19.25] ; [26.25  8.75],0
u3,1,0.027307,4.871276,[18 11] ; [ 6 14],[14.20408163 14.79591837] ; [ 9.79591837 10.20408163],0
p10,1,0.029081,4.762806,[57 19] ; [19 16],[52.03603604 23.96396396] ; [23.96396396 11.03603604],0
r3,1,0.032185,4.588606,[72  5] ; [28  7],[68.75  8.25] ; [31.25  3.75],0
p6,1,0.04357,4.073143,[39 36] ; [11 24],[34.09090909 40.90909091] ; [15.90909091 19.09090909],0
v1,1,0.048732,3.884549,[40 36] ; [11 23],[35.23636364 40.76363636] ; [15.76363636 18.23636364],0
d3,1,0.052825,3.749442,[37 40] ; [10 25],[32.3125 44.6875] ; [14.6875 20.3125],0
v3,1,0.057587,3.605553,[29 47] ; [ 7 28],[24.64864865 51.35135135] ; [11.35135135 23.64864865],0
s5,1,0.058625,3.575851,[27 49] ; [ 6 28],[22.8 53.2] ; [10.2 23.8],0
v4,1,0.073753,3.197454,[71  5] ; [28  6],[68.4  7.6] ; [30.6  3.4],0
n2,1,0.093028,2.821181,[13  3] ; [5 5],[11.07692308  4.92307692] ; [6.92307692 3.07692308],0
a3,1,0.097933,2.73888,[47 30] ; [15 19],[43.00900901 33.99099099] ; [18.99099099 15.00900901],0
a4,1,0.101179,2.686861,[19 57] ; [ 4 31],[15.74774775 60.25225225] ; [ 7.25225225 27.74774775],0
s3,1,0.138121,2.198768,[50 27] ; [17 17],[46.47747748 30.52252252] ; [20.52252252 13.47747748],0
a1,1,0.155903,2.013526,[ 2 75] ; [ 3 32],[ 3.4375 73.5625] ; [ 1.5625 33.4375],0
s1,1,0.160923,1.96553,[ 2 74] ; [ 3 32],[ 3.42342342 72.57657658] ; [ 1.57657658 33.42342342],0
a6,1,0.171202,1.872388,[48 29] ; [17 18],[44.6875 32.3125] ; [20.3125 14.6875],0
p4,1,0.20286,1.621661,[43 34] ; [24 11],[46.0625 30.9375] ; [20.9375 14.0625],0
n6,1,0.214216,1.5427,[63 14] ; [25 10],[60.5 16.5] ; [27.5  7.5],0
d1,1,0.235091,1.40979,[ 7 70] ; [ 1 34],[ 5.5 71.5] ; [ 2.5 32.5],0
d2,1,0.274257,1.195329,[23 54] ; [ 7 28],[20.625 56.375] ; [ 9.375 25.625],0
p9,1,0.310968,1.026558,[57 19] ; [23 12],[54.77477477 21.22522523] ; [25.22522523  9.77477477],0
s4,1,0.337685,0.919201,[10 67] ; [ 7 28],[11.6875 65.3125] ; [ 5.3125 29.6875],0
n5,1,0.437991,0.601539,[52 25] ; [21 14],[50.1875 26.8125] ; [22.8125 12.1875],0
b4,1,0.459842,0.546278,[41 36] ; [16 19],[39.1875 37.8125] ; [17.8125 17.1875],0
b5,1,0.48575,0.485928,[43 34] ; [22 13],[44.6875 32.3125] ; [20.3125 14.6875],0
s8,1,0.513402,0.427126,[31 45] ; [12 23],[29.44144144 46.55855856] ; [13.55855856 21.44144144],0
a8,1,0.545864,0.364779,[ 9 61] ; [ 3 31],[ 8.07692308 61.92307692] ; [ 3.92307692 30.07692308],0
p2,1,0.563865,0.333056,[65 12] ; [28  7],[63.9375 13.0625] ; [29.0625  5.9375],0
s6,1,0.665288,0.187163,[44 31] ; [19 16],[42.95454545 32.04545455] ; [20.04545455 14.95454545],0
p8,1,0.665448,0.186973,[48 28] ; [20 14],[46.98181818 29.01818182] ; [21.01818182 12.98181818],0
p1,1,0.680693,0.169347,[11 66] ; [ 4 31],[10.3125 66.6875] ; [ 4.6875 30.3125],0
d4,1,0.690882,0.158132,[40 36] ; [17 18],[39.02702703 36.97297297] ; [17.97297297 17.02702703],0
n1,1,0.69574,0.152941,[ 6 10] ; [3 7],[ 5.53846154 10.46153846] ; [3.46153846 6.53846154],0
n4,1,0.696662,0.151967,[47 30] ; [20 15],[46.0625 30.9375] ; [20.9375 14.0625],0
p5,1,0.753256,0.098815,[13 63] ; [ 5 29],[12.43636364 63.56363636] ; [ 5.56363636 28.43636364],0
s2,1,0.918605,0.010443,[36 41] ; [16 19],[35.75 41.25] ; [16.25 18.75],0
p12,1,0.928793,0.007986,[ 7 70] ; [ 3 32],[ 6.875 70.125] ; [ 3.125 31.875],0
n3,1,0.937287,0.00619,[13  3] ; [8 2],[12.92307692  3.07692308] ; [8.07692308 1.92307692],0
b1,1,0.939054,0.005846,[38 39] ; [17 18],[37.8125 39.1875] ; [17.1875 17.8125],0
u2,1,0.950927,0.003788,[15 14] ; [10  9],[15.10416667 13.89583333] ; [9.89583333 9.10416667],0
p3,1,0.959328,0.002601,[40 37] ; [18 17],[39.875 37.125] ; [18.125 16.875],0
