Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3e-06,21.746469,[342  44] ; [44 22],[329.63716814  56.36283186] ; [56.36283186  9.63716814],1
d1,1,9e-06,19.810461,[224 164] ; [19 48],[207.21758242 180.78241758] ; [35.78241758 31.21758242],1
a5,1,0.000926,10.970467,[281 107] ; [35 32],[269.46813187 118.53186813] ; [46.53186813 20.46813187],1
r2,1,0.001046,10.745178,[356  27] ; [54 13],[348.95555556  34.04444444] ; [61.04444444  5.95555556],0
v3,1,0.0017,9.84781,[156 219] ; [14 52],[144.55782313 230.44217687] ; [25.44217687 40.55782313],0
d2,1,0.002286,9.304379,[193 193] ; [20 47],[181.49668874 204.50331126] ; [31.50331126 35.49668874],0
d5,1,0.010012,6.632675,[309  78] ; [44 23],[300.90528634  86.09471366] ; [52.09471366 14.90528634],0
r1,1,0.011253,6.424913,[298  88] ; [42 25],[289.71302428  96.28697572] ; [50.28697572 16.71302428],0
p3,1,0.01555,5.853017,[182 203] ; [21 46],[172.90929204 212.09070796] ; [30.09070796 36.90929204],0
s4,1,0.018349,5.562545,[ 37 348] ; [13 54],[ 42.58849558 342.41150442] ; [ 7.41150442 59.58849558],0
p10,1,0.021686,5.270794,[309  74] ; [45 21],[301.96436526  81.03563474] ; [52.03563474 13.96436526],0
a4,1,0.022473,5.208783,[172 212] ; [20 47],[163.4767184 220.5232816] ; [28.5232816 38.4767184],0
s6,1,0.023646,5.120389,[230 156] ; [30 37],[221.54525386 164.45474614] ; [38.45474614 28.54525386],0
r3,1,0.025018,5.022613,[356  31] ; [55 11],[351.1192053  35.8807947] ; [59.8807947  6.1192053],0
s7,1,0.028952,4.770473,[163 205] ; [19 45],[155.03703704 212.96296296] ; [26.96296296 37.03703704],0
r4,1,0.033693,4.510229,[330  58] ; [50 17],[324.04395604  63.95604396] ; [55.95604396 11.04395604],0
p4,1,0.035797,4.406743,[226 160] ; [30 37],[218.13686534 167.86313466] ; [37.86313466 29.13686534],0
n1,1,0.035807,4.406281,[40 44] ; [ 6 19],[35.44954128 48.55045872] ; [10.55045872 14.44954128],0
s8,1,0.035912,4.4013,[150 237] ; [17 50],[142.35462555 244.64537445] ; [24.64537445 42.35462555],0
d4,1,0.05023,3.833763,[301  86] ; [44 22],[294.73509934  92.26490066] ; [50.26490066 15.73509934],0
p1,1,0.060733,3.517265,[ 30 357] ; [ 1 66],[ 26.42511013 360.57488987] ; [ 4.57488987 62.42511013],0
s2,1,0.091614,2.845789,[159 226] ; [20 46],[152.80487805 232.19512195] ; [26.19512195 39.80487805],0
p11,1,0.091951,2.839874,[308  80] ; [47 20],[302.72527473  85.27472527] ; [52.27472527 14.72527473],0
u1,1,0.095264,2.783088,[ 66 322] ; [ 6 61],[ 61.3978022 326.6021978] ; [10.6021978 56.3978022],0
p6,1,0.105728,2.616936,[125 257] ; [15 51],[119.375 262.625] ; [20.625 45.375],0
d3,1,0.108033,2.582765,[251 136] ; [36 30],[245.18543046 141.81456954] ; [41.81456954 24.18543046],0
a2,1,0.111288,2.535842,[ 92 296] ; [10 57],[ 86.98021978 301.01978022] ; [15.01978022 51.98021978],0
a8,1,0.113657,2.502627,[ 56 294] ; [ 5 56],[ 51.94647202 298.05352798] ; [ 9.05352798 51.94647202],0
s3,1,0.132253,2.26586,[193 191] ; [27 40],[187.31707317 196.68292683] ; [32.68292683 34.31707317],0
a1,1,0.133663,2.249443,[ 23 365] ; [ 1 66],[ 20.46593407 367.53406593] ; [ 3.53406593 63.46593407],0
p8,1,0.146598,2.107303,[189 191] ; [26 39],[183.59550562 196.40449438] ; [31.40449438 33.59550562],0
v1,1,0.14804,2.092334,[202 175] ; [29 37],[196.58465011 180.41534989] ; [34.41534989 31.58465011],0
a7,1,0.154444,2.027796,[276 111] ; [42 25],[271.07048458 115.92951542] ; [46.92951542 20.07048458],0
b1,1,0.160239,1.97197,[150 238] ; [32 35],[155.2 232.8] ; [26.8 40.2],0
v2,1,0.179088,1.805173,[199 172] ; [29 36],[194.00917431 176.99082569] ; [33.99082569 31.00917431],0
a3,1,0.201241,1.633347,[266 119] ; [41 26],[261.49336283 123.50663717] ; [45.50663717 21.49336283],0
p2,1,0.226591,1.46213,[306  78] ; [49 18],[302.2616408  81.7383592] ; [52.7383592 14.2616408],0
p9,1,0.281774,1.158512,[316  67] ; [50 15],[312.89732143  70.10267857] ; [53.10267857 11.89732143],0
p12,1,0.290058,1.119352,[ 24 360] ; [ 2 65],[ 22.13747228 361.86252772] ; [ 3.86252772 63.13747228],0
b3,1,0.401889,0.702668,[ 95 150] ; [11 24],[ 92.75 152.25] ; [13.25 21.75],0
b2,1,0.401889,0.702668,[ 95 150] ; [11 24],[ 92.75 152.25] ; [13.25 21.75],0
p7,1,0.403856,0.696814,[225 154] ; [35 30],[221.93693694 157.06306306] ; [38.06306306 26.93693694],0
u2,1,0.453191,0.562659,[60 61] ; [15 11],[61.73469388 59.26530612] ; [13.26530612 12.73469388],0
a6,1,0.486971,0.483211,[265 122] ; [43 24],[262.54625551 124.45374449] ; [45.45374449 21.54625551],0
b5,1,0.500032,0.454869,[238 150] ; [44 23],[240.47472527 147.52527473] ; [41.52527473 25.47472527],0
u4,1,0.526561,0.401024,[ 11 377] ; [ 1 66],[ 10.23296703 377.76703297] ; [ 1.76703297 65.23296703],0
n2,1,0.563311,0.334005,[57 28] ; [19  7],[58.1981982 26.8018018] ; [17.8018018  8.1981982],0
n3,1,0.658972,0.194775,[55 28] ; [16 10],[54.06422018 28.93577982] ; [16.93577982  9.06422018],0
s1,1,0.727567,0.121358,[ 15 368] ; [ 2 64],[ 14.50111359 368.49888641] ; [ 2.49888641 63.50111359],0
