Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,51.552174,[ 15 106] ; [90 78],[43.96193772 77.03806228] ; [ 61.03806228 106.96193772],1
a3,1,0.0,36.391506,[49 72] ; [127  41],[73.68858131 47.31141869] ; [102.31141869  65.68858131],1
d1,1,0.0,36.17723,[34 87] ; [108  61],[59.24827586 61.75172414] ; [82.75172414 86.24827586],1
d2,1,0.0,33.783521,[27 93] ; [95 72],[51.01045296 68.98954704] ; [70.98954704 96.01045296],1
d5,1,0.0,31.907936,[67 53] ; [144  24],[87.91666667 32.08333333] ; [123.08333333  44.91666667],1
a6,1,0.0,28.413294,[56 65] ; [129  39],[77.4567474 43.5432526] ; [107.5432526  60.4567474],1
n4,1,1e-06,23.409575,[56 64] ; [126  43],[75.57093426 44.42906574] ; [106.42906574  62.57093426],1
d4,1,5.3e-05,16.347762,[75 44] ; [141  27],[89.56097561 29.43902439] ; [126.43902439  41.56097561],1
u1,1,9.5e-05,15.242662,[  2 119] ; [ 26 143],[ 11.68275862 109.31724138] ; [ 16.31724138 152.68275862],1
r1,1,0.000156,14.30312,[66 55] ; [128  41],[80.94482759 40.05517241] ; [113.05517241  55.94482759],1
d3,1,0.000601,11.773958,[63 56] ; [122  46],[76.70731707 42.29268293] ; [108.29268293  59.70731707],1
r4,1,0.004058,8.257866,[81 40] ; [138  31],[91.37586207 29.62413793] ; [127.62413793  41.37586207],0
r2,1,0.004751,7.972028,[96 24] ; [151  14],[104.  16.] ; [143.  22.],0
p10,1,0.008873,6.848287,[65 52] ; [118  49],[75.39084507 41.60915493] ; [107.60915493  59.39084507],0
p4,1,0.010996,6.465917,[24 94] ; [ 57 110],[33.53684211 84.46315789] ; [ 47.46315789 119.53684211],0
a7,1,0.015545,5.853663,[72 47] ; [125  44],[81.39930556 37.60069444] ; [115.60069444  53.39930556],0
n5,1,0.018775,5.522361,[65 54] ; [114  53],[74.47902098 44.52097902] ; [104.52097902  62.47902098],0
s7,1,0.021627,5.275567,[30 88] ; [62 99],[38.91039427 79.08960573] ; [ 53.08960573 107.91039427],0
p9,1,0.028969,4.769426,[70 46] ; [120  45],[78.4341637 37.5658363] ; [111.5658363  53.4341637],0
s6,1,0.036429,4.3769,[50 70] ; [91 77],[58.75 61.25] ; [82.25 85.75],0
v4,1,0.06104,3.508898,[97 22] ; [150  18],[102.41463415  16.58536585] ; [144.58536585  23.41463415],0
b3,1,0.078569,3.094266,[13 46] ; [33 60],[17.85526316 41.14473684] ; [28.14473684 64.85526316],0
b2,1,0.078569,3.094266,[13 46] ; [33 60],[17.85526316 41.14473684] ; [28.14473684 64.85526316],0
v2,1,0.109404,2.56281,[35 77] ; [66 96],[41.28467153 70.71532847] ; [ 59.71532847 102.28467153],0
n6,1,0.120226,2.414377,[83 38] ; [129  39],[88.76124567 32.23875433] ; [123.23875433  44.76124567],0
p6,1,0.157916,1.994067,[25 95] ; [ 24 142],[20.55944056 99.44055944] ; [ 28.44055944 137.55944056],0
s5,1,0.16414,1.935661,[20 98] ; [ 39 125],[24.68794326 93.31205674] ; [ 34.31205674 129.68794326],0
s8,1,0.166746,1.911954,[27 94] ; [ 50 119],[32.12758621 88.87241379] ; [ 44.87241379 124.12758621],0
s4,1,0.174705,1.842097,[26 93] ; [ 26 141],[21.63636364 97.36363636] ; [ 30.36363636 136.63636364],0
n3,1,0.205468,1.603073,[25 19] ; [42 19],[28.07619048 15.92380952] ; [38.92380952 22.07619048],0
n1,1,0.228819,1.448189,[13 31] ; [25 36],[15.92380952 28.07619048] ; [22.07619048 38.92380952],0
v3,1,0.232437,1.425885,[23 94] ; [ 42 121],[27.16071429 89.83928571] ; [ 37.83928571 125.16071429],0
b4,1,0.23687,1.399123,[75 46] ; [93 76],[70.09655172 50.90344828] ; [97.90344828 71.09655172],0
r3,1,0.249306,1.327189,[100  20] ; [148  20],[103.33333333  16.66666667] ; [144.66666667  23.33333333],0
b5,1,0.278614,1.173839,[75 46] ; [94 75],[70.5137931 50.4862069] ; [98.4862069 70.5137931],0
p8,1,0.33836,0.916635,[40 80] ; [ 46 118],[36.33802817 83.66197183] ; [ 49.66197183 114.33802817],0
p7,1,0.343088,0.898859,[45 69] ; [75 91],[48.85714286 65.14285714] ; [71.14285714 94.85714286],0
