Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7.7e-05,15.639336,[35 94] ; [17  8],[43.55844156 85.44155844] ; [ 8.44155844 16.55844156],1
s4,1,0.014115,6.023727,[ 10 120] ; [ 6 19],[ 13.41935484 116.58064516] ; [ 2.58064516 22.41935484],0
n1,1,0.019247,5.478896,[ 7 37] ; [5 5],[ 9.77777778 34.22222222] ; [2.22222222 7.77777778],0
s7,1,0.026417,4.928491,[24 99] ; [10 15],[28.25675676 94.74324324] ; [ 5.74324324 19.25675676],0
d2,1,0.029491,4.738708,[43 87] ; [14 11],[47.80645161 82.19354839] ; [ 9.19354839 15.80645161],0
a6,1,0.045642,3.99474,[80 50] ; [10 15],[75.48387097 54.51612903] ; [14.51612903 10.48387097],0
p5,1,0.049111,3.871547,[  4 126] ; [ 3 22],[  5.87096774 124.12903226] ; [ 1.12903226 23.87096774],0
n4,1,0.074568,3.179487,[56 74] ; [ 6 19],[52. 78.] ; [10. 15.],0
u1,1,0.09149,2.847953,[  5 125] ; [ 3 22],[  6.70967742 123.29032258] ; [ 1.29032258 23.70967742],0
p10,1,0.139898,2.17908,[67 62] ; [17  8],[70.36363636 58.63636364] ; [13.63636364 11.36363636],0
s3,1,0.143633,2.138602,[ 25 101] ; [ 8 16],[27.72 98.28] ; [ 5.28 18.72],0
p4,1,0.186335,1.746357,[44 85] ; [12 13],[46.90909091 82.09090909] ; [ 9.09090909 15.90909091],0
p7,1,0.199336,1.647231,[65 65] ; [16  9],[67.93548387 62.06451613] ; [13.06451613 11.93548387],0
b1,1,0.204455,1.61026,[54 76] ; [ 7 18],[51.16129032 78.83870968] ; [ 9.83870968 15.16129032],0
b5,1,0.206893,1.593035,[80 50] ; [12 13],[77.16129032 52.83870968] ; [14.83870968 10.16129032],0
u2,1,0.244504,1.354435,[28 19] ; [3 5],[26.49090909 20.50909091] ; [4.50909091 3.49090909],0
p6,1,0.270572,1.213846,[ 24 101] ; [ 7 17],[26.00671141 98.99328859] ; [ 4.99328859 19.00671141],0
n6,1,0.302922,1.061285,[74 56] ; [17  8],[76.32258065 53.67741935] ; [14.67741935 10.32258065],0
p1,1,0.308678,1.036325,[  8 120] ; [ 3 22],[  9.20261438 118.79738562] ; [ 1.79738562 23.20261438],0
s8,1,0.343497,0.897336,[ 21 109] ; [ 6 19],[ 22.64516129 107.35483871] ; [ 4.35483871 20.64516129],0
r1,1,0.345136,0.89126,[92 38] ; [20  5],[93.93548387 36.06451613] ; [18.06451613  6.93548387],0
d5,1,0.383344,0.759952,[93 37] ; [20  5],[94.77419355 35.22580645] ; [18.22580645  6.77419355],0
r2,1,0.396329,0.719435,[109  19] ; [22  2],[110.31578947  17.68421053] ; [20.68421053  3.31578947],0
a1,1,0.413273,0.669366,[  2 128] ; [ 1 24],[  2.51612903 127.48387097] ; [ 0.48387097 24.51612903],0
p12,1,0.417309,0.65788,[  2 127] ; [ 1 24],[  2.51298701 126.48701299] ; [ 0.48701299 24.51298701],0
u3,1,0.478071,0.503261,[24 23] ; [3 5],[23.07272727 23.92727273] ; [3.92727273 4.07272727],0
b4,1,0.495293,0.465008,[79 51] ; [17  8],[80.51612903 49.48387097] ; [15.48387097  9.51612903],0
p9,1,0.505579,0.443207,[78 50] ; [17  8],[79.47712418 48.52287582] ; [15.52287582  9.47712418],0
a3,1,0.50984,0.434396,[83 47] ; [17  7],[84.41558442 45.58441558] ; [15.58441558  8.41558442],0
p3,1,0.520777,0.412354,[43 86] ; [10 15],[44.3961039 84.6038961] ; [ 8.6038961 16.3961039],0
d4,1,0.530942,0.392589,[102  28] ; [21  4],[103.16129032  26.83870968] ; [19.83870968  5.16129032],0
n3,1,0.541243,0.373241,[29 14] ; [7 2],[29.76923077 13.23076923] ; [6.23076923 2.76923077],0
a7,1,0.546974,0.362767,[96 34] ; [17  8],[94.77419355 35.22580645] ; [18.22580645  6.77419355],0
a4,1,0.554239,0.349779,[44 86] ; [10 15],[45.29032258 84.70967742] ; [ 8.70967742 16.29032258],0
p8,1,0.585434,0.297531,[54 75] ; [ 9 16],[52.77272727 76.22727273] ; [10.22727273 14.77272727],0
a8,1,0.589682,0.290841,[  7 115] ; [ 2 21],[  7.57241379 114.42758621] ; [ 1.42758621 21.57241379],0
a2,1,0.604102,0.268854,[ 15 115] ; [ 2 23],[ 14.25806452 115.74193548] ; [ 2.74193548 22.25806452],0
r3,1,0.604102,0.268854,[115  15] ; [23  2],[115.74193548  14.25806452] ; [22.25806452  2.74193548],0
n2,1,0.639938,0.218824,[25 18] ; [5 5],[24.33962264 18.66037736] ; [5.66037736 4.33962264],0
v4,1,0.648384,0.207943,[112  17] ; [20  4],[111.29411765  17.70588235] ; [20.70588235  3.29411765],0
v1,1,0.654233,0.200605,[43 84] ; [ 7 17],[42.05298013 84.94701987] ; [ 7.94701987 16.05298013],0
d3,1,0.662089,0.190996,[89 41] ; [16  9],[88.06451613 41.93548387] ; [16.93548387  8.06451613],0
p11,1,0.71897,0.129481,[88 42] ; [16  9],[87.22580645 42.77419355] ; [16.77419355  8.22580645],0
d1,1,0.74585,0.105052,[63 67] ; [13 12],[63.74193548 66.25806452] ; [12.25806452 12.74193548],0
v3,1,0.749142,0.102254,[32 91] ; [ 7 17],[32.63265306 90.36734694] ; [ 6.36734694 17.63265306],0
p2,1,0.80573,0.060486,[95 34] ; [19  6],[95.49350649 33.50649351] ; [18.50649351  6.49350649],0
a5,1,0.830434,0.045858,[75 55] ; [15 10],[75.48387097 54.51612903] ; [14.51612903 10.48387097],0
b2,1,0.984013,0.000402,[23 50] ; [ 5 11],[22.96629213 50.03370787] ; [ 5.03370787 10.96629213],0
b3,1,0.984013,0.000402,[23 50] ; [ 5 11],[22.96629213 50.03370787] ; [ 5.03370787 10.96629213],0
r4,1,0.986815,0.000273,[99 31] ; [19  6],[98.96774194 31.03225806] ; [19.03225806  5.96774194],0
v2,1,1.0,0.0,[60 65] ; [12 13],[60. 65.] ; [12. 13.],0
