Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,104.131971,[173 244] ; [237  60],[239.45378151 177.54621849] ; [170.54621849 126.45378151],1
v1,1,0.0,41.366765,[186 233] ; [204  93],[228.22625698 190.77374302] ; [161.77374302 135.22625698],1
s7,1,5e-06,21.021463,[181 235] ; [172 109],[210.68579627 205.31420373] ; [142.31420373 138.68579627],1
s8,1,1.2e-05,19.094295,[166 262] ; [164 133],[194.8137931 233.1862069] ; [135.1862069 161.8137931],1
n4,1,3.4e-05,17.176523,[324 104] ; [264  36],[345.69230769  82.30769231] ; [242.30769231  57.69230769],1
n5,1,0.0001,15.135797,[318 109] ; [259  41],[338.89821183  88.10178817] ; [238.10178817  61.89821183],1
p3,1,0.000328,12.904631,[194 234] ; [176 123],[217.82668501 210.17331499] ; [152.17331499 146.82668501],1
p12,1,0.000432,12.389611,[ 23 403] ; [ 38 259],[ 35.94190871 390.05809129] ; [ 25.05809129 271.94190871],1
p5,1,0.00065,11.626192,[ 37 390] ; [ 51 248],[ 51.75757576 375.24242424] ; [ 36.24242424 262.75757576],1
a1,1,0.001354,10.26807,[ 11 418] ; [ 23 278],[ 19.98082192 409.01917808] ; [ 14.01917808 286.98082192],0
a3,1,0.002165,9.404276,[287 141] ; [231  67],[305.37741047 122.62258953] ; [212.62258953  85.37741047],0
d1,1,0.002877,8.883825,[232 197] ; [196 105],[251.52328767 177.47671233] ; [176.47671233 124.52328767],0
p7,1,0.006461,7.417057,[258 164] ; [206  84],[275.01123596 146.98876404] ; [188.98876404 101.01123596],0
s2,1,0.014624,5.961264,[201 225] ; [167 129],[217.13019391 208.86980609] ; [150.86980609 145.13019391],0
d2,1,0.015569,5.850906,[195 233] ; [164 136],[211.06043956 216.93956044] ; [147.93956044 152.06043956],0
p10,1,0.022349,5.218439,[342  82] ; [257  38],[353.23504868  70.76495132] ; [245.76495132  49.23504868],0
s4,1,0.022594,5.199432,[ 83 339] ; [ 39 257],[ 71.70473538 350.29526462] ; [ 50.29526462 245.70473538],0
a2,1,0.023709,5.115765,[ 90 339] ; [ 85 216],[102.84246575 326.15753425] ; [ 72.15753425 228.84246575],0
s5,1,0.02884,4.777134,[133 281] ; [116 173],[146.63726885 267.36273115] ; [102.36273115 186.63726885],0
r4,1,0.029618,4.731355,[391  38] ; [287  14],[398.44109589  30.55890411] ; [279.55890411  21.44109589],0
p8,1,0.034431,4.473161,[214 211] ; [171 122],[227.88997214 197.11002786] ; [157.11002786 135.88997214],0
p4,1,0.036448,4.376043,[246 182] ; [193 103],[259.51933702 168.48066298] ; [179.48066298 116.51933702],0
d3,1,0.038451,4.284978,[280 148] ; [218  82],[292.78021978 135.21978022] ; [205.21978022  94.78021978],0
d4,1,0.040924,4.17918,[342  87] ; [256  43],[352.39285714  76.60714286] ; [245.60714286  53.39285714],0
p1,1,0.045901,3.985215,[ 28 399] ; [ 32 267],[ 35.2892562 391.7107438] ; [ 24.7107438 274.2892562],0
r1,1,0.049552,3.856552,[330  96] ; [251  50],[340.44841816  85.55158184] ; [240.55158184  60.44841816],0
s6,1,0.075087,3.168152,[281 141] ; [212  79],[291.78962132 130.21037868] ; [201.21037868  89.78962132],0
u4,1,0.076842,3.130463,[  5 424] ; [  9 292],[  8.22739726 420.77260274] ; [  5.77260274 295.22739726],0
s3,1,0.082272,3.019441,[227 201] ; [174 118],[238.37222222 189.62777778] ; [162.62777778 129.37222222],0
p11,1,0.108995,2.568727,[342  87] ; [254  47],[350.25205479  78.74794521] ; [245.74794521  55.25205479],0
d5,1,0.13065,2.284764,[339  89] ; [251  49],[346.86813187  81.13186813] ; [243.13186813  56.86813187],0
r2,1,0.145578,2.117989,[399  24] ; [289  10],[403.08033241  19.91966759] ; [284.91966759  14.08033241],0
u1,1,0.172832,1.858203,[ 74 355] ; [ 64 237],[ 81.09863014 347.90136986] ; [ 56.90136986 244.09863014],0
p9,1,0.174605,1.842957,[359  66] ; [258  35],[365.21587744  59.78412256] ; [251.78412256  41.21587744],0
v4,1,0.199643,1.644981,[407  21] ; [292   9],[410.38683128  17.61316872] ; [288.61316872  12.38683128],0
a4,1,0.21984,1.505414,[185 243] ; [143 156],[193.10041265 234.89958735] ; [134.89958735 164.10041265],0
a5,1,0.244386,1.355112,[308 121] ; [227  73],[314.83539095 114.16460905] ; [220.16460905  79.83539095],0
p6,1,0.335562,0.927312,[157 269] ; [118 174],[163.16155989 262.83844011] ; [111.83844011 180.16155989],0
a6,1,0.338228,0.917135,[281 148] ; [206  93],[286.98214286 142.01785714] ; [200.01785714  98.98214286],0
u2,1,0.376674,0.781529,[68 72] ; [38 31],[71.00478469 68.99521531] ; [34.99521531 34.00478469],0
b4,1,0.383831,0.758396,[247 182] ; [183 118],[252.69863014 176.30136986] ; [177.30136986 123.69863014],0
p2,1,0.469801,0.522444,[358  70] ; [256  43],[361.47455296  66.52544704] ; [252.52544704  46.47455296],0
s1,1,0.470031,0.521902,[ 14 411] ; [  7 288],[ 12.39583333 412.60416667] ; [  8.60416667 286.39583333],0
b3,1,0.51912,0.415642,[ 91 153] ; [ 79 117],[ 94.27272727 149.72727273] ; [ 75.72727273 120.27272727],0
b2,1,0.51912,0.415642,[ 91 153] ; [ 79 117],[ 94.27272727 149.72727273] ; [ 75.72727273 120.27272727],0
a8,1,0.567293,0.327233,[ 56 342] ; [ 42 226],[ 58.56456456 339.43543544] ; [ 39.43543544 228.56456456],0
n1,1,0.568474,0.325242,[37 62] ; [17 35],[35.40397351 63.59602649] ; [18.59602649 33.40397351],0
n3,1,0.585071,0.298109,[72 25] ; [43 12],[73.38815789 23.61184211] ; [41.61184211 13.38815789],0
u3,1,0.624008,0.240275,[75 65] ; [40 30],[76.66666667 63.33333333] ; [38.33333333 31.66666667],0
b1,1,0.79965,0.064415,[155 274] ; [106 195],[153.38219178 275.61780822] ; [107.61780822 193.38219178],0
n2,1,0.844848,0.038297,[73 25] ; [41 13],[73.5 24.5] ; [40.5 13.5],0
