Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000465,12.250347,[145   8] ; [80 19],[136.60714286  16.39285714] ; [88.39285714 10.60714286],1
r3,1,0.001692,9.856665,[148   6] ; [85 15],[141.26771654  12.73228346] ; [91.73228346  8.26771654],0
p9,1,0.002515,9.13,[111  39] ; [55 44],[100.  50.] ; [66. 33.],0
p11,1,0.003458,8.54862,[108  46] ; [52 48],[97.00787402 56.99212598] ; [62.99212598 37.00787402],0
r4,1,0.004235,8.18025,[132  22] ; [71 29],[123.07874016  30.92125984] ; [79.92125984 20.07874016],0
b1,1,0.004267,8.166626,[ 48 106] ; [49 51],[58.81102362 95.18897638] ; [38.18897638 61.81102362],0
r2,1,0.008583,6.907528,[141  10] ; [82 17],[134.692  16.308] ; [88.308 10.692],0
p10,1,0.011689,6.357385,[101  51] ; [50 49],[91.44223108 60.55776892] ; [59.55776892 39.44223108],0
p7,1,0.015322,5.879115,[88 65] ; [41 57],[78.63346614 74.36653386] ; [50.36653386 47.63346614],0
v2,1,0.019933,5.417721,[82 68] ; [37 57],[73.1557377 76.8442623] ; [45.8442623 48.1557377],0
a7,1,0.028449,4.800644,[116  37] ; [63 37],[108.24901186  44.75098814] ; [70.75098814 29.24901186],0
a8,1,0.032717,4.560504,[ 13 130] ; [ 2 91],[  9.08898305 133.91101695] ; [ 5.91101695 87.08898305],0
u2,1,0.033383,4.526018,[27 29] ; [28 12],[32.08333333 23.91666667] ; [22.91666667 17.08333333],0
p2,1,0.047111,3.941428,[117  36] ; [65 35],[110.06324111  42.93675889] ; [71.93675889 28.06324111],0
u3,1,0.073223,3.209254,[29 27] ; [28 12],[33.25 22.75] ; [23.75 16.25],0
s6,1,0.075002,3.170015,[86 65] ; [45 54],[79.124 71.876] ; [51.876 47.124],0
p1,1,0.084119,2.983457,[  8 145] ; [11 88],[ 11.53571429 141.46428571] ; [ 7.46428571 91.53571429],0
s1,1,0.093049,2.820816,[  5 149] ; [ 8 92],[  7.88188976 146.11811024] ; [ 5.11811024 94.88188976],0
u1,1,0.0976,2.744335,[ 19 135] ; [ 6 94],[ 15.15748031 138.84251969] ; [ 9.84251969 90.15748031],0
p6,1,0.114646,2.488974,[ 43 108] ; [19 78],[ 37.75 113.25] ; [24.25 72.75],0
d3,1,0.202014,1.627757,[111  42] ; [65 35],[106.43478261  46.56521739] ; [69.56521739 30.43478261],0
s8,1,0.229711,1.442651,[ 49 104] ; [25 75],[ 44.75098814 108.24901186] ; [29.24901186 70.75098814],0
s5,1,0.246264,1.344376,[ 40 108] ; [19 74],[ 36.23236515 111.76763485] ; [22.76763485 70.23236515],0
n3,1,0.293242,1.104679,[34 11] ; [22 12],[31.89873418 13.10126582] ; [24.10126582  9.89873418],0
s7,1,0.373203,0.792972,[52 99] ; [26 64],[ 48.87136929 102.12863071] ; [29.12863071 60.87136929],0
n4,1,0.408125,0.684255,[65 89] ; [37 63],[61.84251969 92.15748031] ; [40.15748031 59.84251969],0
p3,1,0.421759,0.645408,[ 53 101] ; [39 60],[56. 98.] ; [36. 63.],0
n1,1,0.45126,0.567486,[11 35] ; [11 24],[12.49382716 33.50617284] ; [ 9.50617284 25.49382716],0
d1,1,0.473964,0.512719,[81 73] ; [48 52],[78.21259843 75.78740157] ; [50.78740157 49.21259843],0
a3,1,0.481727,0.494952,[97 56] ; [59 41],[94.33992095 58.66007905] ; [61.66007905 38.33992095],0
a1,1,0.482691,0.492777,[  5 149] ; [ 5 95],[  6.06299213 147.93700787] ; [ 3.93700787 96.06299213],0
s2,1,0.506493,0.441306,[63 90] ; [37 63],[60.4743083 92.5256917] ; [39.5256917 60.4743083],0
p4,1,0.513776,0.426369,[66 87] ; [39 61],[63.49802372 89.50197628] ; [41.50197628 58.49802372],0
v1,1,0.521904,0.41013,[52 95] ; [39 60],[54.37804878 92.62195122] ; [36.62195122 62.37804878],0
a4,1,0.552971,0.352021,[58 96] ; [34 66],[55.77952756 98.22047244] ; [36.22047244 63.77952756],0
d2,1,0.571926,0.31947,[64 90] ; [38 62],[61.84251969 92.15748031] ; [40.15748031 59.84251969],0
b4,1,0.594111,0.28397,[96 58] ; [59 41],[93.97637795 60.02362205] ; [61.02362205 38.97637795],0
n2,1,0.683758,0.165926,[29 16] ; [21 14],[28.125 16.875] ; [21.875 13.125],0
s3,1,0.700617,0.147831,[69 81] ; [48 51],[70.48192771 79.51807229] ; [46.51807229 52.48192771],0
d4,1,0.768401,0.086711,[124  30] ; [82 18],[124.8976378  29.1023622] ; [81.1023622 18.8976378],0
b2,1,0.769143,0.08614,[23 59] ; [17 39],[23.76811594 58.23188406] ; [16.23188406 39.76811594],0
b3,1,0.769143,0.08614,[23 59] ; [17 39],[23.76811594 58.23188406] ; [16.23188406 39.76811594],0
p12,1,0.777538,0.079823,[  4 150] ; [ 2 96],[  3.66666667 150.33333333] ; [ 2.33333333 95.66666667],0
b5,1,0.830249,0.04596,[96 58] ; [61 39],[95.18897638 58.81102362] ; [61.81102362 38.18897638],0
v3,1,0.832988,0.044467,[ 38 110] ; [23 71],[ 37.30578512 110.69421488] ; [23.69421488 70.30578512],0
d5,1,0.835135,0.043314,[115  38] ; [74 26],[114.29644269  38.70355731] ; [74.70355731 25.29644269],0
a2,1,0.836486,0.042597,[ 23 131] ; [14 86],[ 22.43307087 131.56692913] ; [14.56692913 85.43307087],0
a5,1,0.868485,0.027418,[94 60] ; [60 40],[93.37007874 60.62992126] ; [60.62992126 39.37007874],0
s4,1,0.880473,0.022611,[ 32 122] ; [20 80],[ 31.52755906 122.47244094] ; [20.47244094 79.52755906],0
p8,1,0.939508,0.005759,[58 95] ; [38 61],[58.28571429 94.71428571] ; [37.71428571 61.28571429],0
a6,1,0.950573,0.003842,[93 61] ; [60 40],[92.76377953 61.23622047] ; [60.23622047 39.76377953],0
r1,1,0.9604,0.002465,[110  44] ; [71 28],[110.17391304  43.82608696] ; [70.82608696 28.17391304],0
