Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.8e-05,18.426112,[46 22] ; [25 53],[33.06849315 34.93150685] ; [37.93150685 40.06849315],1
r1,1,0.000321,12.94508,[52 16] ; [38 42],[41.35135135 26.64864865] ; [48.64864865 31.35135135],1
s7,1,0.000395,12.556307,[28 36] ; [13 65],[18.47887324 45.52112676] ; [22.52112676 55.47887324],1
a6,1,0.000673,11.561901,[46 23] ; [31 49],[35.65771812 33.34228188] ; [41.34228188 38.65771812],1
r4,1,0.003152,8.717492,[56 13] ; [47 33],[47.69798658 21.30201342] ; [55.30201342 24.69798658],0
a4,1,0.004592,8.033414,[22 47] ; [10 69],[14.91891892 54.08108108] ; [17.08108108 61.91891892],0
b3,1,0.007333,7.189582,[21 22] ; [10 36],[14.97752809 28.02247191] ; [16.02247191 29.97752809],0
b2,1,0.007333,7.189582,[21 22] ; [10 36],[14.97752809 28.02247191] ; [16.02247191 29.97752809],0
a7,1,0.020933,5.332353,[41 27] ; [33 47],[34. 34.] ; [40. 40.],0
p8,1,0.033298,4.530392,[30 37] ; [22 57],[23.8630137 43.1369863] ; [28.1369863 50.8630137],0
d2,1,0.040827,4.183187,[22 47] ; [14 66],[16.67114094 52.32885906] ; [19.32885906 60.67114094],0
a8,1,0.047377,3.931954,[10 54] ; [ 4 70],[ 6.49275362 57.50724638] ; [ 7.50724638 66.49275362],0
d4,1,0.049258,3.866543,[40 29] ; [33 46],[34.03378378 34.96621622] ; [38.96621622 40.03378378],0
v1,1,0.049803,3.848085,[34 33] ; [27 51],[28.1862069 38.8137931] ; [32.8137931 45.1862069],0
r3,1,0.079224,3.080746,[58  9] ; [60 20],[53.78231293 13.21768707] ; [64.21768707 15.78231293],0
v3,1,0.081413,3.036471,[23 43] ; [17 61],[18.33333333 47.66666667] ; [21.66666667 56.33333333],0
p3,1,0.096993,2.754307,[23 46] ; [17 63],[18.52348993 50.47651007] ; [21.47651007 58.52348993],0
s8,1,0.127591,2.321569,[21 47] ; [16 64],[17. 51.] ; [20. 60.],0
v2,1,0.132723,2.260357,[27 39] ; [21 52],[22.79136691 43.20863309] ; [25.20863309 47.79136691],0
p4,1,0.139458,2.183931,[28 40] ; [23 55],[23.75342466 44.24657534] ; [27.24657534 50.75342466],0
s5,1,0.146328,2.110114,[17 51] ; [12 66],[13.50684932 54.49315068] ; [15.49315068 62.50684932],0
d3,1,0.157971,1.993541,[32 37] ; [28 52],[27.7852349 41.2147651] ; [32.2147651 47.7852349],0
n2,1,0.167361,1.906422,[17  3] ; [21 10],[14.90196078  5.09803922] ; [23.09803922  7.90196078],0
u1,1,0.172155,1.864075,[ 5 64] ; [ 2 78],[ 3.24161074 65.75838926] ; [ 3.75838926 76.24161074],0
n4,1,0.194888,1.680274,[45 23] ; [44 35],[41.17006803 26.82993197] ; [47.82993197 31.17006803],0
s6,1,0.197467,1.66101,[36 31] ; [34 45],[32.12328767 34.87671233] ; [37.87671233 41.12328767],0
p10,1,0.203591,1.616423,[47 21] ; [46 32],[43.31506849 24.68493151] ; [49.68493151 28.31506849],0
d1,1,0.206383,1.596621,[ 6 63] ; [ 3 77],[ 4.16778523 64.83221477] ; [ 4.83221477 75.16778523],0
v4,1,0.216739,1.525832,[60  8] ; [63 15],[57.28767123 10.71232877] ; [65.71232877 12.28767123],0
s2,1,0.236245,1.402863,[27 41] ; [24 55],[23.59183673 44.40816327] ; [27.40816327 51.59183673],0
p11,1,0.256385,1.288175,[50 19] ; [51 29],[46.77181208 22.22818792] ; [54.22818792 25.77181208],0
u3,1,0.28096,1.16244,[12 11] ; [21 33],[ 9.85714286 13.14285714] ; [23.14285714 30.85714286],0
r2,1,0.31544,1.007762,[57 11] ; [61 18],[54.58503401 13.41496599] ; [63.41496599 15.58503401],0
b4,1,0.317471,0.999336,[41 28] ; [41 39],[37.97315436 31.02684564] ; [44.02684564 35.97315436],0
n5,1,0.337965,0.918137,[47 21] ; [48 30],[44.24657534 23.75342466] ; [50.75342466 27.24657534],0
p5,1,0.343392,0.897725,[ 5 63] ; [ 3 76],[ 3.70068027 64.29931973] ; [ 4.29931973 74.70068027],0
b1,1,0.347375,0.883024,[32 37] ; [31 49],[29.17449664 39.82550336] ; [33.82550336 46.17449664],0
