Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9e-06,19.751722,[12 25] ; [63 21],[22.9338843 14.0661157] ; [52.0661157 31.9338843],1
a6,1,0.000456,12.28576,[15 22] ; [62 22],[23.54545455 13.45454545] ; [53.45454545 30.54545455],1
d5,1,0.002309,9.286198,[26 11] ; [77  7],[31.49586777  5.50413223] ; [71.50413223 12.49586777],0
u1,1,0.006684,7.35589,[ 3 34] ; [26 58],[ 8.8677686 28.1322314] ; [20.1322314 63.8677686],0
a2,1,0.006965,7.281867,[ 4 33] ; [29 55],[10.09090909 26.90909091] ; [22.90909091 61.09090909],0
b1,1,0.031823,4.607995,[20 17] ; [28 56],[14.67768595 22.32231405] ; [33.32231405 50.67768595],0
p2,1,0.032169,4.589471,[20 17] ; [62 22],[25.07438017 11.92561983] ; [56.92561983 27.07438017],0
n6,1,0.052578,3.757296,[28  9] ; [75  9],[31.49586777  5.50413223] ; [71.50413223 12.49586777],0
d1,1,0.062827,3.461131,[20 17] ; [60 24],[24.46280992 12.53719008] ; [55.53719008 28.46280992],0
b4,1,0.081281,3.039091,[18 19] ; [55 29],[22.32231405 14.67768595] ; [50.67768595 33.32231405],0
d4,1,0.083619,2.993127,[28  9] ; [74 10],[31.19008264  5.80991736] ; [70.80991736 13.19008264],0
v1,1,0.088632,2.899047,[21 13] ; [35 44],[16.84955752 17.15044248] ; [39.15044248 39.84955752],0
r1,1,0.094083,2.803089,[27 10] ; [72 12],[30.27272727  6.72727273] ; [68.72727273 15.27272727],0
p3,1,0.102294,2.66941,[20 17] ; [32 52],[15.90082645 21.09917355] ; [36.09917355 47.90082645],0
r4,1,0.123926,2.366981,[31  6] ; [78  6],[33.33057851  3.66942149] ; [75.66942149  8.33057851],0
v2,1,0.167509,1.9051,[15 19] ; [46 33],[18.3539823 15.6460177] ; [42.6460177 36.3539823],0
s3,1,0.22554,1.468771,[24 13] ; [62 20],[26.7394958 10.2605042] ; [59.2605042 22.7394958],0
s6,1,0.227888,1.453996,[32  4] ; [67 17],[29.7  6.3] ; [69.3 14.7],0
