Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000317,12.966067,[ 24 100] ; [15 14],[31.60784314 92.39215686] ; [ 7.39215686 21.60784314],1
s6,1,0.010469,6.553347,[59 71] ; [22  9],[65.40372671 64.59627329] ; [15.59627329 15.40372671],0
p4,1,0.016873,5.709543,[34 95] ; [15 16],[39.50625 89.49375] ; [ 9.49375 21.50625],0
s2,1,0.020958,5.330287,[42 87] ; [17 14],[47.56875 81.43125] ; [11.43125 19.56875],0
b4,1,0.026179,4.944134,[77 53] ; [25  6],[82.36024845 47.63975155] ; [19.63975155 11.36024845],0
p2,1,0.044742,4.028329,[80 50] ; [25  6],[84.7826087 45.2173913] ; [20.2173913 10.7826087],0
d4,1,0.062136,3.479434,[80 49] ; [24  6],[84.37735849 44.62264151] ; [19.62264151 10.37735849],0
p10,1,0.092867,2.823957,[69 58] ; [22  9],[73.14556962 53.85443038] ; [17.85443038 13.14556962],0
s8,1,0.114071,2.496898,[ 25 105] ; [10 21],[ 28.26086957 101.73913043] ; [ 6.73913043 24.26086957],0
p9,1,0.127848,2.318448,[74 53] ; [22  8],[77.65605096 49.34394904] ; [18.34394904 11.65605096],0
p1,1,0.135976,2.222911,[  7 123] ; [ 4 27],[  8.88198758 121.11801242] ; [ 2.11801242 28.88198758],0
v4,1,0.137681,2.203688,[107  22] ; [29  2],[109.65  19.35] ; [26.35  4.65],0
b3,1,0.14242,2.15162,[22 50] ; [ 2 14],[19.63636364 52.36363636] ; [ 4.36363636 11.63636364],0
b2,1,0.14242,2.15162,[22 50] ; [ 2 14],[19.63636364 52.36363636] ; [ 4.36363636 11.63636364],0
p3,1,0.154221,2.029999,[ 30 100] ; [11 20],[33.10559006 96.89440994] ; [ 7.89440994 23.10559006],0
s4,1,0.156156,2.011061,[ 17 113] ; [ 7 23],[ 19.5 110.5] ; [ 4.5 25.5],0
p5,1,0.183262,1.770969,[  5 124] ; [ 3 28],[  6.45 122.55] ; [ 1.55 29.45],0
d3,1,0.194092,1.686283,[66 62] ; [20 11],[69.2327044 58.7672956] ; [16.7672956 14.2327044],0
p7,1,0.224958,1.472458,[53 73] ; [ 9 21],[50.07692308 75.92307692] ; [11.92307692 18.07692308],0
d5,1,0.226772,1.460991,[72 57] ; [21 10],[74.98125 54.01875] ; [18.01875 12.98125],0
u1,1,0.232021,1.428431,[  3 127] ; [ 2 29],[  4.03726708 125.96273292] ; [ 0.96273292 30.03726708],0
u3,1,0.242026,1.368752,[38 36] ; [12  6],[40.2173913 33.7826087] ; [9.7826087 8.2173913],0
v2,1,0.300207,1.073276,[51 69] ; [10 21],[48.47682119 71.52317881] ; [12.52317881 18.47682119],0
v3,1,0.323878,0.973222,[37 91] ; [ 6 24],[34.83544304 93.16455696] ; [ 8.16455696 21.83544304],0
n3,1,0.341758,0.903825,[31 15] ; [4 4],[29.81481481 16.18518519] ; [5.18518519 2.81481481],0
d2,1,0.372159,0.796443,[ 29 101] ; [ 9 21],[30.875 99.125] ; [ 7.125 22.875],0
r4,1,0.411258,0.675161,[91 39] ; [24  7],[92.85714286 37.14285714] ; [22.14285714  8.85714286],0
n5,1,0.414487,0.665894,[81 48] ; [17 14],[79.0125 49.9875] ; [18.9875 12.0125],0
p6,1,0.429374,0.624517,[ 21 106] ; [ 7 24],[ 22.50632911 104.49367089] ; [ 5.49367089 25.50632911],0
n6,1,0.458443,0.549693,[92 38] ; [24  7],[93.66459627 36.33540373] ; [22.33540373  8.66459627],0
u2,1,0.459597,0.546875,[37 35] ; [11  7],[38.4 33.6] ; [9.6 8.4],0
s1,1,0.502148,0.450393,[  5 124] ; [ 2 28],[  5.67924528 123.32075472] ; [ 1.32075472 28.67924528],0
p12,1,0.532443,0.389727,[  2 128] ; [ 1 30],[  2.42236025 127.57763975] ; [ 0.57763975 30.42236025],0
n4,1,0.59259,0.286317,[74 56] ; [16 15],[72.67080745 57.32919255] ; [17.32919255 13.67080745],0
b5,1,0.605192,0.267235,[82 48] ; [18 13],[80.74534161 49.25465839] ; [19.25465839 11.74534161],0
d1,1,0.613102,0.255682,[36 94] ; [10 21],[37.14285714 92.85714286] ; [ 8.85714286 22.14285714],0
b1,1,0.655747,0.198731,[53 77] ; [14 17],[54.09937888 75.90062112] ; [12.90062112 18.09937888],0
a6,1,0.683716,0.165972,[64 66] ; [14 17],[62.98136646 67.01863354] ; [15.01863354 15.98136646],0
n1,1,0.756023,0.096539,[14 32] ; [2 6],[13.62962963 32.37037037] ; [2.37037037 5.62962963],0
a8,1,0.767744,0.087218,[ 11 113] ; [ 2 26],[ 10.60526316 113.39473684] ; [ 2.39473684 25.60526316],0
a7,1,0.771721,0.084172,[78 51] ; [19 11],[78.69811321 50.30188679] ; [18.30188679 11.69811321],0
r3,1,0.776699,0.080442,[110  20] ; [26  4],[110.5  19.5] ; [25.5  4.5],0
r2,1,0.836521,0.042579,[107  23] ; [26  5],[107.39130435  22.60869565] ; [25.60869565  5.39130435],0
p11,1,0.843545,0.038952,[78 52] ; [18 13],[77.51552795 52.48447205] ; [18.48447205 12.51552795],0
v1,1,0.845984,0.037731,[49 78] ; [11 19],[48.53503185 78.46496815] ; [11.46496815 18.53503185],0
r1,1,0.868586,0.027375,[77 52] ; [18 13],[76.59375 52.40625] ; [18.40625 12.59375],0
a3,1,0.918413,0.010492,[55 75] ; [13 17],[55.25 74.75] ; [12.75 17.25],0
s3,1,0.941734,0.005342,[61 67] ; [15 16],[61.18238994 66.81761006] ; [14.81761006 16.18238994],0
a1,1,0.965749,0.001844,[  4 126] ; [ 1 30],[  4.03726708 125.96273292] ; [ 0.96273292 30.03726708],0
n2,1,0.988084,0.000223,[28 17] ; [5 3],[28.01886792 16.98113208] ; [4.98113208 3.01886792],0
a4,1,0.997308,1.1e-05,[ 21 109] ; [ 5 26],[ 20.99378882 109.00621118] ; [ 5.00621118 25.99378882],0
