Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.435167,[44 51] ; [32  3],[55.53846154 39.46153846] ; [20.46153846 14.53846154],1
p4,1,8.7e-05,15.395602,[42 57] ; [29  7],[52.06666667 46.93333333] ; [18.93333333 17.06666667],1
p3,1,0.000794,11.255954,[34 65] ; [24 12],[42.53333333 56.46666667] ; [15.46666667 20.53333333],1
p8,1,0.001267,10.389697,[40 58] ; [26 10],[48.26865672 49.73134328] ; [17.73134328 18.26865672],0
p1,1,0.003336,8.613711,[ 4 94] ; [ 7 28],[ 8.10526316 89.89473684] ; [ 2.89473684 32.10526316],0
s2,1,0.01407,6.029334,[57 42] ; [29  7],[63.06666667 35.93333333] ; [22.93333333 13.06666667],0
b1,1,0.018557,5.542812,[28 71] ; [18 18],[33.73333333 65.26666667] ; [12.26666667 23.73333333],0
p12,1,0.023415,5.137421,[ 2 97] ; [ 4 32],[ 4.4 94.6] ; [ 1.6 34.4],0
s4,1,0.051934,3.777896,[29 70] ; [17 19],[33.73333333 65.26666667] ; [12.26666667 23.73333333],0
s8,1,0.064162,3.426386,[40 59] ; [21 15],[44.73333333 54.26666667] ; [16.26666667 19.73333333],0
p11,1,0.079765,3.069681,[61 38] ; [28  8],[65.26666667 33.73333333] ; [23.73333333 12.26666667],0
a6,1,0.085227,2.9623,[73 26] ; [21 15],[68.93333333 30.06666667] ; [25.06666667 10.93333333],0
a1,1,0.085868,2.950175,[ 2 97] ; [ 3 33],[ 3.66666667 95.33333333] ; [ 1.33333333 34.66666667],0
u2,1,0.088843,2.895206,[20 20] ; [10  3],[22.64150943 17.35849057] ; [7.35849057 5.64150943],0
a8,1,0.103843,2.645503,[ 2 88] ; [ 3 32],[ 3.6 86.4] ; [ 1.4 33.6],0
a7,1,0.112617,2.517101,[79 20] ; [24 12],[75.53333333 23.46666667] ; [27.46666667  8.53333333],0
s5,1,0.113301,2.507557,[39 58] ; [19 15],[42.94656489 54.05343511] ; [15.05343511 18.94656489],0
b5,1,0.122003,2.391419,[57 42] ; [26 10],[60.86666667 38.13333333] ; [22.13333333 13.86666667],0
n1,1,0.124837,2.355567,[ 9 29] ; [6 7],[11.17647059 26.82352941] ; [3.82352941 9.17647059],0
v3,1,0.144115,2.133465,[32 62] ; [ 7 27],[28.640625 65.359375] ; [10.359375 23.640625],0
a4,1,0.156689,2.005891,[31 68] ; [16 20],[34.46666667 64.53333333] ; [12.53333333 23.46666667],0
p10,1,0.160385,1.970588,[70 28] ; [30  6],[73.13432836 24.86567164] ; [26.86567164  9.13432836],0
d4,1,0.181521,1.785124,[78 21] ; [32  4],[80.66666667 18.33333333] ; [29.33333333  6.66666667],0
p5,1,0.19086,1.710964,[ 3 95] ; [ 3 33],[ 4.3880597 93.6119403] ; [ 1.6119403 34.3880597],0
s7,1,0.204053,1.613124,[38 56] ; [19 17],[41.21538462 52.78461538] ; [15.78461538 20.21538462],0
n3,1,0.255958,1.290486,[27 11] ; [7 6],[25.33333333 12.66666667] ; [8.66666667 4.33333333],0
n5,1,0.312469,1.02021,[33 66] ; [15 20],[35.46268657 63.53731343] ; [12.53731343 22.46268657],0
r2,1,0.330022,0.948811,[92  6] ; [32  4],[90.68656716  7.31343284] ; [33.31343284  2.68656716],0
n6,1,0.333139,0.936655,[70 29] ; [21 13],[67.73684211 31.26315789] ; [23.26315789 10.73684211],0
r1,1,0.369258,0.806159,[73 25] ; [24 12],[70.94029851 27.05970149] ; [26.05970149  9.94029851],0
d1,1,0.420512,0.648883,[50 49] ; [21 15],[52.06666667 46.93333333] ; [18.93333333 17.06666667],0
s1,1,0.452176,0.565191,[ 1 98] ; [ 1 35],[ 1.46666667 97.53333333] ; [ 0.53333333 35.46666667],0
