Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,42.307692,[20 46] ; [80 19],[40. 26.] ; [60. 39.],1
n1,1,0.000408,12.493819,[ 5 26] ; [21 15],[12.02985075 18.97014925] ; [13.97014925 22.02985075],1
n6,1,0.002119,9.443748,[32 35] ; [70 28],[41.41818182 25.58181818] ; [60.58181818 37.41818182],0
a4,1,0.003368,8.596445,[16 51] ; [45 52],[24.92073171 42.07926829] ; [36.07926829 60.92073171],0
a5,1,0.016311,5.769085,[30 37] ; [63 36],[37.53614458 29.46385542] ; [55.46385542 43.53614458],0
s4,1,0.016892,5.707564,[14 53] ; [ 8 91],[ 8.87951807 58.12048193] ; [13.12048193 85.87951807],0
u1,1,0.020347,5.381837,[ 3 64] ; [16 83],[ 7.6686747 59.3313253] ; [11.3313253 87.6686747],0
u2,1,0.025022,5.02235,[16 13] ; [10 26],[11.6 17.4] ; [14.4 21.6],0
u3,1,0.029557,4.734893,[18 11] ; [13 24],[13.62121212 15.37878788] ; [17.37878788 19.62121212],0
a8,1,0.03338,4.526184,[ 1 63] ; [ 9 79],[ 4.21052632 59.78947368] ; [ 5.78947368 82.21052632],0
p6,1,0.036998,4.350525,[ 8 57] ; [25 72],[13.24074074 51.75925926] ; [19.75925926 77.24074074],0
a1,1,0.037692,4.318886,[ 2 65] ; [12 87],[ 5.65060241 61.34939759] ; [ 8.34939759 90.65060241],0
s7,1,0.042798,4.103348,[13 49] ; [33 58],[18.64052288 43.35947712] ; [27.35947712 63.64052288],0
a7,1,0.05259,3.756904,[49 17] ; [59 40],[43.2 22.8] ; [64.8 34.2],0
d2,1,0.072217,3.231892,[23 44] ; [47 50],[28.59756098 38.40243902] ; [41.40243902 55.59756098],0
a2,1,0.086874,2.931371,[ 9 58] ; [24 75],[13.31927711 53.68072289] ; [19.68072289 79.31927711],0
s8,1,0.144467,2.129718,[10 57] ; [24 75],[13.72289157 53.27710843] ; [20.27710843 78.72289157],0
v4,1,0.157253,2.000449,[56 10] ; [75 24],[52.4 13.6] ; [78.6 20.4],0
a3,1,0.163857,1.938264,[36 31] ; [62 34],[40.28220859 26.71779141] ; [57.71779141 38.28220859],0
b2,1,0.192879,1.69549,[ 8 24] ; [22 35],[10.78651685 21.21348315] ; [19.21348315 37.78651685],0
b3,1,0.192879,1.69549,[ 8 24] ; [22 35],[10.78651685 21.21348315] ; [19.21348315 37.78651685],0
v3,1,0.194982,1.679566,[15 49] ; [31 63],[18.63291139 45.36708861] ; [27.36708861 66.63291139],0
v1,1,0.204119,1.612654,[19 47] ; [38 61],[22.8 43.2] ; [34.2 64.8],0
b5,1,0.239534,1.383337,[44 23] ; [56 43],[40.36144578 26.63855422] ; [59.63855422 39.36144578],0
n2,1,0.254535,1.298239,[15 16] ; [23 14],[17.32352941 13.67647059] ; [20.67647059 16.32352941],0
d1,1,0.361436,0.832899,[27 40] ; [47 52],[29.86746988 37.13253012] ; [44.13253012 54.86746988],0
p3,1,0.385183,0.754095,[18 48] ; [33 65],[20.52439024 45.47560976] ; [30.47560976 67.52439024],0
s6,1,0.432295,0.61665,[27 40] ; [46 53],[29.46385542 37.53614458] ; [43.53614458 55.46385542],0
r1,1,0.449157,0.572778,[42 25] ; [67 31],[44.26060606 22.73939394] ; [64.73939394 33.26060606],0
p1,1,0.462788,0.539143,[ 4 63] ; [ 9 90],[ 5.24698795 61.75301205] ; [ 7.75301205 91.24698795],0
r4,1,0.469834,0.522367,[41 26] ; [66 33],[43.18674699 23.81325301] ; [63.81325301 35.18674699],0
r2,1,0.529225,0.395879,[54 13] ; [81 15],[55.49079755 11.50920245] ; [79.50920245 16.49079755],0
b1,1,0.588056,0.293391,[33 34] ; [53 46],[34.71084337 32.28915663] ; [51.28915663 47.71084337],0
d5,1,0.611729,0.257665,[44 22] ; [69 29],[45.47560976 20.52439024] ; [67.52439024 30.47560976],0
b4,1,0.63855,0.220643,[37 30] ; [51 48],[35.51807229 31.48192771] ; [52.48192771 46.51807229],0
r3,1,0.663988,0.188715,[50 16] ; [72 27],[48.8 17.2] ; [73.2 25.8],0
a6,1,0.692697,0.156181,[39 28] ; [54 44],[37.76363636 29.23636364] ; [55.23636364 42.76363636],0
s3,1,0.734844,0.11471,[29 38] ; [39 57],[27.95092025 39.04907975] ; [40.04907975 55.95092025],0
p10,1,0.761999,0.091723,[27 37] ; [39 59],[26.07407407 37.92592593] ; [39.92592593 58.07407407],0
s2,1,0.787712,0.072513,[23 44] ; [32 67],[22.19879518 44.80120482] ; [32.80120482 66.19879518],0
n3,1,0.859152,0.03149,[18 13] ; [19 15],[17.64615385 13.35384615] ; [19.35384615 14.64615385],0
p4,1,0.87219,0.025882,[25 42] ; [35 62],[24.51219512 42.48780488] ; [35.48780488 61.51219512],0
v2,1,0.894263,0.017666,[23 39] ; [37 60],[23.39622642 38.60377358] ; [36.60377358 60.39622642],0
d3,1,0.919597,0.010189,[37 28] ; [55 43],[36.68711656 28.31288344] ; [55.31288344 42.68711656],0
