Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1.8e-05,18.437485,[134  11] ; [3 4],[130.69078947  14.30921053] ; [6.30921053 0.69078947],1
r4,1,8.7e-05,15.409927,[125  21] ; [2 5],[121.18954248  24.81045752] ; [5.81045752 1.18954248],1
s1,1,0.000583,11.829865,[  4 142] ; [2 5],[  5.7254902 140.2745098] ; [0.2745098 6.7254902],1
p9,1,0.003678,8.436125,[112  33] ; [2 5],[108.75  36.25] ; [5.25 1.75],0
d5,1,0.00606,7.532254,[95 50] ; [1 6],[91.57894737 53.42105263] ; [4.42105263 2.57894737],0
r3,1,0.009332,6.758232,[138   7] ; [5 2],[136.41447368   8.58552632] ; [6.58552632 0.41447368],0
p11,1,0.01915,5.487762,[117  29] ; [3 4],[114.50980392  31.49019608] ; [5.49019608 1.50980392],0
p2,1,0.052075,3.773351,[124  22] ; [4 3],[122.14379085  23.85620915] ; [5.85620915 1.14379085],0
s6,1,0.068308,3.323214,[90 53] ; [2 5],[87.70666667 55.29333333] ; [4.29333333 2.70666667],0
u2,1,0.086447,2.939328,[45 31] ; [1 4],[43.16049383 32.83950617] ; [2.83950617 2.16049383],0
n5,1,0.10974,2.557967,[104  42] ; [3 4],[102.10457516  43.89542484] ; [4.89542484 2.10457516],0
s7,1,0.135722,2.2258,[59 79] ; [1 6],[57.10344828 80.89655172] ; [2.89655172 4.10344828],0
n6,1,0.147391,2.099048,[116  29] ; [4 3],[114.47368421  30.52631579] ; [5.52631579 1.47368421],0
d3,1,0.150613,2.066036,[81 63] ; [2 5],[79.15231788 64.84768212] ; [3.84768212 3.15231788],0
d2,1,0.197598,1.660038,[ 32 114] ; [3 4],[ 33.39869281 112.60130719] ; [1.60130719 5.39869281],0
a7,1,0.226815,1.460723,[94 50] ; [3 4],[92.50331126 51.49668874] ; [4.49668874 2.50331126],0
v3,1,0.264228,1.246467,[50 94] ; [1 6],[48.63576159 95.36423841] ; [2.36423841 4.63576159],0
b1,1,0.265233,1.241234,[53 93] ; [4 3],[54.39215686 91.60784314] ; [2.60784314 4.39215686],0
p3,1,0.299303,1.077297,[71 75] ; [2 5],[69.66013072 76.33986928] ; [3.33986928 3.66013072],0
s2,1,0.299303,1.077297,[71 75] ; [2 5],[69.66013072 76.33986928] ; [3.33986928 3.66013072],0
p10,1,0.332324,0.939819,[107  38] ; [4 3],[105.88815789  39.11184211] ; [5.11184211 1.88815789],0
a3,1,0.33388,0.93379,[68 76] ; [2 5],[66.75496689 77.24503311] ; [3.24503311 3.75496689],0
p8,1,0.339322,0.912991,[89 57] ; [3 4],[87.79084967 58.20915033] ; [4.20915033 2.79084967],0
d1,1,0.386496,0.749937,[ 43 103] ; [1 6],[ 41.9869281 104.0130719] ; [2.0130719 4.9869281],0
b5,1,0.40606,0.690307,[81 65] ; [5 2],[82.06535948 63.93464052] ; [3.93464052 3.06535948],0
a4,1,0.437667,0.60239,[ 25 121] ; [2 5],[ 25.76470588 120.23529412] ; [1.23529412 5.76470588],0
n4,1,0.476077,0.507836,[102  44] ; [4 3],[101.1503268  44.8496732] ; [4.8496732 2.1503268],0
p4,1,0.512075,0.429825,[81 65] ; [3 4],[80.15686275 65.84313725] ; [3.84313725 3.15686275],0
d4,1,0.529526,0.3953,[100  46] ; [4 3],[99.24183007 46.75816993] ; [4.75816993 2.24183007],0
b4,1,0.535727,0.383517,[80 66] ; [3 4],[79.20261438 66.79738562] ; [3.79738562 3.20261438],0
r1,1,0.59348,0.284942,[97 48] ; [4 3],[96.34868421 48.65131579] ; [4.65131579 2.34868421],0
s4,1,0.675345,0.175413,[ 30 114] ; [1 6],[ 29.56291391 114.43708609] ; [1.43708609 5.56291391],0
u3,1,0.685224,0.164304,[38 39] ; [2 3],[37.56097561 39.43902439] ; [2.43902439 2.56097561],0
n1,1,0.73568,0.11396,[12 24] ; [1 3],[11.7 24.3] ; [1.3 2.7],0
v2,1,0.753455,0.098651,[69 72] ; [3 4],[68.59459459 72.40540541] ; [3.40540541 3.59459459],0
v1,1,0.767799,0.087176,[68 72] ; [3 4],[67.61904762 72.38095238] ; [3.38095238 3.61904762],0
s8,1,0.784397,0.074853,[49 97] ; [2 5],[48.66666667 97.33333333] ; [2.33333333 4.66666667],0
a6,1,0.792335,0.069316,[70 76] ; [3 4],[69.66013072 76.33986928] ; [3.33986928 3.66013072],0
p6,1,0.794762,0.067669,[68 74] ; [3 4],[67.66442953 74.33557047] ; [3.33557047 3.66442953],0
n3,1,0.818075,0.05291,[25 11] ; [3 1],[25.2 10.8] ; [2.8 1.2],0
n2,1,0.899563,0.01593,[28  8] ; [3 1],[27.9  8.1] ; [3.1 0.9],0
p5,1,0.927986,0.008168,[ 19 126] ; [1 6],[ 19.07894737 125.92105263] ; [0.92105263 6.07894737],0
s3,1,0.967095,0.001702,[84 61] ; [4 3],[83.94736842 61.05263158] ; [4.05263158 2.94736842],0
a8,1,0.97517,0.000969,[ 19 118] ; [1 6],[ 19.02777778 117.97222222] ; [0.97222222 6.02777778],0
