Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,44.742699,[33 51] ; [48  1],[51.15789474 32.84210526] ; [29.84210526 19.15789474],1
d2,1,0.0,38.208944,[15 69] ; [34 13],[31.41984733 52.58015267] ; [17.58015267 29.41984733],1
d3,1,0.0,35.344972,[25 58] ; [41  8],[41.5 41.5] ; [24.5 24.5],1
d4,1,0.0,34.392009,[40 44] ; [47  1],[55.36363636 28.63636364] ; [31.63636364 16.36363636],1
v2,1,1.2e-05,19.139695,[20 61] ; [30 17],[31.640625 49.359375] ; [18.359375 28.640625],1
a4,1,0.0003,13.068685,[18 66] ; [25 23],[27.36363636 56.63636364] ; [15.63636364 32.36363636],1
a3,1,0.001093,10.662703,[38 44] ; [37 12],[46.94656489 35.05343511] ; [28.05343511 20.94656489],0
a5,1,0.001293,10.352564,[34 50] ; [34 15],[42.94736842 41.05263158] ; [25.05263158 23.94736842],0
p7,1,0.003055,8.774313,[38 43] ; [10 38],[30.13953488 50.86046512] ; [17.86046512 30.13953488],0
r2,1,0.008202,6.988741,[38 41] ; [32 12],[44.95934959 34.04065041] ; [25.04065041 18.95934959],0
a2,1,0.010813,6.495726,[ 4 80] ; [ 9 40],[ 8.21052632 75.78947368] ; [ 4.78947368 44.21052632],0
a7,1,0.017504,5.645102,[34 49] ; [30 18],[40.54961832 42.45038168] ; [23.45038168 24.54961832],0
v3,1,0.02274,5.188247,[13 70] ; [16 33],[18.23484848 64.76515152] ; [10.76515152 38.23484848],0
r3,1,0.024467,5.0612,[41 40] ; [34 14],[47.09302326 33.90697674] ; [27.90697674 20.09302326],0
s2,1,0.038381,4.288066,[22 62] ; [21 27],[27.36363636 56.63636364] ; [15.63636364 32.36363636],0
n1,1,0.089654,2.880566,[15 22] ; [ 5 20],[11.93548387 25.06451613] ; [ 8.06451613 16.93548387],0
s5,1,0.09097,2.857124,[10 73] ; [11 36],[13.40769231 69.59230769] ; [ 7.59230769 39.40769231],0
s7,1,0.092553,2.829404,[21 59] ; [18 26],[25.16129032 54.83870968] ; [13.83870968 30.16129032],0
p2,1,0.142097,2.155102,[53 31] ; [24 24],[49. 35.] ; [28. 20.],0
p8,1,0.143081,2.144503,[26 58] ; [ 9 38],[22.44274809 61.55725191] ; [12.55725191 34.44274809],0
s3,1,0.154591,2.026354,[26 55] ; [21 26],[29.7421875 51.2578125] ; [17.2578125 29.7421875],0
n2,1,0.186797,1.742703,[24 13] ; [12 13],[21.48387097 15.51612903] ; [14.51612903 10.48387097],0
a6,1,0.2184,1.514851,[37 47] ; [27 22],[40.42105263 43.57894737] ; [23.57894737 25.42105263],0
u1,1,0.228078,1.452808,[ 4 80] ; [ 5 44],[ 5.68421053 78.31578947] ; [ 3.31578947 45.68421053],0
b1,1,0.272314,1.205053,[46 38] ; [22 27],[42.94736842 41.05263158] ; [25.05263158 23.94736842],0
s8,1,0.272466,1.204289,[14 70] ; [12 37],[16.42105263 67.57894737] ; [ 9.57894737 39.42105263],0
b4,1,0.372186,0.796353,[43 41] ; [29 20],[45.47368421 38.52631579] ; [26.52631579 22.47368421],0
v4,1,0.372353,0.795798,[47 33] ; [32 16],[49.375 30.625] ; [29.625 18.375],0
u3,1,0.397498,0.715883,[13 32] ; [5 7],[14.21052632 30.78947368] ; [3.78947368 8.21052632],0
p9,1,0.424911,0.636693,[47 35] ; [23 23],[44.84375 37.15625] ; [25.15625 20.84375],0
n5,1,0.450986,0.568172,[51 30] ; [27 21],[48.97674419 32.02325581] ; [29.02325581 18.97674419],0
u2,1,0.45199,0.565657,[20 24] ; [4 8],[18.85714286 25.14285714] ; [5.14285714 6.85714286],0
n4,1,0.453558,0.561745,[47 36] ; [31 18],[49.04545455 33.95454545] ; [28.95454545 20.04545455],0
s1,1,0.464073,0.536053,[ 6 77] ; [ 2 47],[ 5.03030303 77.96969697] ; [ 2.96969697 46.03030303],0
a8,1,0.474405,0.511697,[ 6 73] ; [ 2 44],[ 5.056 73.944] ; [ 2.944 43.056],0
n6,1,0.499556,0.455879,[44 37] ; [29 19],[45.8372093 35.1627907] ; [27.1627907 20.8372093],0
v1,1,0.515771,0.422342,[26 57] ; [17 29],[27.66666667 55.33333333] ; [15.33333333 30.66666667],0
p1,1,0.536393,0.382265,[ 6 78] ; [ 5 44],[ 6.94736842 77.05263158] ; [ 4.05263158 44.94736842],0
p10,1,0.538202,0.378882,[43 39] ; [22 25],[41.31782946 40.68217054] ; [23.68217054 23.31782946],0
p3,1,0.626344,0.237051,[20 64] ; [13 34],[21.16030534 62.83969466] ; [11.83969466 35.16030534],0
r1,1,0.629979,0.232089,[21 62] ; [14 34],[22.17557252 60.82442748] ; [12.82442748 35.17557252],0
a1,1,0.632739,0.228365,[ 9 75] ; [ 4 45],[ 8.21052632 75.78947368] ; [ 4.78947368 44.21052632],0
s4,1,0.792996,0.068865,[17 67] ; [ 9 40],[16.42105263 67.57894737] ; [ 9.57894737 39.42105263],0
p11,1,0.805689,0.060512,[41 43] ; [25 24],[41.68421053 42.31578947] ; [24.31578947 24.68421053],0
b3,1,0.84547,0.037987,[16 32] ; [10 22],[15.6 32.4] ; [10.4 21.6],0
b2,1,0.84547,0.037987,[16 32] ; [10 22],[15.6 32.4] ; [10.4 21.6],0
b5,1,0.864316,0.029201,[45 39] ; [27 22],[45.47368421 38.52631579] ; [26.52631579 22.47368421],0
n3,1,0.917857,0.010636,[19 18] ; [12 12],[18.80327869 18.19672131] ; [12.19672131 11.80327869],0
