Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,87.423114,[ 3 44] ; [193  58],[30.91275168 16.08724832] ; [165.08724832  85.91275168],1
d4,1,0.0,43.117578,[26 21] ; [230  21],[40.37583893  6.62416107] ; [215.62416107  35.37583893],1
a4,1,2e-06,22.355725,[ 8 39] ; [137 114],[22.86912752 24.13087248] ; [122.13087248 128.86912752],1
d2,1,7e-06,20.102675,[12 35] ; [153  98],[26.02348993 20.97651007] ; [138.97651007 112.02348993],1
d3,1,2.4e-05,17.833566,[21 26] ; [189  62],[33.12080537 13.87919463] ; [176.87919463  74.12080537],1
a3,1,0.000412,12.475225,[31 16] ; [217  33],[39.24579125  7.75420875] ; [208.75420875  41.24579125],1
p1,1,0.000636,11.668607,[12 35] ; [ 21 228],[ 5.23986486 41.76013514] ; [ 27.76013514 221.23986486],1
n4,1,0.001039,10.757131,[32 15] ; [217  32],[39.53716216  7.46283784] ; [209.46283784  39.53716216],0
u1,1,0.003107,8.743821,[ 4 43] ; [ 73 178],[12.1442953 34.8557047] ; [ 64.8557047 186.1442953],0
s6,1,0.005622,7.667731,[36 11] ; [224  23],[41.56462585  5.43537415] ; [218.43537415  28.56462585],0
a5,1,0.005945,7.566881,[31 16] ; [209  42],[37.85234899  9.14765101] ; [202.14765101  48.85234899],0
a2,1,0.011937,6.320146,[ 6 41] ; [ 77 174],[13.09060403 33.90939597] ; [ 69.90939597 181.09060403],0
p8,1,0.029936,4.712967,[34 13] ; [136 110],[27.26962457 19.73037543] ; [142.73037543 103.26962457],0
r2,1,0.031612,4.619409,[42  4] ; [241   6],[44.43003413  1.56996587] ; [238.56996587   8.43003413],0
v3,1,0.060148,3.533288,[17 29] ; [125 115],[22.83916084 23.16083916] ; [119.16083916 120.83916084],0
s2,1,0.069903,3.285287,[32 15] ; [200  50],[36.71380471 10.28619529] ; [195.28619529  54.71380471],0
s5,1,0.089402,2.885108,[17 29] ; [120 117],[22.26855124 23.73144876] ; [114.73144876 122.26855124],0
v2,1,0.114781,2.487123,[23 21] ; [158  86],[27.65277778 16.34722222] ; [153.34722222  90.65277778],0
r1,1,0.123755,2.36914,[36 11] ; [213  36],[39.53716216  7.46283784] ; [209.46283784  39.53716216],0
a7,1,0.189342,1.722732,[28 19] ; [174  77],[31.8590604 15.1409396] ; [170.1409396  80.8590604],0
r4,1,0.195819,1.673288,[41  6] ; [233  18],[43.2147651  3.7852349] ; [230.7852349  20.2147651],0
b2,1,0.216714,1.525995,[18 15] ; [ 79 105],[14.75115207 18.24884793] ; [ 82.24884793 101.75115207],0
b3,1,0.216714,1.525995,[18 15] ; [ 79 105],[14.75115207 18.24884793] ; [ 82.24884793 101.75115207],0
p7,1,0.293315,1.104345,[36 10] ; [171  71],[33.0625 12.9375] ; [173.9375  68.0625],0
u4,1,0.320789,0.985725,[ 1 46] ; [ 14 237],[ 2.36577181 44.63422819] ; [ 12.63422819 238.36577181],0
p3,1,0.339842,0.911027,[24 23] ; [147 104],[26.96979866 20.03020134] ; [144.03020134 106.96979866],0
p6,1,0.34935,0.875818,[20 27] ; [123 123],[22.93856655 24.06143345] ; [120.06143345 125.93856655],0
v1,1,0.361081,0.834129,[27 20] ; [156  86],[29.76124567 17.23875433] ; [153.23875433  88.76124567],0
r3,1,0.370633,0.80154,[44  3] ; [242   9],[45.10738255  1.89261745] ; [240.89261745  10.10738255],0
a6,1,0.431316,0.619277,[29 18] ; [169  81],[31.33333333 15.66666667] ; [166.66666667  83.33333333],0
n6,1,0.460995,0.543478,[41  6] ; [225  23],[42.37966102  4.62033898] ; [223.62033898  24.37966102],0
u2,1,0.466348,0.530615,[10  6] ; [24  9],[11.10204082  4.89795918] ; [22.89795918 10.10204082],0
p12,1,0.477387,0.504826,[ 7 40] ; [ 28 221],[ 5.55743243 41.44256757] ; [ 29.44256757 219.55743243],0
u3,1,0.561523,0.337073,[11  5] ; [26  8],[11.84  4.16] ; [25.16  8.84],0
n1,1,0.568406,0.325357,[3 4] ; [32 27],[3.71212121 3.28787879] ; [31.28787879 27.71212121],0
p2,1,0.573948,0.316122,[41  6] ; [210  40],[39.72053872  7.27946128] ; [211.27946128  38.72053872],0
p4,1,0.575948,0.31283,[30 17] ; [170  80],[31.64983165 15.35016835] ; [168.35016835  81.64983165],0
s3,1,0.61473,0.253344,[36 11] ; [198  50],[37.28135593  9.71864407] ; [196.71864407  51.28135593],0
p11,1,0.645006,0.212255,[39  8] ; [201  50],[37.85234899  9.14765101] ; [202.14765101  48.85234899],0
a8,1,0.669291,0.182432,[ 7 38] ; [ 41 184],[ 8. 37.] ; [ 40. 185.],0
b5,1,0.727845,0.1211,[27 20] ; [151 100],[28.0738255 18.9261745] ; [149.9261745 101.0738255],0
n2,1,0.758385,0.09462,[5 2] ; [46 14],[5.32835821 1.67164179] ; [45.67164179 14.32835821],0
b1,1,0.766858,0.087905,[20 27] ; [101 150],[19.08389262 27.91610738] ; [101.91610738 149.08389262],0
b4,1,0.78208,0.076513,[25 22] ; [139 112],[25.86577181 21.13422819] ; [138.13422819 112.86577181],0
p9,1,0.83032,0.045921,[43  4] ; [231  19],[43.36026936  3.63973064] ; [230.63973064  19.36026936],0
p10,1,0.835446,0.043148,[42  5] ; [219  29],[41.58305085  5.41694915] ; [219.41694915  28.58305085],0
n5,1,0.870317,0.026652,[39  8] ; [209  40],[39.37837838  7.62162162] ; [208.62162162  40.37837838],0
p5,1,0.88062,0.022555,[ 9 37] ; [ 46 201],[ 8.63481229 37.36518771] ; [ 46.36518771 200.63481229],0
s4,1,0.901685,0.01526,[10 37] ; [ 51 198],[ 9.68581081 37.31418919] ; [ 51.31418919 197.68581081],0
n3,1,0.937699,0.006109,[5 2] ; [42 18],[4.91044776 2.08955224] ; [42.08955224 17.91044776],0
v4,1,0.938685,0.005917,[45  1] ; [245   5],[45.06756757  0.93243243] ; [244.93243243   5.06756757],0
s1,1,0.955997,0.003045,[ 2 45] ; [ 11 237],[ 2.07118644 44.92881356] ; [ 10.92881356 237.07118644],0
