Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.001126,10.607652,[28 37] ; [23  6],[35.26595745 29.73404255] ; [15.73404255 13.26595745],0
r3,1,0.005026,7.870186,[42 22] ; [27  2],[47.48387097 16.51612903] ; [21.51612903  7.48387097],0
p9,1,0.00779,7.081115,[36 26] ; [25  4],[41.56043956 20.43956044] ; [19.43956044  9.56043956],0
r4,1,0.011816,6.338247,[39 26] ; [25  4],[44.25531915 20.74468085] ; [19.74468085  9.25531915],0
s2,1,0.015671,5.839409,[17 48] ; [15 14],[22.12765957 42.87234043] ; [ 9.87234043 19.12765957],0
p10,1,0.016229,5.777856,[31 32] ; [22  7],[36.29347826 26.70652174] ; [16.70652174 12.29347826],0
a7,1,0.016727,5.724823,[27 37] ; [20  9],[32.34408602 31.65591398] ; [14.65591398 14.34408602],0
p3,1,0.021382,5.295425,[ 9 56] ; [10 19],[13.13829787 51.86170213] ; [ 5.86170213 23.13829787],0
p11,1,0.021667,5.272369,[38 27] ; [24  5],[42.87234043 22.12765957] ; [19.12765957  9.87234043],0
p7,1,0.0221,5.237884,[21 42] ; [17 12],[26.02173913 36.97826087] ; [11.97826087 17.02173913],0
s3,1,0.0221,5.237884,[21 42] ; [17 12],[26.02173913 36.97826087] ; [11.97826087 17.02173913],0
v3,1,0.023431,5.136289,[12 51] ; [12 17],[16.43478261 46.56521739] ; [ 7.56521739 21.43478261],0
v4,1,0.023526,5.12927,[49 14] ; [28  1],[52.72826087 10.27173913] ; [24.27173913  4.72826087],0
s6,1,0.027419,4.864242,[24 40] ; [18 11],[28.90322581 35.09677419] ; [13.09677419 15.90322581],0
s8,1,0.029214,4.754944,[11 53] ; [11 18],[15.13978495 48.86021505] ; [ 6.86021505 22.13978495],0
s7,1,0.037054,4.347933,[14 48] ; [12 15],[18.11235955 43.88764045] ; [ 7.88764045 19.11235955],0
a4,1,0.040655,4.190345,[16 48] ; [ 2 27],[12.38709677 51.61290323] ; [ 5.61290323 23.38709677],0
d2,1,0.043741,4.066524,[16 49] ; [ 2 27],[12.44680851 52.55319149] ; [ 5.55319149 23.44680851],0
n6,1,0.100308,2.700639,[43 22] ; [24  5],[46.32978723 18.67021277] ; [20.67021277  8.32978723],0
n2,1,0.127667,2.320642,[16 10] ; [8 1],[17.82857143  8.17142857] ; [6.17142857 2.82857143],0
v1,1,0.147664,2.096216,[20 45] ; [13 15],[23.06451613 41.93548387] ; [ 9.93548387 18.06451613],0
p6,1,0.157492,1.998143,[ 8 56] ; [ 7 22],[10.32258065 53.67741935] ; [ 4.67741935 24.32258065],0
n1,1,0.178529,1.809829,[ 9 17] ; [1 8],[ 7.42857143 18.57142857] ; [2.57142857 6.42857143],0
n3,1,0.201754,1.62963,[16  8] ; [8 1],[17.45454545  6.54545455] ; [6.54545455 2.45454545],0
s5,1,0.220079,1.503853,[ 9 56] ; [ 7 22],[11.06382979 53.93617021] ; [ 4.93617021 24.06382979],0
a5,1,0.220378,1.501911,[27 38] ; [16 13],[29.73404255 35.26595745] ; [13.26595745 15.73404255],0
a3,1,0.237652,1.394468,[30 33] ; [10 19],[27.39130435 35.60869565] ; [12.60869565 16.39130435],0
r2,1,0.249954,1.323563,[52 13] ; [26  3],[53.93617021 11.06382979] ; [24.06382979  4.93617021],0
b4,1,0.264187,1.246684,[35 30] ; [12 17],[32.5 32.5] ; [14.5 14.5],0
u3,1,0.346317,0.886906,[12 23] ; [ 9 10],[13.61111111 21.38888889] ; [ 7.38888889 11.61111111],0
d3,1,0.356266,0.851013,[12 51] ; [ 8 21],[13.69565217 49.30434783] ; [ 6.30434783 22.69565217],0
p2,1,0.376507,0.782076,[38 26] ; [20  9],[39.91397849 24.08602151] ; [18.08602151 10.91397849],0
s4,1,0.378052,0.777027,[14 51] ; [ 4 25],[12.44680851 52.55319149] ; [ 5.55319149 23.44680851],0
u1,1,0.396771,0.71809,[ 2 63] ; [ 2 27],[ 2.76595745 62.23404255] ; [ 1.23404255 27.76595745],0
u2,1,0.432704,0.615555,[11 24] ; [ 8 11],[12.31481481 22.68518519] ; [ 6.68518519 12.31481481],0
b1,1,0.432912,0.615,[28 37] ; [10 19],[26.27659574 38.72340426] ; [11.72340426 17.27659574],0
a8,1,0.455192,0.557692,[ 5 53] ; [ 4 25],[ 6. 52.] ; [ 3. 26.],0
p8,1,0.515869,0.422144,[22 42] ; [12 17],[23.39784946 40.60215054] ; [10.60215054 18.39784946],0
p1,1,0.541468,0.372826,[ 7 57] ; [ 2 27],[ 6.19354839 57.80645161] ; [ 2.80645161 26.19354839],0
a6,1,0.693054,0.155799,[33 32] ; [16 13],[33.88297872 31.11702128] ; [15.11702128 13.88297872],0
b2,1,0.743331,0.107221,[10 26] ; [ 4 13],[ 9.50943396 26.49056604] ; [ 4.49056604 12.50943396],0
b3,1,0.743331,0.107221,[10 26] ; [ 4 13],[ 9.50943396 26.49056604] ; [ 4.49056604 12.50943396],0
n5,1,0.859808,0.031194,[46 19] ; [20  9],[45.63829787 19.36170213] ; [20.36170213  8.63829787],0
d5,1,0.91735,0.010769,[25 39] ; [11 18],[24.77419355 39.22580645] ; [11.22580645 17.77419355],0
n4,1,0.932569,0.007159,[42 23] ; [19 10],[42.18085106 22.81914894] ; [18.81914894 10.18085106],0
b5,1,0.988459,0.000209,[38 27] ; [17 12],[38.03191489 26.96808511] ; [16.96808511 12.03191489],0
