Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.070978,3.260261,[ 2 13] ; [52 90],[5.15923567 9.84076433] ; [48.84076433 93.15923567],0
b2,1,0.070978,3.260261,[ 2 13] ; [52 90],[5.15923567 9.84076433] ; [48.84076433 93.15923567],0
b4,1,0.078911,3.087191,[ 7 12] ; [140 103],[10.66030534  8.33969466] ; [136.33969466 106.66030534],0
n2,1,0.13195,2.269413,[2 4] ; [47 26],[3.72151899 2.27848101] ; [45.27848101 27.72151899],0
a6,1,0.143449,2.140562,[ 9 10] ; [156  87],[11.96564885  7.03435115] ; [153.03435115  89.96564885],0
d1,1,0.153379,2.038322,[ 6 13] ; [118 125],[ 8.99236641 10.00763359] ; [115.00763359 127.99236641],0
r1,1,0.156635,2.00642,[10  9] ; [165  76],[12.78846154  6.21153846] ; [162.21153846  78.78846154],0
s1,1,0.156773,2.005079,[ 2 17] ; [  9 232],[ 0.80384615 18.19615385] ; [ 10.19615385 230.80384615],0
p8,1,0.185535,1.752722,[ 4 15] ; [ 87 154],[ 6.65 12.35] ; [ 84.35 156.65],0
p4,1,0.196802,1.665946,[ 4 15] ; [ 86 155],[ 6.57692308 12.42307692] ; [ 83.42307692 157.57692308],0
v4,1,0.209772,1.572998,[13  5] ; [201  39],[14.93023256  3.06976744] ; [199.06976744  40.93023256],0
a4,1,0.236317,1.402432,[ 5 14] ; [ 97 145],[ 7.42528736 11.57471264] ; [ 94.57471264 147.42528736],0
s3,1,0.261407,1.261289,[ 7 12] ; [ 60 179],[ 4.93410853 14.06589147] ; [ 62.06589147 176.93410853],0
p3,1,0.278697,1.173434,[ 8 11] ; [ 73 169],[ 5.89655172 13.10344828] ; [ 75.10344828 166.89655172],0
p11,1,0.291473,1.112806,[11  8] ; [169  74],[13.05343511  5.94656489] ; [166.94656489  76.05343511],0
a7,1,0.327122,0.960256,[10  9] ; [154  87],[11.98461538  7.01538462] ; [152.01538462  88.98461538],0
d3,1,0.357324,0.847275,[13  6] ; [140 103],[11.09541985  7.90458015] ; [141.90458015 101.09541985],0
r4,1,0.387363,0.747204,[12  7] ; [176  67],[13.63358779  5.36641221] ; [174.36641221  68.63358779],0
p9,1,0.445244,0.582731,[11  8] ; [157  79],[12.51764706  6.48235294] ; [155.48235294  80.51764706],0
a8,1,0.446563,0.57936,[ 1 18] ; [ 24 198],[ 1.97095436 17.02904564] ; [ 23.02904564 198.97095436],0
s5,1,0.474591,0.511266,[ 1 17] ; [ 26 212],[ 1.8984375 16.1015625] ; [ 25.1015625 212.8984375],0
s7,1,0.487642,0.481724,[ 4 14] ; [ 36 190],[ 2.95081967 15.04918033] ; [ 37.04918033 188.95081967],0
n3,1,0.515999,0.421883,[3 3] ; [45 26],[3.74025974 2.25974026] ; [44.25974026 26.74025974],0
d4,1,0.519321,0.415241,[13  6] ; [181  60],[14.17692308  4.82307692] ; [179.82307692  61.17692308],0
d2,1,0.53544,0.384058,[ 7 12] ; [106 134],[ 8.28957529 10.71042471] ; [104.71042471 135.28957529],0
a3,1,0.574914,0.31453,[11  8] ; [155  86],[12.13076923  6.86923077] ; [153.86923077  87.13076923],0
r3,1,0.588118,0.293292,[15  4] ; [201  39],[15.84555985  3.15444015] ; [200.15444015  39.84555985],0
s2,1,0.588118,0.293292,[ 4 15] ; [ 39 201],[ 3.15444015 15.84555985] ; [ 39.84555985 200.15444015],0
u1,1,0.609056,0.261551,[ 1 18] ; [ 21 222],[ 1.59541985 17.40458015] ; [ 20.40458015 222.59541985],0
v1,1,0.639434,0.219483,[ 8 11] ; [ 87 150],[ 7.05078125 11.94921875] ; [ 87.94921875 149.05078125],0
s8,1,0.640258,0.218405,[ 2 17] ; [ 35 208],[ 2.68320611 16.31679389] ; [ 34.31679389 208.68320611],0
a5,1,0.660158,0.193332,[11  8] ; [153  90],[11.89312977  7.10687023] ; [152.10687023  90.89312977],0
n5,1,0.663293,0.189548,[11  8] ; [151  89],[11.88416988  7.11583012] ; [150.11583012  89.88416988],0
n6,1,0.680557,0.1695,[14  5] ; [166  74],[13.2046332  5.7953668] ; [166.7953668  73.2046332],0
p10,1,0.726359,0.122481,[13  6] ; [154  85],[12.29844961  6.70155039] ; [154.70155039  84.29844961],0
u2,1,0.730436,0.118712,[4 4] ; [38 49],[3.53684211 4.46315789] ; [38.46315789 48.53684211],0
r2,1,0.741687,0.10865,[15  3] ; [205  33],[15.46875  2.53125] ; [204.53125  33.46875],0
u3,1,0.757008,0.095736,[4 4] ; [39 49],[3.58333333 4.41666667] ; [39.41666667 48.58333333],0
v3,1,0.789911,0.070983,[ 6 13] ; [ 66 164],[ 5.4939759 13.5060241] ; [ 66.5060241 163.4939759],0
d5,1,0.797597,0.065771,[13  6] ; [173  70],[13.48854962  5.51145038] ; [172.51145038  70.48854962],0
n4,1,0.822213,0.05049,[12  7] ; [159  83],[12.44827586  6.55172414] ; [158.55172414  83.44827586],0
v2,1,0.846696,0.037379,[ 8 11] ; [103 129],[ 8.40239044 10.59760956] ; [102.59760956 129.40239044],0
p2,1,0.908949,0.013079,[12  7] ; [156  86],[12.22988506  6.77011494] ; [155.77011494  86.22988506],0
