Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000178,14.045846,[ 8 19] ; [46 18],[16.02197802 10.97802198] ; [37.97802198 26.02197802],1
r4,1,0.000454,12.297465,[16 11] ; [58  6],[21.95604396  5.04395604] ; [52.04395604 11.95604396],1
a5,1,0.001751,9.79357,[ 9 18] ; [44 20],[15.72527473 11.27472527] ; [37.27472527 26.72527473],0
r2,1,0.003085,8.756787,[20  7] ; [61  3],[24.03296703  2.96703297] ; [56.96703297  7.03296703],0
r1,1,0.003355,8.603686,[15 12] ; [54 10],[20.47252747  6.52747253] ; [48.52747253 15.47252747],0
v4,1,0.011398,6.402116,[21  6] ; [60  3],[24.3  2.7] ; [56.7  6.3],0
v3,1,0.011824,6.336998,[ 3 24] ; [24 40],[ 8.01098901 18.98901099] ; [18.98901099 45.01098901],0
n6,1,0.012534,6.233766,[15 12] ; [51 12],[19.8  7.2] ; [46.2 16.8],0
a7,1,0.022769,5.186074,[12 15] ; [44 19],[16.8 10.2] ; [39.2 23.8],0
a6,1,0.044539,4.03602,[13 14] ; [45 19],[17.20879121  9.79120879] ; [40.79120879 23.20879121],0
d5,1,0.045077,4.015755,[15 12] ; [49 15],[18.98901099  8.01098901] ; [45.01098901 18.98901099],0
a2,1,0.082457,3.01579,[ 1 26] ; [11 53],[ 3.56043956 23.43956044] ; [ 8.43956044 55.56043956],0
d3,1,0.08301,3.004952,[12 15] ; [41 23],[15.72527473 11.27472527] ; [37.27472527 26.72527473],0
s3,1,0.140885,2.168267,[10 17] ; [34 29],[13.2 13.8] ; [30.8 32.2],0
a4,1,0.143235,2.142857,[ 6 21] ; [24 39],[ 9. 18.] ; [21. 42.],0
p3,1,0.155318,2.019231,[ 5 22] ; [21 42],[ 7.8 19.2] ; [18.2 44.8],0
p2,1,0.238078,1.391941,[16 11] ; [46 18],[18.3956044  8.6043956] ; [43.6043956 20.3956044],0
s4,1,0.244009,1.357284,[ 5 22] ; [ 6 56],[ 3.33707865 23.66292135] ; [ 7.66292135 54.33707865],0
d4,1,0.264209,1.246566,[17 10] ; [47 16],[19.2  7.8] ; [44.8 18.2],0
p10,1,0.265557,1.239553,[ 7 20] ; [24 39],[ 9.3 17.7] ; [21.7 41.3],0
s6,1,0.318048,0.996957,[10 17] ; [31 33],[12.16483516 14.83516484] ; [28.83516484 35.16483516],0
b5,1,0.324291,0.971563,[13 14] ; [38 26],[15.13186813 11.86813187] ; [35.86813187 28.13186813],0
p1,1,0.344787,0.89255,[ 1 26] ; [ 6 57],[ 2.1 24.9] ; [ 4.9 58.1],0
v1,1,0.392552,0.731023,[ 8 19] ; [25 39],[ 9.79120879 17.20879121] ; [23.20879121 40.79120879],0
r3,1,0.439537,0.597492,[24  3] ; [59  4],[24.9  2.1] ; [58.1  4.9],0
s1,1,0.450689,0.56892,[ 1 26] ; [ 5 57],[ 1.82022472 25.17977528] ; [ 4.17977528 57.82022472],0
p8,1,0.469342,0.523524,[11 16] ; [21 43],[ 9.49450549 17.50549451] ; [22.50549451 41.49450549],0
b3,1,0.47268,0.515704,[ 3 13] ; [12 31],[ 4.06779661 11.93220339] ; [10.93220339 32.06779661],0
b2,1,0.47268,0.515704,[ 3 13] ; [12 31],[ 4.06779661 11.93220339] ; [10.93220339 32.06779661],0
d1,1,0.501083,0.452643,[11 16] ; [31 33],[12.46153846 14.53846154] ; [29.53846154 34.46153846],0
p7,1,0.505861,0.442618,[16 11] ; [32 30],[14.56179775 12.43820225] ; [33.43820225 28.56179775],0
b1,1,0.534997,0.384891,[12 15] ; [33 31],[13.35164835 13.64835165] ; [31.64835165 32.35164835],0
s2,1,0.55893,0.34156,[ 9 17] ; [26 37],[10.2247191 15.7752809] ; [24.7752809 38.2247191],0
s8,1,0.559407,0.340731,[ 6 21] ; [18 46],[ 7.12087912 19.87912088] ; [16.87912088 47.12087912],0
n1,1,0.570632,0.321626,[5 7] ; [4 9],[4.32 7.68] ; [4.68 8.32],0
u3,1,0.573138,0.31746,[8 4] ; [16 12],[7.2 4.8] ; [16.8 11.2],0
u2,1,0.590438,0.289661,[6 6] ; [16 11],[6.76923077 5.23076923] ; [15.23076923 11.76923077],0
p4,1,0.591094,0.288639,[11 16] ; [30 34],[12.16483516 14.83516484] ; [28.83516484 35.16483516],0
p6,1,0.63481,0.225595,[ 7 19] ; [14 49],[ 6.13483146 19.86516854] ; [14.86516854 48.13483146],0
n3,1,0.63749,0.222039,[9 3] ; [10  5],[8.44444444 3.55555556] ; [10.55555556  4.44444444],0
a8,1,0.650174,0.20568,[ 3 22] ; [ 5 52],[ 2.43902439 22.56097561] ; [ 5.56097561 51.43902439],0
d2,1,0.678545,0.171768,[12 15] ; [31 32],[12.9 14.1] ; [30.1 32.9],0
s7,1,0.694209,0.154567,[ 9 18] ; [23 38],[ 9.81818182 17.18181818] ; [22.18181818 38.81818182],0
b4,1,0.730678,0.11849,[18  9] ; [45 19],[18.69230769  8.30769231] ; [44.30769231 19.69230769],0
s5,1,0.754136,0.098088,[ 5 21] ; [14 49],[ 5.5505618 20.4494382] ; [13.4494382 49.5505618],0
n2,1,0.793117,0.068783,[8 4] ; [10  4],[8.30769231 3.69230769] ; [9.69230769 4.30769231],0
v2,1,0.805791,0.060447,[11 15] ; [28 34],[11.52272727 14.47727273] ; [27.47727273 34.52272727],0
a3,1,0.951383,0.003717,[15 12] ; [36 28],[15.13186813 11.86813187] ; [35.86813187 28.13186813],0
