Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,37.223549,[ 16 100] ; [36 27],[33.69832402 82.30167598] ; [18.30167598 44.69832402],1
p6,1,0.000191,13.922274,[16 98] ; [24 38],[25.90909091 88.09090909] ; [14.09090909 47.90909091],1
p8,1,0.002455,9.174177,[30 86] ; [30 32],[39.1011236 76.8988764] ; [20.8988764 41.1011236],0
r4,1,0.002708,8.994396,[75 41] ; [54  9],[83.59776536 32.40223464] ; [45.40223464 17.59776536],0
s8,1,0.00575,7.62697,[  9 107] ; [14 49],[ 14.90502793 101.09497207] ; [ 8.09497207 54.90502793],0
p7,1,0.010952,6.47304,[47 67] ; [38 24],[55.05681818 58.94318182] ; [29.94318182 32.05681818],0
n4,1,0.013899,6.050903,[57 59] ; [43 20],[64.80446927 51.19553073] ; [35.19553073 27.80446927],0
p2,1,0.015307,5.880762,[73 42] ; [51 12],[80.11235955 34.88764045] ; [43.88764045 19.11235955],0
d5,1,0.016259,5.774632,[57 58] ; [43 20],[64.60674157 50.39325843] ; [35.39325843 27.60674157],0
s6,1,0.018842,5.516138,[42 73] ; [34 28],[49.37853107 65.62146893] ; [26.62146893 35.37853107],0
r3,1,0.028729,4.783786,[94 21] ; [59  4],[98.84831461 16.15168539] ; [54.15168539  8.84831461],0
n6,1,0.032593,4.567011,[78 38] ; [51 11],[84.06741573 31.93258427] ; [44.93258427 17.06741573],0
u3,1,0.04392,4.059615,[28 44] ; [24 17],[33.13274336 38.86725664] ; [18.86725664 22.13274336],0
v4,1,0.062178,3.478307,[94 21] ; [58  5],[98.20224719 16.79775281] ; [53.79775281  9.20224719],0
d1,1,0.062566,3.468016,[24 92] ; [21 42],[29.16201117 86.83798883] ; [15.83798883 47.16201117],0
v1,1,0.067462,3.343723,[35 77] ; [28 34],[40.55172414 71.44827586] ; [22.44827586 39.55172414],0
a6,1,0.075624,3.156526,[52 64] ; [37 26],[57.67597765 58.32402235] ; [31.32402235 31.67597765],0
p10,1,0.082658,3.01184,[62 51] ; [43 20],[67.41477273 45.58522727] ; [37.58522727 25.41477273],0
p9,1,0.088524,2.901017,[72 41] ; [48 15],[77.04545455 35.95454545] ; [42.95454545 20.04545455],0
d3,1,0.09472,2.792267,[52 62] ; [37 26],[57.3220339 56.6779661] ; [31.6779661 31.3220339],0
n5,1,0.108877,2.570449,[63 53] ; [42 21],[68.04469274 47.95530726] ; [36.95530726 26.04469274],0
p11,1,0.111908,2.527066,[75 41] ; [48 15],[79.70949721 36.29050279] ; [43.29050279 19.70949721],0
n3,1,0.157755,1.995611,[27 14] ; [12  2],[29.07272727 11.92727273] ; [9.92727273 4.07272727],0
v2,1,0.158959,1.984102,[39 68] ; [29 32],[43.30952381 63.69047619] ; [24.69047619 36.30952381],0
s2,1,0.207015,1.592176,[27 88] ; [20 42],[30.53672316 84.46327684] ; [16.46327684 45.53672316],0
a4,1,0.210742,1.566319,[17 98] ; [14 49],[20.02808989 94.97191011] ; [10.97191011 52.02808989],0
v3,1,0.236092,1.403781,[23 90] ; [17 43],[26.12716763 86.87283237] ; [13.87283237 46.12716763],0
a1,1,0.237316,1.396467,[  6 110] ; [ 1 62],[  4.53631285 111.46368715] ; [ 2.46368715 60.53631285],0
