Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.001755,9.79011,[ 4 10] ; [24  7],[8.71111111 5.28888889] ; [19.28888889 11.71111111],0
p9,1,0.006127,7.512702,[5 8] ; [25  6],[8.86363636 4.13636364] ; [21.13636364  9.86363636],0
n2,1,0.009087,6.805556,[2 6] ; [10  2],[4.8 3.2] ; [7.2 4.8],0
r3,1,0.009994,6.635945,[8 6] ; [28  3],[11.2  2.8] ; [24.8  6.2],0
a5,1,0.010778,6.501614,[ 2 12] ; [17 14],[5.91111111 8.08888889] ; [13.08888889 17.91111111],0
p7,1,0.014362,5.993088,[ 4 10] ; [21 10],[7.77777778 6.22222222] ; [17.22222222 13.77777778],0
r4,1,0.01797,5.599078,[ 2 12] ; [16 15],[5.6 8.4] ; [12.4 18.6],0
p8,1,0.036792,4.360023,[ 3 11] ; [17 14],[6.22222222 7.77777778] ; [13.77777778 17.22222222],0
b1,1,0.045164,4.012494,[12  2] ; [17 14],[9.02222222 4.97777778] ; [19.97777778 11.02222222],0
u2,1,0.045465,4.001323,[5 5] ; [13  2],[7.2 2.8] ; [10.8  4.2],0
p2,1,0.053427,3.730501,[8 6] ; [26  5],[10.57777778  3.42222222] ; [23.42222222  7.57777778],0
s6,1,0.066907,3.357316,[ 4 10] ; [18 13],[6.84444444 7.15555556] ; [15.15555556 15.84444444],0
a6,1,0.111363,2.534768,[5 9] ; [19 12],[7.46666667 6.53333333] ; [16.53333333 14.46666667],0
a7,1,0.111363,2.534768,[5 9] ; [19 12],[7.46666667 6.53333333] ; [16.53333333 14.46666667],0
n5,1,0.114682,2.488479,[6 8] ; [21 10],[8.4 5.6] ; [18.6 12.4],0
s5,1,0.147332,2.099654,[ 1 13] ; [ 8 23],[ 2.8 11.2] ; [ 6.2 24.8],0
a3,1,0.149854,2.073733,[ 4 10] ; [16 15],[6.22222222 7.77777778] ; [13.77777778 17.22222222],0
v2,1,0.181357,1.786466,[ 4 10] ; [15 15],[6.04545455 7.95454545] ; [12.95454545 17.04545455],0
n3,1,0.198982,1.649832,[3 5] ; [8 4],[4.4 3.6] ; [6.6 5.4],0
s2,1,0.206898,1.593004,[ 2 12] ; [10 21],[ 3.73333333 10.26666667] ; [ 8.26666667 22.73333333],0
v1,1,0.25493,1.296083,[ 3 11] ; [12 19],[4.66666667 9.33333333] ; [10.33333333 20.66666667],0
p5,1,0.295378,1.094946,[ 1 13] ; [ 6 25],[ 2.17777778 11.82222222] ; [ 4.82222222 26.17777778],0
b2,1,0.317113,1.000817,[4 5] ; [ 4 12],[2.88 6.12] ; [ 5.12 10.88],0
b3,1,0.317113,1.000817,[4 5] ; [ 4 12],[2.88 6.12] ; [ 5.12 10.88],0
a8,1,0.318587,0.994737,[ 2 10] ; [ 2 28],[ 1.14285714 10.85714286] ; [ 2.85714286 27.14285714],0
b5,1,0.32233,0.979468,[9 5] ; [15 16],[7.46666667 6.53333333] ; [16.53333333 14.46666667],0
s4,1,0.389463,0.740619,[ 2 12] ; [ 8 23],[ 3.11111111 10.88888889] ; [ 6.88888889 24.11111111],0
a1,1,0.392603,0.730864,[ 2 12] ; [ 2 29],[ 1.24444444 12.75555556] ; [ 2.75555556 28.24444444],0
p6,1,0.45167,0.566457,[ 2 11] ; [ 8 23],[ 2.95454545 10.04545455] ; [ 7.04545455 23.95454545],0
n4,1,0.456652,0.554088,[6 8] ; [17 14],[7.15555556 6.84444444] ; [15.84444444 15.15555556],0
n6,1,0.49168,0.472847,[8 6] ; [21 10],[9.02222222 4.97777778] ; [19.97777778 11.02222222],0
d5,1,0.510704,0.432624,[10  4] ; [19 12],[9.02222222 4.97777778] ; [19.97777778 11.02222222],0
p1,1,0.555,0.348435,[ 1 13] ; [ 1 30],[ 0.62222222 13.37777778] ; [ 1.37777778 29.62222222],0
s1,1,0.555,0.348435,[ 1 13] ; [ 1 30],[ 0.62222222 13.37777778] ; [ 1.37777778 29.62222222],0
d2,1,0.593353,0.285138,[ 3 11] ; [ 9 22],[ 3.73333333 10.26666667] ; [ 8.26666667 22.73333333],0
p4,1,0.61425,0.254032,[7 7] ; [18 13],[7.77777778 6.22222222] ; [17.22222222 13.77777778],0
p3,1,0.617387,0.249557,[4 9] ; [12 19],[4.72727273 8.27272727] ; [11.27272727 19.72727273],0
u3,1,0.621685,0.243506,[5 5] ; [6 9],[4.4 5.6] ; [6.6 8.4],0
d1,1,0.653977,0.200923,[5 9] ; [ 9 22],[4.35555556 9.64444444] ; [ 9.64444444 21.35555556],0
v3,1,0.751731,0.100083,[ 3 11] ; [ 8 23],[ 3.42222222 10.57777778] ; [ 7.57777778 23.42222222],0
s8,1,0.751731,0.100083,[ 3 11] ; [ 8 23],[ 3.42222222 10.57777778] ; [ 7.57777778 23.42222222],0
b4,1,0.763256,0.090726,[7 7] ; [14 17],[6.53333333 7.46666667] ; [14.46666667 16.53333333],0
d3,1,0.792616,0.069124,[8 6] ; [19 12],[8.4 5.6] ; [18.6 12.4],0
d4,1,0.804671,0.061161,[10  4] ; [21 10],[9.64444444 4.35555556] ; [21.35555556  9.64444444],0
s7,1,0.81668,0.053739,[3 8] ; [ 9 20],[3.3 7.7] ; [ 8.7 20.3],0
a4,1,0.931419,0.007406,[ 3 11] ; [ 7 24],[ 3.11111111 10.88888889] ; [ 6.88888889 24.11111111],0
s3,1,0.974811,0.000997,[ 4 10] ; [ 9 22],[4.04444444 9.95555556] ; [ 8.95555556 22.04444444],0
r1,1,0.988073,0.000223,[5 9] ; [11 20],[4.97777778 9.02222222] ; [11.02222222 19.97777778],0
