Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.229638,[ 1 31] ; [46 41],[12.63865546 19.36134454] ; [34.36134454 52.63865546],1
d4,1,0.000599,11.777951,[17 15] ; [72 14],[24.13559322  7.86440678] ; [64.86440678 21.13559322],1
d3,1,0.00825,6.978401,[14 18] ; [61 26],[20.16806723 11.83193277] ; [54.83193277 32.16806723],0
a4,1,0.00941,6.743336,[ 2 30] ; [25 62],[ 7.2605042 24.7394958] ; [19.7394958 67.2605042],0
b4,1,0.016829,5.714084,[14 18] ; [59 28],[19.6302521 12.3697479] ; [53.3697479 33.6302521],0
p10,1,0.03062,4.674129,[18 13] ; [65 18],[22.57017544  8.42982456] ; [60.42982456 22.57017544],0
d2,1,0.038137,4.29892,[ 4 28] ; [27 59],[ 8.40677966 23.59322034] ; [22.59322034 63.40677966],0
v3,1,0.044598,4.03378,[12 20] ; [49 35],[16.82758621 15.17241379] ; [44.17241379 39.82758621],0
b3,1,0.063485,3.443905,[ 2 17] ; [16 33],[ 5.02941176 13.97058824] ; [12.97058824 36.02941176],0
b2,1,0.063485,3.443905,[ 2 17] ; [16 33],[ 5.02941176 13.97058824] ; [12.97058824 36.02941176],0
s7,1,0.077762,3.111075,[ 7 23] ; [34 48],[10.98214286 19.01785714] ; [30.01785714 51.98214286],0
p7,1,0.079793,3.069112,[24  7] ; [49 33],[20.02654867 10.97345133] ; [52.97345133 29.02654867],0
u3,1,0.117331,2.452593,[ 6 11] ; [21 15],[8.66037736 8.33962264] ; [18.33962264 17.66037736],0
p3,1,0.209262,1.576527,[ 9 23] ; [35 51],[11.93220339 20.06779661] ; [32.06779661 53.93220339],0
a7,1,0.248285,1.332926,[19 13] ; [60 25],[21.60683761 10.39316239] ; [57.39316239 27.60683761],0
a3,1,0.253005,1.306632,[15 17] ; [51 36],[17.74789916 14.25210084] ; [48.25210084 38.74789916],0
p1,1,0.266795,1.23315,[ 1 31] ; [ 8 79],[ 2.42016807 29.57983193] ; [ 6.57983193 80.42016807],0
r4,1,0.267032,1.231932,[24  8] ; [73 14],[26.08403361  5.91596639] ; [70.91596639 16.08403361],0
a6,1,0.268751,1.22311,[14 18] ; [48 39],[16.67226891 15.32773109] ; [45.32773109 41.67226891],0
s5,1,0.278757,1.173138,[ 5 25] ; [22 61],[ 7.16814159 22.83185841] ; [19.83185841 63.16814159],0
n6,1,0.284327,1.14629,[28  4] ; [67 18],[25.98290598  6.01709402] ; [69.01709402 15.98290598],0
p9,1,0.290868,1.115598,[21 10] ; [65 19],[23.1826087  7.8173913] ; [62.8173913 21.1826087],0
r2,1,0.310155,1.030014,[26  5] ; [77  8],[27.52586207  3.47413793] ; [75.47413793  9.52586207],0
r1,1,0.359749,0.838768,[20 12] ; [62 25],[22.05042017  9.94957983] ; [59.94957983 27.05042017],0
n4,1,0.366578,0.815232,[19 12] ; [61 26],[21.01694915  9.98305085] ; [58.98305085 28.01694915],0
r3,1,0.423864,0.639578,[31  1] ; [79  6],[30.08547009  1.91452991] ; [79.91452991  5.08547009],0
v1,1,0.464102,0.535984,[17 14] ; [53 32],[18.70689655 12.29310345] ; [51.29310345 33.70689655],0
p4,1,0.475471,0.509234,[13 18] ; [42 43],[14.69827586 16.30172414] ; [40.30172414 44.69827586],0
b1,1,0.505254,0.443883,[12 20] ; [27 60],[10.48739496 21.51260504] ; [28.51260504 58.48739496],0
p12,1,0.567528,0.326836,[ 1 30] ; [ 5 80],[ 1.60344828 29.39655172] ; [ 4.39655172 80.60344828],0
s6,1,0.570295,0.322189,[18 13] ; [53 30],[19.30701754 11.69298246] ; [51.69298246 31.30701754],0
p8,1,0.574283,0.315569,[13 19] ; [39 45],[14.34482759 17.65517241] ; [37.65517241 46.34482759],0
n3,1,0.582647,0.301976,[6 1] ; [19  6],[5.46875 1.53125] ; [19.53125  5.46875],0
n5,1,0.589839,0.290596,[20 11] ; [60 26],[21.1965812  9.8034188] ; [58.8034188 27.1965812],0
b5,1,0.591168,0.288524,[17 15] ; [51 36],[18.28571429 13.71428571] ; [49.71428571 37.28571429],0
p11,1,0.619805,0.246142,[26  6] ; [67 20],[25.00840336  6.99159664] ; [67.99159664 19.00840336],0
a8,1,0.658535,0.195308,[ 4 27] ; [ 8 72],[ 3.35135135 27.64864865] ; [ 8.64864865 71.35135135],0
p5,1,0.689298,0.159846,[ 5 27] ; [11 75],[ 4.33898305 27.66101695] ; [11.66101695 74.33898305],0
p6,1,0.699364,0.149135,[11 21] ; [31 50],[11.89380531 20.10619469] ; [30.10619469 50.89380531],0
s3,1,0.70682,0.141475,[15 16] ; [45 41],[15.8974359 15.1025641] ; [44.1025641 41.8974359],0
n1,1,0.714546,0.133779,[2 5] ; [ 9 16],[2.40625 4.59375] ; [ 8.59375 16.40625],0
v4,1,0.773984,0.082465,[29  2] ; [80  7],[28.63559322  2.36440678] ; [80.36440678  6.63559322],0
n2,1,0.812547,0.056236,[5 2] ; [16  8],[4.74193548 2.25806452] ; [16.25806452  7.74193548],0
s2,1,0.81469,0.054934,[13 19] ; [37 49],[13.55932203 18.44067797] ; [36.44067797 49.55932203],0
u2,1,0.8532,0.034239,[8 8] ; [19 17],[8.30769231 7.69230769] ; [18.69230769 17.30769231],0
a1,1,0.930865,0.007527,[ 1 31] ; [ 3 84],[ 1.07563025 30.92436975] ; [ 2.92436975 84.07563025],0
s1,1,0.936792,0.006289,[ 1 30] ; [ 3 82],[ 1.06896552 29.93103448] ; [ 2.93103448 82.06896552],0
s8,1,0.942618,0.005181,[12 20] ; [32 55],[11.83193277 20.16806723] ; [32.16806723 54.83193277],0
p2,1,0.979733,0.000645,[25  7] ; [67 19],[24.94915254  7.05084746] ; [67.05084746 18.94915254],0
s4,1,0.98215,0.000501,[ 6 25] ; [17 70],[ 6.04237288 24.95762712] ; [16.95762712 70.04237288],0
