Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.00171,9.837778,[ 7 21] ; [64 46],[14.4057971 13.5942029] ; [56.5942029 53.4057971],0
r4,1,0.009782,6.674196,[23  5] ; [61 49],[17.04347826 10.95652174] ; [66.95652174 43.04347826],0
n2,1,0.017515,5.644064,[11  1] ; [29 24],[7.38461538 4.61538462] ; [32.61538462 20.38461538],0
r3,1,0.019604,5.446777,[25  3] ; [73 36],[20.02919708  7.97080292] ; [77.97080292 31.02919708],0
u3,1,0.025426,4.994658,[ 1 11] ; [17 22],[4.23529412 7.76470588] ; [13.76470588 25.23529412],0
p7,1,0.032735,4.559569,[15 13] ; [34 73],[10.16296296 17.83703704] ; [38.83703704 68.16296296],0
p2,1,0.036691,4.364686,[18 10] ; [46 63],[13.08029197 14.91970803] ; [50.91970803 58.08029197],0
v4,1,0.048325,3.898659,[26  2] ; [82 26],[22.23529412  5.76470588] ; [85.76470588 22.23529412],0
n6,1,0.069792,3.287899,[20  8] ; [56 51],[15.76296296 12.23703704] ; [60.23703704 46.76296296],0
r2,1,0.072643,3.222266,[27  1] ; [89 18],[24.05925926  3.94074074] ; [91.94074074 15.05925926],0
s4,1,0.07623,3.143503,[ 2 26] ; [24 86],[ 5.27536232 22.72463768] ; [20.72463768 89.27536232],0
p10,1,0.077765,3.111007,[17 11] ; [45 62],[12.85925926 15.14074074] ; [49.14074074 57.85925926],0
a7,1,0.119784,2.420142,[22  6] ; [68 40],[18.52941176  9.47058824] ; [71.47058824 36.52941176],0
p9,1,0.167971,1.900956,[17 10] ; [50 54],[13.80916031 13.19083969] ; [53.19083969 50.80916031],0
u2,1,0.199545,1.645701,[3 9] ; [17 20],[4.89795918 7.10204082] ; [15.10204082 21.89795918],0
p6,1,0.252082,1.311728,[ 7 21] ; [17 91],[ 4.94117647 23.05882353] ; [19.05882353 88.94117647],0
p5,1,0.296296,1.090793,[ 1 27] ; [  1 108],[ 0.40875912 27.59124088] ; [  1.59124088 107.40875912],0
n1,1,0.301601,1.067104,[6 5] ; [20 33],[4.46875 6.53125] ; [21.53125 31.46875],0
b5,1,0.303202,1.060056,[20  8] ; [67 43],[17.65217391 10.34782609] ; [69.34782609 40.65217391],0
b3,1,0.347971,0.880842,[3 8] ; [25 34],[4.4 6.6] ; [23.6 35.4],0
b2,1,0.347971,0.880842,[3 8] ; [25 34],[4.4 6.6] ; [23.6 35.4],0
n5,1,0.37733,0.779382,[14 14] ; [64 44],[16.05882353 11.94117647] ; [61.94117647 46.05882353],0
v1,1,0.433149,0.614365,[12 16] ; [38 71],[10.2189781 17.7810219] ; [39.7810219 69.2189781],0
r1,1,0.439096,0.598645,[19  8] ; [68 41],[17.27205882  9.72794118] ; [69.72794118 39.27205882],0
d1,1,0.442356,0.590163,[15 13] ; [50 60],[13.1884058 14.8115942] ; [51.8115942 58.1884058],0
s3,1,0.463193,0.538168,[13 14] ; [44 65],[11.31617647 15.68382353] ; [45.68382353 63.31617647],0
a3,1,0.529156,0.396013,[16 11] ; [71 37],[17.4  9.6] ; [69.6 38.4],0
d2,1,0.557283,0.34443,[12 16] ; [53 55],[13.38235294 14.61764706] ; [51.61764706 56.38235294],0
s5,1,0.580701,0.305104,[ 7 21] ; [21 83],[ 5.93939394 22.06060606] ; [22.06060606 81.93939394],0
u1,1,0.6183,0.248265,[ 4 24] ; [12 98],[ 3.24637681 24.75362319] ; [12.75362319 97.24637681],0
d4,1,0.624308,0.239859,[20  8] ; [82 26],[21.  7.] ; [81. 27.],0
v3,1,0.624885,0.239062,[ 8 19] ; [26 78],[ 7.00763359 19.99236641] ; [26.99236641 77.00763359],0
n4,1,0.628091,0.234659,[18 10] ; [64 44],[16.88235294 11.11764706] ; [65.11764706 42.88235294],0
d5,1,0.649017,0.207142,[19  9] ; [78 30],[19.97058824  8.02941176] ; [77.02941176 30.97058824],0
