Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,102.561891,[47 56] ; [258  21],[82.2382199 20.7617801] ; [222.7617801  56.2382199],1
a5,1,0.0,35.531977,[46 57] ; [214  65],[70.10471204 32.89528796] ; [189.89528796  89.10471204],1
r2,1,0.0,31.537218,[72 28] ; [258  18],[87.76595745 12.23404255] ; [242.23404255  33.76595745],1
v4,1,0.0,30.988731,[77 26] ; [264  15],[91.94502618 11.05497382] ; [249.05497382  29.94502618],1
r3,1,0.0,27.74522,[74 28] ; [258  20],[89.11578947 12.88421053] ; [242.88421053  35.11578947],1
v2,1,1e-06,25.116827,[30 71] ; [158 110],[51.45799458 49.54200542] ; [136.54200542 131.45799458],1
d1,1,1.5e-05,18.732917,[33 70] ; [159 120],[51.76963351 51.23036649] ; [140.23036649 138.76963351],1
d3,1,1.7e-05,18.521198,[46 56] ; [193  86],[63.98425197 38.01574803] ; [175.01574803 103.98425197],1
d4,1,2.1e-05,18.135476,[62 41] ; [226  52],[77.85826772 25.14173228] ; [210.14173228  67.85826772],1
v1,1,4e-05,16.886225,[29 72] ; [145 131],[46.61538462 54.38461538] ; [127.38461538 148.61538462],1
p2,1,5.5e-05,16.269664,[60 41] ; [222  56],[75.15039578 25.84960422] ; [206.84960422  71.15039578],1
d5,1,6.4e-05,15.98265,[65 38] ; [230  49],[79.54188482 23.45811518] ; [215.45811518  63.54188482],1
p10,1,0.000178,14.048546,[56 43] ; [211  65],[70.488 28.512] ; [196.512  79.488],1
a6,1,0.000207,13.762976,[53 50] ; [200  79],[68.21727749 34.78272251] ; [184.78272251  94.21727749],1
p7,1,0.000577,11.849792,[40 62] ; [162 112],[54.79787234 47.20212766] ; [147.20212766 126.79787234],1
p8,1,0.000859,11.108558,[33 69] ; [140 131],[47.30831099 54.69168901] ; [125.69168901 145.30831099],1
s8,1,0.001383,10.227808,[10 93] ; [ 68 208],[21.19788918 81.80211082] ; [ 56.80211082 219.19788918],0
a7,1,0.001979,9.568592,[59 44] ; [205  73],[71.37007874 31.62992126] ; [192.62992126  85.37007874],0
u3,1,0.002031,9.521032,[13 33] ; [49 38],[21.44360902 24.55639098] ; [40.55639098 46.44360902],0
p4,1,0.002881,8.881192,[38 64] ; [151 126],[50.86543536 51.13456464] ; [138.13456464 138.86543536],0
u1,1,0.002912,8.862064,[ 4 99] ; [ 42 237],[12.40314136 90.59685864] ; [ 33.59685864 245.40314136],0
p3,1,0.002926,8.852844,[30 72] ; [129 149],[42.67894737 59.32105263] ; [116.32105263 161.67894737],0
