Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,30.18562,[11 20] ; [69 10],[22.54545455  8.45454545] ; [57.45454545 21.54545455],1
p8,1,7.1e-05,15.795603,[ 8 21] ; [56 24],[17.02752294 11.97247706] ; [46.97247706 33.02752294],1
p9,1,0.000666,11.582691,[17 14] ; [69 12],[23.80357143  7.19642857] ; [62.19642857 18.80357143],1
p2,1,0.001039,10.755902,[19 12] ; [70  9],[25.08181818  5.91818182] ; [63.91818182 15.08181818],0
s8,1,0.001275,10.378361,[ 4 27] ; [37 44],[11.34821429 19.65178571] ; [29.65178571 51.34821429],0
n5,1,0.003835,8.360442,[14 17] ; [60 21],[20.48214286 10.51785714] ; [53.51785714 27.48214286],0
s6,1,0.006274,7.469971,[11 18] ; [53 26],[17.18518519 11.81481481] ; [46.81481481 32.18518519],0
s7,1,0.017027,5.693539,[ 7 23] ; [37 39],[12.45283019 17.54716981] ; [31.54716981 44.45283019],0
n4,1,0.021021,5.325016,[15 16] ; [58 23],[20.20535714 10.79464286] ; [52.79464286 28.20535714],0
v1,1,0.027973,4.829749,[ 8 22] ; [40 40],[13.09090909 16.90909091] ; [34.90909091 45.09090909],0
p4,1,0.032901,4.550931,[14 16] ; [55 25],[18.81818182 11.18181818] ; [50.18181818 29.81818182],0
d5,1,0.036747,4.362105,[16 14] ; [60 21],[20.54054054  9.45945946] ; [55.45945946 25.54054054],0
b4,1,0.03834,4.289888,[12 19] ; [49 32],[16.88392857 14.11607143] ; [44.11607143 36.88392857],0
v4,1,0.048935,3.877571,[24  7] ; [73  7],[27.09009009  3.90990991] ; [69.90990991 10.09009009],0
p5,1,0.056222,3.645471,[ 1 29] ; [14 67],[ 4.05405405 25.94594595] ; [10.94594595 70.05405405],0
n6,1,0.061816,3.48799,[20 11] ; [65 15],[23.73873874  7.26126126] ; [61.26126126 18.73873874],0
p6,1,0.090217,2.870491,[ 9 21] ; [37 40],[12.89719626 17.10280374] ; [33.10280374 43.89719626],0
v2,1,0.135325,2.230332,[11 20] ; [41 39],[14.52252252 16.47747748] ; [37.47747748 42.52252252],0
n3,1,0.137916,2.201064,[10  1] ; [19  9],[8.17948718 2.82051282] ; [20.82051282  7.17948718],0
b5,1,0.169277,1.889338,[22  9] ; [46 35],[18.82142857 12.17857143] ; [49.17857143 31.82142857],0
a7,1,0.19159,1.70535,[14 16] ; [49 32],[17.02702703 12.97297297] ; [45.97297297 35.02702703],0
d4,1,0.215407,1.534706,[18 13] ; [57 24],[20.75892857 10.24107143] ; [54.24107143 26.75892857],0
b1,1,0.221317,1.49581,[17 14] ; [34 47],[14.11607143 16.88392857] ; [36.88392857 44.11607143],0
a1,1,0.246697,1.341913,[ 1 30] ; [ 8 73],[ 2.49107143 28.50892857] ; [ 6.50892857 74.49107143],0
d1,1,0.25215,1.31135,[ 9 22] ; [33 48],[11.625 19.375] ; [30.375 50.625],0
v3,1,0.257926,1.279854,[ 7 23] ; [28 53],[ 9.45945946 20.54054054] ; [25.54054054 55.45945946],0
r3,1,0.342913,0.899509,[25  6] ; [71 10],[26.57142857  4.42857143] ; [69.42857143 11.57142857],0
d2,1,0.357269,0.847471,[12 19] ; [24 57],[ 9.96428571 21.03571429] ; [26.03571429 54.96428571],0
r4,1,0.468966,0.524412,[18 13] ; [53 28],[19.65178571 11.34821429] ; [51.34821429 29.65178571],0
u2,1,0.483758,0.490381,[6 7] ; [19 14],[7.06521739 5.93478261] ; [17.93478261 15.06521739],0
p3,1,0.4959,0.463699,[16 15] ; [47 33],[17.59459459 13.40540541] ; [45.40540541 34.59459459],0
a5,1,0.496136,0.463193,[15 16] ; [45 36],[16.60714286 14.39285714] ; [43.39285714 37.60714286],0
s1,1,0.535448,0.384041,[ 1 30] ; [ 5 76],[ 1.66071429 29.33928571] ; [ 4.33928571 76.66071429],0
d3,1,0.557147,0.344667,[15 14] ; [47 34],[16.34545455 12.65454545] ; [45.65454545 35.34545455],0
b3,1,0.600395,0.2744,[ 3 11] ; [17 43],[ 3.78378378 10.21621622] ; [16.21621622 43.78378378],0
b2,1,0.600395,0.2744,[ 3 11] ; [17 43],[ 3.78378378 10.21621622] ; [16.21621622 43.78378378],0
a4,1,0.620568,0.24507,[ 7 24] ; [22 59],[ 8.02678571 22.97321429] ; [20.97321429 60.02678571],0
n1,1,0.630202,0.231786,[5 6] ; [10 17],[4.34210526 6.65789474] ; [10.65789474 16.34210526],0
p1,1,0.702823,0.145552,[ 2 29] ; [ 7 74],[ 2.49107143 28.50892857] ; [ 6.50892857 74.49107143],0
s2,1,0.721421,0.127135,[13 18] ; [37 44],[13.83928571 17.16071429] ; [36.16071429 44.83928571],0
a8,1,0.74846,0.10283,[ 3 28] ; [ 6 71],[ 2.58333333 28.41666667] ; [ 6.41666667 70.58333333],0
a6,1,0.753291,0.098786,[19 12] ; [47 34],[18.26785714 12.73214286] ; [47.73214286 33.26785714],0
a3,1,0.805494,0.060635,[17 13] ; [48 33],[17.56756757 12.43243243] ; [47.43243243 33.56756757],0
u3,1,0.812405,0.056323,[5 9] ; [13 20],[5.36170213 8.63829787] ; [12.63829787 20.36170213],0
u1,1,0.824389,0.049241,[ 1 30] ; [ 2 79],[ 0.83035714 30.16964286] ; [ 2.16964286 78.83035714],0
a2,1,0.826275,0.048172,[ 3 28] ; [ 9 72],[ 3.32142857 27.67857143] ; [ 8.67857143 72.32142857],0
s4,1,0.854153,0.033791,[ 7 24] ; [17 64],[ 6.64285714 24.35714286] ; [17.35714286 63.64285714],0
s5,1,0.873582,0.025316,[ 7 22] ; [20 58],[ 7.31775701 21.68224299] ; [19.68224299 58.31775701],0
s3,1,0.907023,0.013641,[15 15] ; [41 39],[15.27272727 14.72727273] ; [40.72727273 39.27272727],0
r2,1,0.927913,0.008185,[24  6] ; [63 15],[24.16666667  5.83333333] ; [62.83333333 15.16666667],0
n2,1,0.935359,0.006578,[8 3] ; [20  8],[7.8974359 3.1025641] ; [20.1025641  7.8974359],0
