Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000121,14.773805,[18 30] ; [30  8],[26.79069767 21.20930233] ; [21.20930233 16.79069767],1
v2,1,0.000161,14.240893,[17 29] ; [29  8],[25.4939759 20.5060241] ; [20.5060241 16.4939759],1
p3,1,0.000358,12.74107,[15 33] ; [26 11],[23.15294118 24.84705882] ; [17.84705882 19.15294118],1
v3,1,0.004779,7.961378,[11 35] ; [20 17],[17.18072289 28.81927711] ; [13.81927711 23.18072289],0
s2,1,0.00866,6.891653,[16 32] ; [24 15],[22.06896552 25.93103448] ; [17.93103448 21.06896552],0
v4,1,0.011997,6.311296,[34 14] ; [36  3],[38.62068966  9.37931034] ; [31.37931034  7.62068966],0
p11,1,0.01312,6.152875,[29 19] ; [33  6],[34.20689655 13.79310345] ; [27.79310345 11.20689655],0
p6,1,0.028862,4.775797,[13 32] ; [19 17],[17.77777778 27.22222222] ; [14.22222222 21.77777778],0
p8,1,0.031691,4.615125,[13 33] ; [19 18],[17.73493976 28.26506024] ; [14.26506024 22.73493976],0
s3,1,0.034794,4.455236,[17 30] ; [23 16],[21.86046512 25.13953488] ; [18.13953488 20.86046512],0
p2,1,0.036,4.397107,[27 20] ; [30  8],[31.51764706 15.48235294] ; [25.48235294 12.51764706],0
s8,1,0.061608,3.493557,[14 34] ; [19 20],[18.20689655 29.79310345] ; [14.79310345 24.20689655],0
n5,1,0.067362,3.346154,[28 20] ; [30  9],[32. 16.] ; [26. 13.],0
s5,1,0.069036,3.305785,[10 34] ; [15 21],[13.75 30.25] ; [11.25 24.75],0
p4,1,0.080126,3.062354,[22 25] ; [25 13],[25.98823529 21.01176471] ; [21.01176471 16.98823529],0
p10,1,0.080984,3.045048,[31 17] ; [31  7],[34.60465116 13.39534884] ; [27.39534884 10.60465116],0
p5,1,0.088869,2.894749,[ 3 45] ; [ 7 32],[ 5.51724138 42.48275862] ; [ 4.48275862 34.51724138],0
p7,1,0.091327,2.850823,[19 29] ; [22 16],[22.88372093 25.11627907] ; [18.11627907 19.88372093],0
p9,1,0.115504,2.47725,[33 14] ; [33  6],[36.06976744 10.93023256] ; [29.93023256  9.06976744],0
n3,1,0.138011,2.2,[14  8] ; [4 7],[12. 10.] ; [6. 5.],0
a1,1,0.150578,2.066388,[ 5 43] ; [ 1 38],[ 3.31034483 44.68965517] ; [ 2.68965517 36.31034483],0
