Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.113437,[104  10] ; [ 6 10],[96.46153846 17.53846154] ; [13.53846154  2.46153846],1
r3,1,0.000251,13.40574,[105   8] ; [10  6],[100.73643411  12.26356589] ; [14.26356589  1.73643411],1
p2,1,0.000322,12.935855,[75 39] ; [ 3 13],[68.4 45.6] ; [9.6 6.4],1
n6,1,0.001201,10.48911,[82 32] ; [ 5 11],[76.29230769 37.70769231] ; [10.70769231  5.29230769],0
p11,1,0.004106,8.236236,[65 49] ; [ 3 13],[59.63076923 54.36923077] ; [8.36923077 7.63076923],0
r2,1,0.005841,7.598788,[107   6] ; [12  4],[104.24031008   8.75968992] ; [14.75968992  1.24031008],0
p7,1,0.028958,4.770115,[53 58] ; [ 3 13],[48.94488189 62.05511811] ; [7.05511811 8.94488189],0
n3,1,0.039776,4.227397,[24 10] ; [3 6],[21.34883721 12.65116279] ; [5.65116279 3.34883721],0
u3,1,0.054292,3.703704,[29 16] ; [1 4],[27. 18.] ; [3. 2.],0
p4,1,0.056831,3.62753,[49 63] ; [ 3 13],[45.5 66.5] ; [6.5 9.5],0
p8,1,0.070417,3.273264,[40 74] ; [ 2 14],[36.83076923 77.16923077] ; [ 5.16923077 10.83076923],0
s1,1,0.078796,3.089556,[  7 106] ; [ 3 13],[  8.75968992 104.24031008] ; [ 1.24031008 14.75968992],0
a6,1,0.080844,3.047847,[69 45] ; [ 6 10],[65.76923077 48.23076923] ; [9.23076923 6.76923077],0
b5,1,0.108317,2.578602,[67 47] ; [ 6 10],[64.01538462 49.98461538] ; [8.98461538 7.01538462],0
a1,1,0.178128,1.813171,[  5 109] ; [ 2 14],[  6.13846154 107.86153846] ; [ 0.86153846 15.13846154],0
d3,1,0.20224,1.626125,[69 45] ; [7 9],[66.64615385 47.35384615] ; [9.35384615 6.64615385],0
n2,1,0.204894,1.607143,[25 10] ; [5 5],[23.33333333 11.66666667] ; [6.66666667 3.33333333],0
p3,1,0.207894,1.586034,[39 74] ; [ 3 13],[36.79069767 76.20930233] ; [ 5.20930233 10.79069767],0
n5,1,0.228034,1.453083,[68 46] ; [7 9],[65.76923077 48.23076923] ; [9.23076923 6.76923077],0
s8,1,0.242115,1.368236,[29 83] ; [ 2 14],[27.125 84.875] ; [ 3.875 12.125],0
a5,1,0.24709,1.339681,[74 40] ; [8 8],[71.90769231 42.09230769] ; [10.09230769  5.90769231],0
v1,1,0.263258,1.251542,[45 69] ; [ 4 12],[42.96923077 71.03076923] ; [6.03076923 9.96923077],0
d5,1,0.270115,1.216165,[86 28] ; [10  6],[84.18461538 29.81538462] ; [11.81538462  4.18461538],0
a8,1,0.302933,1.06124,[10 90] ; [ 3 13],[11.20689655 88.79310345] ; [ 1.79310345 14.20689655],0
a3,1,0.336692,0.922987,[69 45] ; [11  4],[70.69767442 43.30232558] ; [9.30232558 5.69767442],0
a7,1,0.344971,0.891869,[77 36] ; [9 7],[75.33333333 37.66666667] ; [10.66666667  5.33333333],0
s6,1,0.349339,0.875855,[56 56] ; [ 6 10],[54.25 57.75] ; [7.75 8.25],0
b2,1,0.369295,0.806035,[19 53] ; [4 6],[20.19512195 51.80487805] ; [2.80487805 7.19512195],0
b3,1,0.369295,0.806035,[19 53] ; [4 6],[20.19512195 51.80487805] ; [2.80487805 7.19512195],0
b4,1,0.371307,0.799285,[77 37] ; [9 7],[75.41538462 38.58461538] ; [10.58461538  5.41538462],0
v3,1,0.372986,0.793691,[40 70] ; [ 4 12],[38.41269841 71.58730159] ; [ 5.58730159 10.41269841],0
p10,1,0.409674,0.679745,[32 80] ; [ 3 13],[30.625 81.375] ; [ 4.375 11.625],0
a2,1,0.465699,0.532164,[23 91] ; [ 2 14],[21.92307692 92.07692308] ; [ 3.07692308 12.92307692],0
p6,1,0.484429,0.488876,[22 89] ; [ 2 14],[20.97637795 90.02362205] ; [ 3.02362205 12.97637795],0
n4,1,0.484498,0.488722,[81 33] ; [10  6],[79.8 34.2] ; [11.2  4.8],0
d4,1,0.597335,0.279034,[85 28] ; [13  3],[85.84496124 27.15503876] ; [12.15503876  3.84496124],0
a4,1,0.61167,0.25775,[42 71] ; [7 9],[42.92248062 70.07751938] ; [6.07751938 9.92248062],0
v2,1,0.616065,0.251437,[49 62] ; [ 6 10],[48.07086614 62.92913386] ; [6.92913386 9.07086614],0
s5,1,0.61833,0.248222,[22 90] ; [ 4 12],[22.75 89.25] ; [ 3.25 12.75],0
s2,1,0.658152,0.195777,[41 70] ; [ 5 11],[40.20472441 70.79527559] ; [ 5.79527559 10.20472441],0
u2,1,0.67166,0.179667,[22 22] ; [3 2],[22.44897959 21.55102041] ; [2.55102041 2.44897959],0
b1,1,0.677652,0.17278,[65 49] ; [10  6],[65.76923077 48.23076923] ; [9.23076923 6.76923077],0
d1,1,0.687172,0.162164,[56 58] ; [7 9],[55.24615385 58.75384615] ; [7.75384615 8.24615385],0
p1,1,0.727493,0.121426,[ 10 103] ; [ 1 15],[  9.63565891 103.36434109] ; [ 1.36434109 14.63565891],0
s7,1,0.808074,0.059006,[34 73] ; [ 4 10],[33.60330579 73.39669421] ; [4.39669421 9.60330579],0
s3,1,0.812944,0.055994,[53 60] ; [7 9],[52.55813953 60.44186047] ; [7.44186047 8.55813953],0
d2,1,0.868333,0.027482,[54 59] ; [8 8],[54.31007752 58.68992248] ; [7.68992248 8.31007752],0
n1,1,0.871835,0.026027,[15 20] ; [4 6],[14.77777778 20.22222222] ; [4.22222222 5.77777778],0
s4,1,0.927224,0.008343,[13 98] ; [ 2 14],[13.11023622 97.88976378] ; [ 1.88976378 14.11023622],0
