Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000754,11.351034,[14 25] ; [32 12],[21.61445783 17.38554217] ; [24.38554217 19.61445783],1
d5,1,0.001668,9.883599,[15 24] ; [32 12],[22.08433735 16.91566265] ; [24.91566265 19.08433735],0
a4,1,0.004812,7.948792,[ 9 30] ; [23 20],[15.2195122 23.7804878] ; [16.7804878 26.2195122],0
s7,1,0.01193,6.321176,[ 7 31] ; [18 22],[12.17948718 25.82051282] ; [12.82051282 27.17948718],0
s8,1,0.013159,6.147549,[ 8 31] ; [20 23],[13.31707317 25.68292683] ; [14.68292683 28.31707317],0
s5,1,0.013844,6.057985,[ 4 31] ; [15 27],[ 8.63636364 26.36363636] ; [10.36363636 31.63636364],0
s6,1,0.031271,4.638039,[13 25] ; [25 18],[17.82716049 20.17283951] ; [20.17283951 22.82716049],0
b2,1,0.032799,4.556228,[ 7 18] ; [17 13],[10.90909091 14.09090909] ; [13.09090909 16.90909091],0
b3,1,0.032799,4.556228,[ 7 18] ; [17 13],[10.90909091 14.09090909] ; [13.09090909 16.90909091],0
d1,1,0.032834,4.554403,[ 9 30] ; [20 24],[13.62650602 25.37349398] ; [15.37349398 28.62650602],0
v3,1,0.036155,4.38978,[ 6 31] ; [15 25],[10.09090909 26.90909091] ; [10.90909091 29.09090909],0
a6,1,0.03789,4.309969,[10 29] ; [21 23],[14.56626506 24.43373494] ; [16.43373494 27.56626506],0
v4,1,0.039375,4.244634,[24 15] ; [36  8],[28.19277108 10.80722892] ; [31.80722892 12.19277108],0
b5,1,0.041178,4.168682,[22 17] ; [15 29],[17.38554217 21.61445783] ; [19.61445783 24.38554217],0
d4,1,0.043822,4.063417,[20 19] ; [32 12],[24.43373494 14.56626506] ; [27.56626506 16.43373494],0
p3,1,0.061372,3.499902,[ 7 32] ; [16 28],[10.80722892 28.19277108] ; [12.19277108 31.80722892],0
s2,1,0.082134,3.022156,[11 27] ; [21 23],[14.82926829 23.17073171] ; [17.17073171 26.82926829],0
p8,1,0.10346,2.651376,[ 5 34] ; [12 32],[ 7.98795181 31.01204819] ; [ 9.01204819 34.98795181],0
v2,1,0.108559,2.575068,[ 9 25] ; [19 24],[12.36363636 21.63636364] ; [15.63636364 27.36363636],0
b1,1,0.109761,2.557666,[18 21] ; [28 16],[21.61445783 17.38554217] ; [24.38554217 19.61445783],0
r4,1,0.11968,2.421504,[22 17] ; [32 12],[25.37349398 13.62650602] ; [28.62650602 15.37349398],0
d2,1,0.135769,2.225275,[14 25] ; [22 20],[17.33333333 21.66666667] ; [18.66666667 23.33333333],0
r2,1,0.152108,2.050985,[29  9] ; [38  5],[31.43209877  6.56790123] ; [35.56790123  7.43209877],0
s1,1,0.18003,1.797374,[ 6 31] ; [ 3 41],[ 4.11111111 32.88888889] ; [ 4.88888889 39.11111111],0
n6,1,0.268513,1.22433,[22 17] ; [30 14],[24.43373494 14.56626506] ; [27.56626506 16.43373494],0
r3,1,0.280669,1.163848,[27 12] ; [35  9],[29.13253012  9.86746988] ; [32.86746988 11.13253012],0
v1,1,0.297719,1.084381,[12 27] ; [18 25],[14.26829268 24.73170732] ; [15.73170732 27.26829268],0
n5,1,0.300501,1.071972,[25 13] ; [24 20],[22.70731707 15.29268293] ; [26.29268293 17.70731707],0
p5,1,0.367727,0.811333,[ 1 37] ; [ 3 40],[ 1.87654321 36.12345679] ; [ 2.12345679 40.87654321],0
p10,1,0.370781,0.801044,[14 23] ; [21 23],[15.98765432 21.01234568] ; [19.01234568 24.98765432],0
u3,1,0.414172,0.666793,[14 11] ; [5 7],[12.83783784 12.16216216] ; [6.16216216 5.83783784],0
s3,1,0.488995,0.478737,[14 23] ; [20 24],[15.5308642 21.4691358] ; [18.4691358 25.5308642],0
