Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000402,12.523333,[ 4 11] ; [20  4],[9.23076923 5.76923077] ; [14.76923077  9.23076923],1
b4,1,0.000486,12.168506,[6 9] ; [22  2],[10.76923077  4.23076923] ; [17.23076923  6.76923077],1
b5,1,0.042205,4.126984,[ 5 10] ; [16  8],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
d4,1,0.104475,2.635862,[9 6] ; [20  4],[11.15384615  3.84615385] ; [17.84615385  6.15384615],0
s2,1,0.135918,2.223572,[12  3] ; [13 10],[9.86842105 5.13157895] ; [15.13157895  7.86842105],0
u1,1,0.146656,2.106696,[ 1 14] ; [ 6 18],[ 2.69230769 12.30769231] ; [ 4.30769231 19.69230769],0
p7,1,0.161713,1.958132,[10  5] ; [10 13],[7.89473684 7.10526316] ; [12.10526316 10.89473684],0
p2,1,0.195644,1.674594,[9 6] ; [19  5],[10.76923077  4.23076923] ; [17.23076923  6.76923077],0
n3,1,0.200751,1.636905,[1 2] ; [6 2],[1.90909091 1.09090909] ; [5.09090909 2.90909091],0
n6,1,0.229421,1.444444,[10  5] ; [20  4],[11.53846154  3.46153846] ; [18.46153846  5.53846154],0
a2,1,0.232893,1.423106,[ 1 14] ; [ 5 19],[ 2.30769231 12.69230769] ; [ 3.69230769 20.30769231],0
d5,1,0.262044,1.257924,[11  4] ; [21  3],[12.30769231  2.69230769] ; [19.69230769  4.30769231],0
a3,1,0.267699,1.2285,[8 7] ; [17  7],[9.61538462 5.38461538] ; [15.38461538  8.61538462],0
p5,1,0.295949,1.092361,[ 2 13] ; [ 1 23],[ 1.15384615 13.84615385] ; [ 1.84615385 22.15384615],0
s1,1,0.315361,1.008088,[ 2 13] ; [ 1 22],[ 1.18421053 13.81578947] ; [ 1.81578947 21.18421053],0
p11,1,0.405033,0.693333,[8 7] ; [16  8],[9.23076923 5.76923077] ; [14.76923077  9.23076923],0
b3,1,0.42956,0.624013,[ 2 10] ; [ 5 12],[2.89655172 9.10344828] ; [ 4.10344828 12.89655172],0
b2,1,0.42956,0.624013,[ 2 10] ; [ 5 12],[2.89655172 9.10344828] ; [ 4.10344828 12.89655172],0
p8,1,0.440059,0.596128,[ 5 10] ; [11 13],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
p4,1,0.477069,0.505556,[7 8] ; [14 10],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
d1,1,0.477069,0.505556,[7 8] ; [14 10],[8.07692308 6.92307692] ; [12.92307692 11.07692308],0
n1,1,0.490153,0.47619,[1 2] ; [4 3],[1.5 1.5] ; [3.5 3.5],0
u3,1,0.514828,0.424242,[5 2] ; [6 1],[5.5 1.5] ; [5.5 1.5],0
u2,1,0.514828,0.424242,[6 1] ; [5 2],[5.5 1.5] ; [5.5 1.5],0
n4,1,0.523593,0.40681,[12  3] ; [17  7],[11.15384615  3.84615385] ; [17.84615385  6.15384615],0
r4,1,0.559109,0.34125,[14  1] ; [21  3],[13.46153846  1.53846154] ; [21.53846154  2.46153846],0
