Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,150.22004,[ 76 248] ; [233  93],[154.02461538 169.97538462] ; [154.97538462 171.02461538],1
s2,1,0.0,132.399585,[ 96 226] ; [245  82],[169.18644068 152.81355932] ; [171.81355932 155.18644068],1
s3,1,0.0,86.712147,[123 197] ; [243  82],[181.58139535 138.41860465] ; [184.41860465 140.58139535],1
s6,1,0.0,80.692052,[172 145] ; [279  43],[223.73552426  93.26447574] ; [227.26447574  94.73552426],1
s5,1,0.0,36.249497,[ 76 236] ; [149 165],[112.14057508 199.85942492] ; [112.85942492 201.14057508],1
a3,1,0.0,32.657748,[216 109] ; [279  47],[247.11981567  77.88018433] ; [247.88018433  78.11981567],1
u1,1,2e-06,22.93351,[ 45 280] ; [ 96 232],[ 70.17611026 254.82388974] ; [ 70.82388974 257.17611026],1
p6,1,5e-06,20.903197,[ 92 226] ; [150 173],[120.05616225 197.94383775] ; [121.94383775 201.05616225],1
p4,1,3.2e-05,17.310417,[174 149] ; [228  99],[199.76307692 123.23692308] ; [202.23692308 124.76307692],1
v3,1,3.7e-05,17.032924,[100 208] ; [153 161],[125.27974277 182.72025723] ; [127.72025723 186.27974277],1
p3,1,3.9e-05,16.922121,[140 184] ; [194 133],[166.23041475 157.76958525] ; [167.76958525 159.23041475],1
p5,1,5.4e-05,16.292576,[ 19 304] ; [ 51 273],[ 34.94590417 288.05409583] ; [ 35.05409583 288.94590417],1
n4,1,6.8e-05,15.868958,[237  88] ; [279  47],[257.60368664  67.39631336] ; [258.39631336  67.60368664],1
a1,1,0.000556,11.917898,[  5 320] ; [ 23 305],[ 13.93568147 311.06431853] ; [ 14.06431853 313.93568147],1
d2,1,0.000876,11.071881,[155 168] ; [200 128],[176.13671275 146.86328725] ; [178.86328725 149.13671275],1
n6,1,0.000881,11.063253,[263  60] ; [295  31],[277.71032357  45.28967643] ; [280.28967643  45.71032357],1
n5,1,0.002077,9.48029,[227  96] ; [263  63],[243.86748844  79.13251156] ; [246.13251156  79.86748844],0
p9,1,0.002406,9.210582,[261  58] ; [292  32],[274.34992224  44.65007776] ; [278.65007776  45.34992224],0
a2,1,0.002714,8.99032,[ 72 253] ; [107 221],[ 89.08882083 235.91117917] ; [ 89.91117917 238.08882083],0
s4,1,0.002714,8.990194,[ 40 278] ; [ 70 256],[ 54.31677019 263.68322981] ; [ 55.68322981 270.31677019],0
u4,1,0.004393,8.113948,[  3 322] ; [ 15 313],[  8.95865237 316.04134763] ; [  9.04134763 318.95865237],0
a4,1,0.004809,7.949715,[145 180] ; [182 145],[162.99846626 162.00153374] ; [164.00153374 162.99846626],0
p10,1,0.005529,7.697818,[254  68] ; [283  42],[267.25502318  54.74497682] ; [269.74497682  55.25502318],0
p7,1,0.00946,6.733878,[195 124] ; [224  92],[210.48976378 108.51023622] ; [208.51023622 107.48976378],0
s1,1,0.011051,6.457129,[  4 316] ; [ 15 308],[  9.45567652 310.54432348] ; [  9.54432348 313.45567652],0
p12,1,0.013099,6.155639,[ 16 306] ; [ 33 293],[ 24.34876543 297.65123457] ; [ 24.65123457 301.34876543],0
d1,1,0.016181,5.783138,[217 108] ; [247  81],[230.93415008  94.06584992] ; [233.06584992  94.93415008],0
a5,1,0.019354,5.469285,[242  83] ; [269  59],[254.32618683  70.67381317] ; [256.67381317  71.32618683],0
n1,1,0.019679,5.440122,[23 49] ; [34 32],[29.73913043 42.26086957] ; [27.26086957 38.73913043],0
a8,1,0.023235,5.150833,[ 35 266] ; [ 53 237],[ 44.81895093 256.18104907] ; [ 43.18104907 246.81895093],0
v2,1,0.02327,5.148256,[168 139] ; [203 116],[181.94408946 125.05591054] ; [189.05591054 129.94408946],0
v1,1,0.026631,4.914573,[162 154] ; [192 128],[175.88679245 140.11320755] ; [178.11320755 141.88679245],0
r1,1,0.032224,4.586529,[269  53] ; [292  35],[278.33898305  43.66101695] ; [282.66101695  44.33898305],0
a7,1,0.056936,3.624475,[254  70] ; [236  92],[243.49693252  80.50306748] ; [246.50306748  81.49693252],0
d3,1,0.062033,3.482172,[232  93] ; [255  73],[242.381317  82.618683] ; [244.618683  83.381317],0
b2,1,0.103559,2.64986,[ 59 114] ; [ 98 135],[ 66.89901478 106.10098522] ; [ 90.10098522 142.89901478],0
b3,1,0.103559,2.64986,[ 59 114] ; [ 98 135],[ 66.89901478 106.10098522] ; [ 90.10098522 142.89901478],0
r2,1,0.122029,2.391088,[314   8] ; [324   3],[316.54237288   5.45762712] ; [321.45762712   5.54237288],0
b5,1,0.129853,2.294266,[209 116] ; [192 136],[199.57886677 125.42113323] ; [201.42113323 126.57886677],0
u2,1,0.139485,2.18363,[56 52] ; [31 17],[60.23076923 47.76923077] ; [26.76923077 21.23076923],0
v4,1,0.147798,2.094831,[313  12] ; [321   6],[316.02760736   8.97239264] ; [317.97239264   9.02760736],0
p1,1,0.150421,2.06798,[ 20 303] ; [ 30 296],[ 24.8844376 298.1155624] ; [ 25.1155624 300.8844376],0
a6,1,0.189883,1.718529,[234  91] ; [220 107],[226.30368098  98.69631902] ; [227.69631902  99.30368098],0
u3,1,0.268305,1.225391,[65 43] ; [34 15],[68.10191083 39.89808917] ; [30.89808917 18.10191083],0
b1,1,0.293973,1.101336,[112 213] ; [126 202],[118.4532925 206.5467075] ; [119.5467075 208.4532925],0
b4,1,0.348678,0.878262,[198 127] ; [188 140],[192.11332312 132.88667688] ; [193.88667688 134.11332312],0
d4,1,0.351617,0.867614,[287  38] ; [297  31],[290.65849923  34.34150077] ; [293.34150077  34.65849923],0
p8,1,0.38628,0.75062,[164 155] ; [176 145],[169.46875 149.53125] ; [170.53125 150.46875],0
n3,1,0.782333,0.076331,[57 16] ; [51 16],[56.31428571 16.68571429] ; [51.68571429 15.31428571],0
p11,1,0.814712,0.054921,[261  64] ; [261  67],[259.80091884  65.19908116] ; [262.19908116  65.80091884],0
n2,1,0.914716,0.011469,[55 18] ; [51 16],[55.27142857 17.72857143] ; [50.72857143 16.27142857],0
