Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.4e-05,18.808642,[50  9] ; [3 9],[44.04225352 14.95774648] ; [8.95774648 3.04225352],1
r3,1,0.002769,8.953793,[56  3] ; [8 4],[53.18309859  5.81690141] ; [10.81690141  1.18309859],0
d2,1,0.00701,7.270401,[35 24] ; [ 2 10],[30.74647887 28.25352113] ; [6.25352113 5.74647887],0
s6,1,0.012033,6.30604,[52  7] ; [7 5],[49.02816901  9.97183099] ; [9.97183099 2.02816901],0
a4,1,0.038605,4.27818,[29 30] ; [ 2 10],[25.76056338 33.23943662] ; [5.23943662 6.76056338],0
a7,1,0.045908,3.984953,[38 21] ; [4 8],[34.90140845 24.09859155] ; [7.09859155 4.90140845],0
a5,1,0.048767,3.883368,[42 17] ; [5 7],[39.05633803 19.94366197] ; [7.94366197 4.05633803],0
p9,1,0.072266,3.230782,[25 31] ; [ 2 10],[22.23529412 33.76470588] ; [4.76470588 7.23529412],0
b3,1,0.086747,2.933728,[15 21] ; [1 8],[12.8 23.2] ; [3.2 5.8],0
b2,1,0.086747,2.933728,[15 21] ; [1 8],[12.8 23.2] ; [3.2 5.8],0
u3,1,0.088349,2.904202,[15  6] ; [2 4],[13.22222222  7.77777778] ; [3.77777778 2.22222222],0
u2,1,0.098543,2.728968,[11  9] ; [1 5],[ 9.23076923 10.76923077] ; [2.76923077 3.23076923],0
d3,1,0.111956,2.526393,[39 20] ; [5 7],[36.56338028 22.43661972] ; [7.43661972 4.56338028],0
n5,1,0.122339,2.387112,[38 20] ; [5 7],[35.62857143 22.37142857] ; [7.37142857 4.62857143],0
n4,1,0.164841,1.929248,[41 17] ; [6 6],[38.94285714 19.05714286] ; [8.05714286 3.94285714],0
r4,1,0.255817,1.291256,[48 11] ; [8 4],[46.53521127 12.46478873] ; [9.46478873 2.53521127],0
s1,1,0.261659,1.259959,[ 4 55] ; [ 2 10],[ 4.98591549 54.01408451] ; [ 1.01408451 10.98591549],0
p5,1,0.261659,1.259959,[ 4 55] ; [ 2 10],[ 4.98591549 54.01408451] ; [ 1.01408451 10.98591549],0
p1,1,0.271117,1.211087,[ 4 54] ; [ 2 10],[ 4.97142857 53.02857143] ; [ 1.02857143 10.97142857],0
r2,1,0.271117,1.211087,[54  4] ; [10  2],[53.02857143  4.97142857] ; [10.97142857  1.02857143],0
p8,1,0.28867,1.125813,[24 34] ; [3 9],[22.37142857 35.62857143] ; [4.62857143 7.37142857],0
v1,1,0.292434,1.108381,[29 29] ; [4 8],[27.34285714 30.65714286] ; [5.65714286 6.34285714],0
a3,1,0.348687,0.878231,[38 21] ; [6 6],[36.56338028 22.43661972] ; [7.43661972 4.56338028],0
s7,1,0.355422,0.854003,[36 20] ; [6 6],[34.58823529 21.41176471] ; [7.41176471 4.58823529],0
r1,1,0.403074,0.699137,[46 13] ; [8 4],[44.87323944 14.12676056] ; [9.12676056 2.87323944],0
s5,1,0.41092,0.676136,[21 35] ; [3 9],[19.76470588 36.23529412] ; [4.23529412 7.76470588],0
p7,1,0.422731,0.64271,[26 31] ; [7 5],[27.26086957 29.73913043] ; [5.73913043 6.26086957],0
v3,1,0.476513,0.506832,[20 36] ; [3 9],[18.94117647 37.05882353] ; [4.05882353 7.94117647],0
v2,1,0.489859,0.476835,[30 27] ; [5 7],[28.91304348 28.08695652] ; [6.08695652 5.91304348],0
b1,1,0.492121,0.471885,[31 28] ; [5 7],[29.91549296 29.08450704] ; [6.08450704 5.91549296],0
v4,1,0.516425,0.421027,[53  6] ; [10  2],[52.35211268  6.64788732] ; [10.64788732  1.35211268],0
n3,1,0.524052,0.405911,[11  8] ; [3 1],[11.56521739  7.43478261] ; [2.43478261 1.56521739],0
n1,1,0.524052,0.405911,[ 8 11] ; [1 3],[ 7.43478261 11.56521739] ; [1.56521739 2.43478261],0
p2,1,0.527562,0.399085,[40 19] ; [7 5],[39.05633803 19.94366197] ; [7.94366197 4.05633803],0
p6,1,0.548214,0.360526,[20 39] ; [3 9],[19.11267606 39.88732394] ; [3.88732394 8.11267606],0
s4,1,0.596273,0.280654,[15 43] ; [4 8],[15.74285714 42.25714286] ; [3.25714286 8.74285714],0
b5,1,0.713242,0.135061,[36 23] ; [8 4],[36.56338028 22.43661972] ; [7.43661972 4.56338028],0
s8,1,0.713883,0.13443,[28 31] ; [5 7],[27.42253521 31.57746479] ; [5.57746479 6.42253521],0
a6,1,0.713883,0.13443,[31 28] ; [7 5],[31.57746479 27.42253521] ; [6.42253521 5.57746479],0
p4,1,0.788485,0.071973,[32 27] ; [6 6],[31.57746479 27.42253521] ; [6.42253521 5.57746479],0
p3,1,0.794896,0.067578,[27 32] ; [5 7],[26.5915493 32.4084507] ; [5.4084507 6.5915493],0
n2,1,0.794935,0.067552,[13  6] ; [3 1],[13.2173913  5.7826087] ; [2.7826087 1.2173913],0
n6,1,0.854499,0.033629,[42 16] ; [9 3],[42.25714286 15.74285714] ; [8.74285714 3.25714286],0
a8,1,0.871436,0.02619,[ 8 46] ; [ 2 10],[ 8.18181818 45.81818182] ; [ 1.81818182 10.18181818],0
b4,1,0.949355,0.004034,[35 24] ; [7 5],[34.90140845 24.09859155] ; [7.09859155 4.90140845],0
p11,1,0.957311,0.002865,[29 30] ; [6 6],[29.08450704 29.91549296] ; [5.91549296 6.08450704],0
s3,1,0.961649,0.002312,[48 10] ; [10  2],[48.05714286  9.94285714] ; [9.94285714 2.05714286],0
