Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,92.85779,[ 8 34] ; [161  19],[31.97297297 10.02702703] ; [137.02702703  42.97297297],1
n5,1,1e-06,23.363179,[20 23] ; [146  32],[32.29864253 10.70135747] ; [133.70135747  44.29864253],1
p2,1,1.9e-05,18.285928,[22 21] ; [147  32],[32.73423423 10.26576577] ; [136.26576577  42.73423423],1
a3,1,4.1e-05,16.831003,[19 24] ; [137  43],[30.08071749 12.91928251] ; [125.91928251  54.08071749],1
n6,1,4.3e-05,16.714792,[26 17] ; [156  23],[35.25225225  7.74774775] ; [146.74774775  32.25225225],1
p11,1,8e-05,15.546777,[25 18] ; [153  27],[34.32286996  8.67713004] ; [143.67713004  36.32286996],1
n4,1,0.000231,13.561735,[24 19] ; [147  32],[33.12162162  9.87837838] ; [137.87837838  41.12162162],1
s6,1,0.000265,13.300493,[18 24] ; [126  48],[28. 14.] ; [116.  58.],1
d4,1,0.000337,12.851652,[23 19] ; [145  34],[31.92760181 10.07239819] ; [136.07239819  42.92760181],1
s7,1,0.000425,12.419575,[10 29] ; [100  76],[19.95348837 19.04651163] ; [90.04651163 85.95348837],1
p8,1,0.001237,10.434897,[12 31] ; [98 79],[21.5 21.5] ; [88.5 88.5],0
b3,1,0.001847,9.696179,[ 5 23] ; [58 57],[12.33566434 15.66433566] ; [50.66433566 64.33566434],0
b2,1,0.001847,9.696179,[ 5 23] ; [58 57],[12.33566434 15.66433566] ; [50.66433566 64.33566434],0
s1,1,0.004481,8.077981,[ 5 37] ; [  4 174],[ 1.71818182 40.28181818] ; [  7.28181818 170.71818182],0
v1,1,0.011931,6.321045,[15 28] ; [99 77],[22.38356164 20.61643836] ; [91.61643836 84.38356164],0
d5,1,0.016123,5.789443,[26 17] ; [140  39],[32.15315315 10.84684685] ; [133.84684685  45.15315315],0
d1,1,0.017171,5.678861,[14 29] ; [95 85],[21.01793722 21.98206278] ; [87.98206278 92.01793722],0
s8,1,0.027429,4.863613,[14 28] ; [94 86],[20.43243243 21.56756757] ; [87.56756757 92.43243243],0
s5,1,0.031808,4.608828,[11 31] ; [75 94],[17.11848341 24.88151659] ; [ 68.88151659 100.11848341],0
p4,1,0.042365,4.120559,[17 26] ; [101  77],[22.95927602 20.04072398] ; [95.04072398 82.95927602],0
v2,1,0.065156,3.401033,[15 26] ; [91 82],[20.30841121 20.69158879] ; [85.69158879 87.30841121],0
p3,1,0.066592,3.365092,[16 27] ; [95 85],[21.40358744 21.59641256] ; [89.59641256 90.40358744],0
b1,1,0.093441,2.814072,[24 19] ; [ 75 105],[19.0896861 23.9103139] ; [ 79.9103139 100.0896861],0
p6,1,0.142373,2.15212,[11 31] ; [ 67 108],[15.09677419 26.90322581] ; [ 62.90322581 112.09677419],0
p12,1,0.194941,1.679875,[ 1 42] ; [ 14 164],[ 2.91855204 40.08144796] ; [ 12.08144796 165.91855204],0
p5,1,0.211109,1.563806,[ 3 40] ; [ 25 153],[ 5.4479638 37.5520362] ; [ 22.5520362 155.4479638],0
s2,1,0.252578,1.30899,[17 25] ; [90 89],[20.33484163 21.66515837] ; [86.66515837 92.33484163],0
a5,1,0.25403,1.301002,[27 16] ; [129  51],[30.08071749 12.91928251] ; [125.91928251  54.08071749],0
a2,1,0.270089,1.216294,[ 2 41] ; [ 18 162],[ 3.85650224 39.14349776] ; [ 16.14349776 163.85650224],0
s3,1,0.285318,1.141583,[22 21] ; [107  71],[25.09954751 17.90045249] ; [103.90045249  74.09954751],0
a4,1,0.314736,1.010698,[16 26] ; [84 96],[18.91891892 23.08108108] ; [81.08108108 98.91891892],0
p1,1,0.355036,0.855375,[ 2 41] ; [ 16 163],[ 3.48648649 39.51351351] ; [ 14.51351351 164.48648649],0
n1,1,0.357692,0.84598,[3 7] ; [22 26],[4.31034483 5.68965517] ; [20.68965517 27.31034483],0
b5,1,0.363303,0.826442,[17 26] ; [85 95],[19.66816143 23.33183857] ; [82.33183857 97.66816143],0
n2,1,0.367082,0.813519,[10  1] ; [38 10],[8.94915254 2.05084746] ; [39.05084746  8.94915254],0
s4,1,0.394542,0.724898,[ 6 36] ; [ 36 144],[ 7.94594595 34.05405405] ; [ 34.05405405 145.94594595],0
u3,1,0.432924,0.614967,[13 11] ; [19 24],[11.46268657 12.53731343] ; [20.53731343 22.46268657],0
d3,1,0.435969,0.606868,[17 26] ; [83 97],[19.28251121 23.71748879] ; [80.71748879 99.28251121],0
p7,1,0.457814,0.551234,[26 17] ; [117  59],[28.07762557 14.92237443] ; [114.92237443  61.07762557],0
d2,1,0.514388,0.42513,[19 24] ; [89 90],[20.91891892 22.08108108] ; [87.08108108 91.91891892],0
r1,1,0.526683,0.400788,[36  7] ; [143  37],[34.51569507  8.48430493] ; [144.48430493  35.51569507],0
a8,1,0.55648,0.345835,[ 4 36] ; [ 23 148],[ 5.11848341 34.88151659] ; [ 21.88151659 149.11848341],0
u1,1,0.624474,0.239629,[ 2 41] ; [ 12 168],[ 2.69955157 40.30044843] ; [ 11.30044843 168.69955157],0
v4,1,0.632721,0.228389,[39  2] ; [174   6],[39.5158371  1.4841629] ; [173.4841629   6.5158371],0
v3,1,0.632957,0.228073,[15 25] ; [ 72 101],[16.33802817 23.66197183] ; [ 70.66197183 102.33802817],0
b4,1,0.66159,0.191598,[25 18] ; [98 82],[23.71748879 19.28251121] ; [99.28251121 80.71748879],0
u2,1,0.677661,0.172771,[13 10] ; [22 21],[12.1969697 10.8030303] ; [22.8030303 20.1969697],0
r2,1,0.686649,0.162737,[41  2] ; [172   6],[41.44343891  1.55656109] ; [171.55656109   6.44343891],0
a6,1,0.748139,0.103101,[17 26] ; [ 76 104],[17.93273543 25.06726457] ; [ 75.06726457 104.93273543],0
n3,1,0.770772,0.084894,[7 3] ; [35 12],[7.36842105 2.63157895] ; [34.63157895 12.36842105],0
a1,1,0.813333,0.055757,[ 2 41] ; [ 10 170],[ 2.31390135 40.68609865] ; [  9.68609865 170.31390135],0
r3,1,0.967192,0.001692,[42  1] ; [176   4],[42.03587444  0.96412556] ; [175.96412556   4.03587444],0
