Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.001903,9.641093,[10  2] ; [ 8 19],[5.53846154 6.46153846] ; [12.46153846 14.53846154],0
v2,1,0.006656,7.363464,[7 5] ; [ 4 22],[3.47368421 8.52631579] ; [ 7.52631579 18.47368421],0
b4,1,0.015994,5.803571,[3 9] ; [18  9],[6.46153846 5.53846154] ; [14.53846154 12.46153846],0
p10,1,0.036265,4.384615,[9 3] ; [10 16],[6. 6.] ; [13. 13.],0
d4,1,0.039229,4.250906,[10  2] ; [13 14],[7.07692308 4.92307692] ; [15.92307692 11.07692308],0
p7,1,0.048204,3.902851,[9 3] ; [11 16],[6.15384615 5.84615385] ; [13.84615385 13.15384615],0
s2,1,0.051508,3.791667,[7 5] ; [ 7 20],[4.30769231 7.69230769] ; [ 9.69230769 17.30769231],0
r3,1,0.062163,3.478704,[10  2] ; [14 13],[7.38461538 4.61538462] ; [16.61538462 10.38461538],0
s5,1,0.095108,2.785714,[4 8] ; [ 3 24],[2.15384615 9.84615385] ; [ 4.84615385 22.15384615],0
p4,1,0.134909,2.235088,[8 4] ; [11 16],[5.84615385 6.15384615] ; [13.15384615 13.84615385],0
d2,1,0.141032,2.166667,[6 6] ; [ 7 20],[4. 8.] ; [ 9. 18.],0
a4,1,0.186215,1.747312,[4 8] ; [ 4 23],[2.46153846 9.53846154] ; [ 5.53846154 21.46153846],0
b5,1,0.200037,1.642105,[4 8] ; [15 12],[5.84615385 6.15384615] ; [13.15384615 13.84615385],0
p8,1,0.220965,1.498095,[6 6] ; [ 8 19],[4.30769231 7.69230769] ; [ 9.69230769 17.30769231],0
p3,1,0.220965,1.498095,[6 6] ; [ 8 19],[4.30769231 7.69230769] ; [ 9.69230769 17.30769231],0
p5,1,0.267201,1.231061,[3 9] ; [ 3 24],[ 1.84615385 10.15384615] ; [ 4.15384615 22.84615385],0
p11,1,0.284307,1.146384,[8 4] ; [13 14],[6.46153846 5.53846154] ; [14.53846154 12.46153846],0
p6,1,0.290136,1.11899,[3 9] ; [ 3 23],[ 1.89473684 10.10526316] ; [ 4.10526316 21.89473684],0
v3,1,0.310827,1.02716,[4 8] ; [ 5 22],[2.76923077 9.23076923] ; [ 6.23076923 20.76923077],0
s1,1,0.379041,0.77381,[ 2 10] ; [ 2 25],[ 1.23076923 10.76923077] ; [ 2.76923077 24.23076923],0
p9,1,0.399233,0.710635,[8 4] ; [13 12],[6.81081081 5.18918919] ; [14.18918919 10.81081081],0
d3,1,0.461743,0.541667,[3 9] ; [10 17],[4. 8.] ; [ 9. 18.],0
a6,1,0.461743,0.541667,[3 9] ; [10 17],[4. 8.] ; [ 9. 18.],0
n6,1,0.482367,0.493506,[6 5] ; [18  9],[6.94736842 4.05263158] ; [17.05263158  9.94736842],0
s8,1,0.526452,0.401235,[ 2 10] ; [ 7 20],[2.76923077 9.23076923] ; [ 6.23076923 20.76923077],0
p12,1,0.545198,0.365991,[ 1 11] ; [ 1 26],[ 0.61538462 11.38461538] ; [ 1.38461538 25.61538462],0
p1,1,0.5763,0.312255,[ 1 11] ; [ 4 23],[ 1.53846154 10.46153846] ; [ 3.46153846 23.53846154],0
n4,1,0.616573,0.250714,[7 5] ; [18  9],[7.69230769 4.30769231] ; [17.30769231  9.69230769],0
p2,1,0.616573,0.250714,[7 5] ; [18  9],[7.69230769 4.30769231] ; [17.30769231  9.69230769],0
n2,1,0.627477,0.235498,[4 2] ; [6 5],[3.52941176 2.47058824] ; [6.47058824 4.52941176],0
s4,1,0.643615,0.214046,[3 9] ; [ 5 22],[2.46153846 9.53846154] ; [ 5.53846154 21.46153846],0
d1,1,0.643615,0.214046,[3 9] ; [ 5 22],[2.46153846 9.53846154] ; [ 5.53846154 21.46153846],0
r4,1,0.643615,0.214046,[3 9] ; [ 5 22],[2.46153846 9.53846154] ; [ 5.53846154 21.46153846],0
s7,1,0.652391,0.202899,[4 8] ; [ 6 17],[3.42857143 8.57142857] ; [ 6.57142857 16.42857143],0
b2,1,0.701063,0.147368,[3 6] ; [ 5 14],[2.57142857 6.42857143] ; [ 5.42857143 13.57142857],0
b3,1,0.701063,0.147368,[3 6] ; [ 5 14],[2.57142857 6.42857143] ; [ 5.42857143 13.57142857],0
v4,1,0.748053,0.103175,[6 6] ; [15 12],[6.46153846 5.53846154] ; [14.53846154 12.46153846],0
a5,1,0.783867,0.075231,[5 7] ; [10 17],[4.61538462 7.38461538] ; [10.38461538 16.61538462],0
n1,1,0.793258,0.068687,[2 4] ; [3 8],[1.76470588 4.23529412] ; [3.23529412 7.76470588],0
n5,1,0.817085,0.053498,[8 4] ; [19  8],[8.30769231 3.69230769] ; [18.69230769  8.30769231],0
r1,1,0.817085,0.053498,[4 8] ; [ 8 19],[3.69230769 8.30769231] ; [ 8.30769231 18.69230769],0
n3,1,0.857596,0.032197,[3 3] ; [5 6],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
s3,1,0.938278,0.005996,[4 8] ; [ 9 17],[4.10526316 7.89473684] ; [ 8.89473684 17.10526316],0
u2,1,0.943494,0.005024,[1 1] ; [ 9 10],[0.95238095 1.04761905] ; [9.04761905 9.95238095],0
s6,1,0.95673,0.002944,[5 7] ; [11 16],[4.92307692 7.07692308] ; [11.07692308 15.92307692],0
d5,1,0.95673,0.002944,[5 7] ; [11 16],[4.92307692 7.07692308] ; [11.07692308 15.92307692],0
b1,1,1.0,0.0,[8 4] ; [18  9],[8. 4.] ; [18.  9.],0
