Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6.6e-05,15.935906,[317 144] ; [74  8],[331.95395948 129.04604052] ; [59.04604052 22.95395948],1
s3,1,9.6e-05,15.221656,[258 200] ; [65 17],[273.95185185 184.04814815] ; [49.04814815 32.95185185],1
s5,1,0.000137,14.541437,[155 303] ; [44 34],[170.04104478 287.95895522] ; [28.95895522 49.04104478],1
s2,1,0.000793,11.256801,[240 222] ; [59 23],[253.93014706 208.06985294] ; [45.06985294 36.93014706],1
v3,1,0.003653,8.448812,[218 233] ; [25 56],[206.0018797 244.9981203] ; [36.9981203 44.0018797],0
b3,1,0.003857,8.349853,[131 173] ; [ 8 33],[122.48115942 181.51884058] ; [16.51884058 24.48115942],0
b2,1,0.003857,8.349853,[131 173] ; [ 8 33],[122.48115942 181.51884058] ; [16.51884058 24.48115942],0
a8,1,0.016607,5.737481,[ 77 337] ; [ 6 73],[ 69.69979716 344.30020284] ; [13.30020284 65.69979716],0
v2,1,0.025647,4.979666,[278 171] ; [40 42],[268.89265537 180.10734463] ; [49.10734463 32.89265537],0
n4,1,0.031549,4.622829,[426  42] ; [70 14],[420.52173913  47.47826087] ; [75.47826087  8.52173913],0
p4,1,0.038216,4.295381,[293 170] ; [63 21],[301.3308958 161.6691042] ; [54.6691042 29.3308958],0
p6,1,0.0456,3.996322,[174 287] ; [41 42],[182.19669118 278.80330882] ; [32.80330882 50.19669118],0
s7,1,0.083396,2.997444,[240 202] ; [53 29],[247.14885496 194.85114504] ; [45.85114504 36.14885496],0
p3,1,0.138015,2.199949,[241 223] ; [51 33],[247.24087591 216.75912409] ; [44.75912409 39.24087591],0
s8,1,0.160045,1.973803,[226 237] ; [48 36],[231.92321755 231.07678245] ; [42.07678245 41.92321755],0
a3,1,0.206833,1.593459,[345 118] ; [68 16],[349.57769653 113.42230347] ; [63.42230347 20.57769653],0
p8,1,0.212635,1.553397,[256 201] ; [52 30],[261.14285714 195.85714286] ; [46.85714286 35.14285714],0
d3,1,0.213381,1.548335,[323 142] ; [64 20],[327.78688525 137.21311475] ; [59.21311475 24.78688525],0
n1,1,0.214171,1.543006,[42 50] ; [ 5 12],[39.66972477 52.33027523] ; [7.33027523 9.66972477],0
a7,1,0.227415,1.456958,[345 120] ; [57 27],[340.49180328 124.50819672] ; [61.50819672 22.49180328],0
p9,1,0.26952,1.21919,[395  65] ; [75  8],[398.15837937  61.84162063] ; [71.84162063 11.15837937],0
u3,1,0.298698,1.079999,[78 45] ; [8 8],[76.10071942 46.89928058] ; [9.89928058 6.10071942],0
p7,1,0.302764,1.061981,[303 149] ; [59 22],[306.98686679 145.01313321] ; [55.01313321 25.98686679],0
u4,1,0.349904,0.873806,[ 14 454] ; [ 1 83],[ 12.7173913 455.2826087] ; [ 2.2826087 81.7173913],0
n3,1,0.409492,0.680275,[61 31] ; [13  4],[62.4587156 29.5412844] ; [11.5412844  5.4587156],0
b4,1,0.459667,0.546706,[271 197] ; [45 39],[267.91304348 200.08695652] ; [48.08695652 35.91304348],0
a6,1,0.509751,0.434578,[326 138] ; [56 28],[323.44525547 140.55474453] ; [58.55474453 25.44525547],0
u2,1,0.533198,0.388294,[71 51] ; [8 8],[69.84057971 52.15942029] ; [9.15942029 6.84057971],0
v1,1,0.534398,0.386021,[276 182] ; [47 36],[273.44547135 184.55452865] ; [49.55452865 33.44547135],0
d2,1,0.535807,0.383366,[249 215] ; [42 42],[246.39416058 217.60583942] ; [44.60583942 39.39416058],0
s1,1,0.538267,0.378761,[ 16 443] ; [ 4 78],[ 16.96857671 442.03142329] ; [ 3.03142329 78.96857671],0
a1,1,0.592643,0.286235,[ 23 445] ; [ 3 81],[ 22.04347826 445.95652174] ; [ 3.95652174 80.04347826],0
n2,1,0.601025,0.273453,[72 22] ; [14  3],[72.82882883 21.17117117] ; [13.17117117  3.82882883],0
a2,1,0.647178,0.209477,[134 334] ; [22 62],[132.26086957 335.73913043] ; [23.73913043 60.26086957],0
a5,1,0.656494,0.19781,[366 101] ; [64 20],[364.44646098 102.55353902] ; [65.55353902 18.44646098],0
r3,1,0.670689,0.180797,[444  22] ; [79  3],[444.74087591  21.25912409] ; [78.25912409  3.74087591],0
