Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-05,19.571532,[ 6 26] ; [11  1],[12.36363636 19.63636364] ; [4.63636364 7.36363636],1
d2,1,0.000455,12.289655,[ 6 26] ; [9 3],[10.90909091 21.09090909] ; [4.09090909 7.90909091],1
v3,1,0.004612,8.025608,[ 5 27] ; [7 5],[ 8.72727273 23.27272727] ; [3.27272727 8.72727273],0
v2,1,0.00487,7.927268,[11 20] ; [10  2],[15.13953488 15.86046512] ; [5.86046512 6.13953488],0
p10,1,0.013571,6.093152,[15 16] ; [10  1],[18.45238095 12.54761905] ; [6.54761905 4.45238095],0
d5,1,0.017937,5.602307,[17 15] ; [11  1],[20.36363636 11.63636364] ; [7.63636364 4.36363636],0
a4,1,0.019016,5.5,[ 5 27] ; [6 6],[ 8. 24.] ; [3. 9.],0
p11,1,0.027295,4.872031,[18 14] ; [11  1],[21.09090909 10.90909091] ; [7.90909091 4.09090909],0
r4,1,0.038182,4.296875,[ 6 26] ; [6 6],[ 8.72727273 23.27272727] ; [3.27272727 8.72727273],0
p2,1,0.040547,4.194841,[19 13] ; [11  1],[21.81818182 10.18181818] ; [8.18181818 3.81818182],0
s2,1,0.041821,4.142446,[ 7 25] ; [6 5],[ 9.6744186 22.3255814] ; [3.3255814 7.6744186],0
p5,1,0.052981,3.74453,[ 3 29] ; [4 8],[ 5.09090909 26.90909091] ; [ 1.90909091 10.09090909],0
s6,1,0.064561,3.416149,[14 18] ; [9 3],[16.72727273 15.27272727] ; [6.27272727 5.72727273],0
p4,1,0.064561,3.416149,[14 18] ; [9 3],[16.72727273 15.27272727] ; [6.27272727 5.72727273],0
v1,1,0.112819,2.514286,[ 8 24] ; [6 6],[10.18181818 21.81818182] ; [3.81818182 8.18181818],0
s7,1,0.160126,1.973033,[11 20] ; [1 8],[ 9.3 21.7] ; [2.7 6.3],0
b2,1,0.165167,1.926268,[ 9 14] ; [1 7],[ 7.41935484 15.58064516] ; [2.58064516 5.41935484],0
b3,1,0.165167,1.926268,[ 9 14] ; [1 7],[ 7.41935484 15.58064516] ; [2.58064516 5.41935484],0
p8,1,0.172784,1.858621,[ 9 23] ; [6 6],[10.90909091 21.09090909] ; [4.09090909 7.90909091],0
p9,1,0.214679,1.539589,[19 12] ; [9 2],[20.66666667 10.33333333] ; [7.33333333 3.66666667],0
p1,1,0.284423,1.145833,[ 2 30] ; [ 2 10],[ 2.90909091 29.09090909] ; [ 1.09090909 10.90909091],0
r3,1,0.306593,1.045294,[21 10] ; [10  2],[22.34883721  8.65116279] ; [8.65116279 3.34883721],0
n6,1,0.306593,1.045294,[21 10] ; [10  2],[22.34883721  8.65116279] ; [8.65116279 3.34883721],0
s8,1,0.390399,0.737698,[ 9 23] ; [5 7],[10.18181818 21.81818182] ; [3.81818182 8.18181818],0
a3,1,0.438302,0.600725,[14 17] ; [7 5],[15.13953488 15.86046512] ; [5.86046512 6.13953488],0
a6,1,0.452612,0.564103,[12 20] ; [6 6],[13.09090909 18.90909091] ; [4.90909091 7.09090909],0
a2,1,0.460107,0.545635,[ 1 31] ; [ 1 11],[ 1.45454545 30.54545455] ; [ 0.54545455 11.45454545],0
a8,1,0.471063,0.519481,[ 6 24] ; [1 9],[ 5.25 24.75] ; [1.75 8.25],0
b1,1,0.498404,0.458333,[17 15] ; [5 7],[16. 16.] ; [6. 6.],0
u2,1,0.537892,0.379461,[10  8] ; [2 3],[9.39130435 8.60869565] ; [2.60869565 2.39130435],0
n5,1,0.556901,0.345098,[24  8] ; [10  2],[24.72727273  7.27272727] ; [9.27272727 2.72727273],0
s4,1,0.556901,0.345098,[ 8 24] ; [ 2 10],[ 7.27272727 24.72727273] ; [2.72727273 9.27272727],0
u3,1,0.599275,0.276091,[ 5 13] ; [2 3],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
p7,1,0.622101,0.242926,[16 16] ; [5 7],[15.27272727 16.72727273] ; [5.72727273 6.27272727],0
