Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000953,10.917293,[58 37] ; [ 6 19],[50.66666667 44.33333333] ; [13.33333333 11.66666667],1
p10,1,0.001652,9.901377,[83 12] ; [15 10],[77.58333333 17.41666667] ; [20.41666667  4.58333333],0
p7,1,0.002206,9.369364,[69 26] ; [10 15],[62.54166667 32.45833333] ; [16.45833333  8.54166667],0
p2,1,0.004138,8.222316,[83 14] ; [15 10],[77.91803279 19.08196721] ; [20.08196721  4.91803279],0
r3,1,0.006772,7.332441,[93  4] ; [20  5],[89.8442623  7.1557377] ; [23.1557377  1.8442623],0
b1,1,0.007224,7.216441,[30 67] ; [15 10],[35.77868852 61.22131148] ; [ 9.22131148 15.77868852],0
n3,1,0.028094,4.822263,[16  5] ; [6 9],[12.83333333  8.16666667] ; [9.16666667 5.83333333],0
v3,1,0.03113,4.645802,[47 48] ; [ 6 18],[42.31092437 52.68907563] ; [10.68907563 13.31092437],0
p9,1,0.047166,3.939459,[81 14] ; [17  8],[77.58333333 17.41666667] ; [20.41666667  4.58333333],0
r4,1,0.054653,3.692629,[85 12] ; [18  7],[81.89344262 15.10655738] ; [21.10655738  3.89344262],0
b2,1,0.07069,3.26692,[37 41] ; [ 3 11],[33.91304348 44.08695652] ; [6.08695652 7.91304348],0
b3,1,0.07069,3.26692,[37 41] ; [ 3 11],[33.91304348 44.08695652] ; [6.08695652 7.91304348],0
n4,1,0.081849,3.027808,[78 19] ; [16  9],[74.73770492 22.26229508] ; [19.26229508  5.73770492],0
a6,1,0.095351,2.781631,[71 26] ; [14 11],[67.58196721 29.41803279] ; [17.41803279  7.58196721],0
a3,1,0.147583,2.097059,[78 19] ; [16  8],[75.3553719 21.6446281] ; [18.6446281  5.3553719],0
p3,1,0.155444,2.017998,[58 39] ; [11 14],[54.86065574 42.13934426] ; [14.13934426 10.86065574],0
n1,1,0.156646,2.00631,[ 8 14] ; [9 6],[10.10810811 11.89189189] ; [6.89189189 8.10810811],0
v1,1,0.205021,1.606242,[51 43] ; [10 15],[48.18487395 45.81512605] ; [12.81512605 12.18487395],0
s1,1,0.297208,1.08668,[ 1 96] ; [ 1 24],[ 1.59016393 95.40983607] ; [ 0.40983607 24.59016393],0
a8,1,0.33269,0.938397,[14 69] ; [ 2 21],[12.52830189 70.47169811] ; [ 3.47169811 19.52830189],0
a5,1,0.3346,0.931013,[75 22] ; [17  8],[73.14754098 23.85245902] ; [18.85245902  6.14754098],0
u2,1,0.337419,0.920215,[14  5] ; [5 4],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
a4,1,0.33913,0.913716,[36 60] ; [12 13],[38.08264463 57.91735537] ; [ 9.91735537 15.08264463],0
d3,1,0.424779,0.637056,[70 27] ; [16  9],[68.37704918 28.62295082] ; [17.62295082  7.37704918],0
s4,1,0.426017,0.633657,[10 87] ; [ 4 21],[11.13114754 85.86885246] ; [ 2.86885246 22.13114754],0
p5,1,0.43871,0.599655,[18 79] ; [ 3 22],[16.69672131 80.30327869] ; [ 4.30327869 20.69672131],0
p6,1,0.441958,0.591192,[38 56] ; [ 8 17],[36.33613445 57.66386555] ; [ 9.66386555 15.33613445],0
p12,1,0.455225,0.55761,[ 8 87] ; [ 1 24],[ 7.125 87.875] ; [ 1.875 23.125],0
d4,1,0.460529,0.544608,[80 17] ; [19  6],[78.71311475 18.28688525] ; [20.28688525  4.71311475],0
b4,1,0.506629,0.441023,[51 46] ; [15 10],[52.47540984 44.52459016] ; [13.52459016 11.47540984],0
u3,1,0.506984,0.440286,[13  6] ; [5 4],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
s5,1,0.517748,0.418377,[21 75] ; [ 7 18],[22.21487603 73.78512397] ; [ 5.78512397 19.21487603],0
p8,1,0.548006,0.360902,[52 43] ; [12 13],[50.66666667 44.33333333] ; [13.33333333 11.66666667],0
a7,1,0.556826,0.34523,[68 29] ; [16  9],[66.78688525 30.21311475] ; [17.21311475  7.78688525],0
v4,1,0.570009,0.322667,[88  8] ; [22  3],[87.27272727  8.72727273] ; [22.72727273  2.27272727],0
a1,1,0.576885,0.311297,[ 2 95] ; [ 1 24],[ 2.3852459 94.6147541] ; [ 0.6147541 24.3852459],0
r2,1,0.592402,0.286609,[86  8] ; [22  3],[85.31092437  8.68907563] ; [22.68907563  2.31092437],0
d2,1,0.624626,0.239419,[48 49] ; [11 14],[46.90983607 50.09016393] ; [12.09016393 12.90983607],0
b5,1,0.624626,0.239419,[49 48] ; [14 11],[50.09016393 46.90983607] ; [12.90983607 12.09016393],0
n5,1,0.681412,0.16854,[70 27] ; [17  8],[69.17213115 27.82786885] ; [17.82786885  7.17213115],0
d5,1,0.712767,0.135529,[77 20] ; [19  6],[76.32786885 20.67213115] ; [19.67213115  5.32786885],0
n2,1,0.736421,0.113297,[15  7] ; [11  4],[15.45945946  6.54054054] ; [10.54054054  4.45945946],0
r1,1,0.773448,0.082868,[75 22] ; [20  5],[75.53278689 21.46721311] ; [19.46721311  5.53278689],0
s3,1,0.829665,0.046281,[29 67] ; [ 7 18],[28.56198347 67.43801653] ; [ 7.43801653 17.56198347],0
p4,1,0.843623,0.038912,[60 37] ; [16  9],[60.42622951 36.57377049] ; [15.57377049  9.42622951],0
s6,1,0.843623,0.038912,[60 37] ; [16  9],[60.42622951 36.57377049] ; [15.57377049  9.42622951],0
s8,1,0.846547,0.037452,[52 44] ; [13 12],[51.57024793 44.42975207] ; [13.42975207 11.57024793],0
n6,1,0.947447,0.004345,[82 15] ; [21  4],[81.89344262 15.10655738] ; [21.10655738  3.89344262],0
d1,1,0.958895,0.002656,[51 46] ; [13 12],[50.8852459 46.1147541] ; [13.1147541 11.8852459],0
u1,1,0.963112,0.002139,[19 78] ; [ 5 20],[19.08196721 77.91803279] ; [ 4.91803279 20.08196721],0
p1,1,0.967923,0.001617,[ 8 89] ; [ 2 23],[ 7.95081967 89.04918033] ; [ 2.04918033 22.95081967],0
a2,1,0.975881,0.000914,[23 74] ; [ 6 19],[23.05737705 73.94262295] ; [ 5.94262295 19.05737705],0
