Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000538,11.97915,[ 1 37] ; [5 8],[ 4.47058824 33.52941176] ; [ 1.52941176 11.47058824],1
p7,1,0.003228,8.673785,[ 7 31] ; [8 5],[11.17647059 26.82352941] ; [3.82352941 9.17647059],0
n4,1,0.003228,8.673785,[31  7] ; [5 8],[26.82352941 11.17647059] ; [9.17647059 3.82352941],0
p3,1,0.006572,7.386386,[ 6 32] ; [7 6],[ 9.68627451 28.31372549] ; [3.31372549 9.68627451],0
p6,1,0.011763,6.346212,[ 3 33] ; [5 8],[ 5.87755102 30.12244898] ; [ 2.12244898 10.87755102],0
p11,1,0.027759,4.843003,[13 25] ; [9 4],[16.39215686 21.60784314] ; [5.60784314 7.39215686],0
v3,1,0.038562,4.280055,[ 3 35] ; [4 9],[ 5.21568627 32.78431373] ; [ 1.78431373 11.21568627],0
p4,1,0.043065,4.092868,[ 9 29] ; [7 6],[11.92156863 26.07843137] ; [4.07843137 8.92156863],0
s6,1,0.051537,3.790727,[ 8 30] ; [6 6],[10.64 27.36] ; [3.36 8.64],0
u2,1,0.053337,3.733333,[ 3 17] ; [4 4],[ 5. 15.] ; [2. 6.],0
n5,1,0.069126,3.303644,[28 10] ; [6 7],[25.33333333 12.66666667] ; [8.66666667 4.33333333],0
r3,1,0.07728,3.121203,[18 19] ; [10  3],[20.72 16.28] ; [7.28 5.72],0
r4,1,0.080021,3.06448,[ 8 30] ; [6 7],[10.43137255 27.56862745] ; [3.56862745 9.43137255],0
b4,1,0.083959,2.986553,[25 13] ; [5 8],[22.35294118 15.64705882] ; [7.64705882 5.35294118],0
s2,1,0.150494,2.067235,[ 5 33] ; [4 9],[ 6.70588235 31.29411765] ; [ 2.29411765 10.70588235],0
b1,1,0.172821,1.8583,[20 18] ; [4 9],[17.88235294 20.11764706] ; [6.11764706 6.88235294],0
a4,1,0.181298,1.786952,[13 24] ; [ 2 11],[11.1 25.9] ; [3.9 9.1],0
s3,1,0.203463,1.617341,[10 27] ; [6 7],[11.84 25.16] ; [4.16 8.84],0
p9,1,0.256039,1.290047,[16 21] ; [8 5],[17.76 19.24] ; [6.24 6.76],0
d1,1,0.285585,1.14032,[15 23] ; [ 3 10],[13.41176471 24.58823529] ; [4.58823529 8.41176471],0
a6,1,0.295548,1.094173,[17 21] ; [8 5],[18.62745098 19.37254902] ; [6.37254902 6.62745098],0
u3,1,0.305507,1.05,[ 2 18] ; [2 6],[ 2.85714286 17.14285714] ; [1.14285714 6.85714286],0
p2,1,0.314419,1.01202,[14 23] ; [7 6],[15.54 21.46] ; [5.46 7.54],0
d5,1,0.366436,0.815716,[23 15] ; [6 7],[21.60784314 16.39215686] ; [7.39215686 5.60784314],0
p12,1,0.379564,0.772113,[ 1 37] ; [ 1 11],[ 1.52 36.48] ; [ 0.48 11.52],0
r1,1,0.442003,0.591076,[13 25] ; [6 7],[14.15686275 23.84313725] ; [4.84313725 8.15686275],0
v1,1,0.475896,0.508253,[ 8 30] ; [4 9],[ 8.94117647 29.05882353] ; [3.05882353 9.94117647],0
n1,1,0.493563,0.46875,[7 9] ; [1 3],[6.4 9.6] ; [1.6 2.4],0
a3,1,0.526106,0.401907,[18 19] ; [5 8],[17.02 19.98] ; [5.98 7.02],0
v2,1,0.561523,0.337073,[11 26] ; [5 8],[11.84 25.16] ; [4.16 8.84],0
a7,1,0.570036,0.322621,[17 21] ; [7 6],[17.88235294 20.11764706] ; [6.11764706 6.88235294],0
s5,1,0.578479,0.3087,[ 5 32] ; [ 1 12],[ 4.44 32.56] ; [ 1.56 11.44],0
r2,1,0.586211,0.2963,[19 17] ; [8 5],[19.83673469 16.16326531] ; [7.16326531 5.83673469],0
p1,1,0.597525,0.278745,[ 5 33] ; [ 1 12],[ 4.47058824 33.52941176] ; [ 1.52941176 11.47058824],0
p10,1,0.598542,0.2772,[14 23] ; [6 7],[14.8 22.2] ; [5.2 7.8],0
d2,1,0.640032,0.2187,[17 20] ; [5 8],[16.28 20.72] ; [5.72 7.28],0
n3,1,0.648077,0.208333,[ 6 10] ; [2 2],[6.4 9.6] ; [1.6 2.4],0
a5,1,0.686737,0.162641,[18 20] ; [7 6],[18.62745098 19.37254902] ; [6.37254902 6.62745098],0
d4,1,0.692472,0.156423,[24 14] ; [9 4],[24.58823529 13.41176471] ; [8.41176471 4.58823529],0
n6,1,0.749795,0.101704,[17 21] ; [6 6],[17.48 20.52] ; [5.52 6.48],0
a8,1,0.760077,0.093256,[ 5 33] ; [ 2 10],[ 5.32 32.68] ; [ 1.68 10.32],0
d3,1,0.799176,0.064727,[16 22] ; [6 7],[16.39215686 21.60784314] ; [5.60784314 7.39215686],0
b5,1,0.939631,0.005735,[20 18] ; [7 6],[20.11764706 17.88235294] ; [6.88235294 6.11764706],0
b3,1,0.952475,0.003552,[ 9 17] ; [2 4],[ 8.9375 17.0625] ; [2.0625 3.9375],0
b2,1,0.952475,0.003552,[ 9 17] ; [2 4],[ 8.9375 17.0625] ; [2.0625 3.9375],0
p5,1,0.981304,0.000549,[ 3 35] ; [ 1 12],[ 2.98039216 35.01960784] ; [ 1.01960784 11.98039216],0
s4,1,0.981304,0.000549,[ 3 35] ; [ 1 12],[ 2.98039216 35.01960784] ; [ 1.01960784 11.98039216],0
n2,1,1.0,0.0,[8 8] ; [2 2],[8. 8.] ; [2. 2.],0
