Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-05,19.513667,[28 13] ; [ 4 24],[19.01449275 21.98550725] ; [12.98550725 15.01449275],1
a4,1,1.5e-05,18.782666,[22 19] ; [ 1 27],[13.66666667 27.33333333] ; [ 9.33333333 18.66666667],1
d2,1,6.4e-05,15.974925,[24 17] ; [ 3 25],[16.04347826 24.95652174] ; [10.95652174 17.04347826],1
a3,1,0.000672,11.564224,[33  7] ; [12 16],[26.47058824 13.52941176] ; [18.52941176  9.47058824],1
d5,1,0.002387,9.224984,[34  7] ; [13 14],[28.33823529 12.66176471] ; [18.66176471  8.33823529],0
v3,1,0.002421,9.199134,[20 20] ; [ 4 24],[14.11764706 25.88235294] ; [ 9.88235294 18.11764706],0
n4,1,0.003693,8.428869,[35  6] ; [15 13],[29.71014493 11.28985507] ; [20.28985507  7.71014493],0
p9,1,0.004152,8.216208,[36  4] ; [17 11],[31.17647059  8.82352941] ; [21.82352941  6.17647059],0
r1,1,0.00831,6.965318,[34  7] ; [15 13],[29.11594203 11.88405797] ; [19.88405797  8.11594203],0
n6,1,0.008467,6.931848,[37  4] ; [18 10],[32.68115942  8.31884058] ; [22.31884058  5.68115942],0
s8,1,0.010606,6.530159,[24 16] ; [ 8 20],[18.82352941 21.17647059] ; [13.17647059 14.82352941],0
u1,1,0.0332,4.535447,[ 9 32] ; [ 1 27],[ 5.94202899 35.05797101] ; [ 4.05797101 23.94202899],0
p3,1,0.038814,4.268991,[17 24] ; [ 5 23],[13.07246377 27.92753623] ; [ 8.92753623 19.07246377],0
u3,1,0.040424,4.2,[7 1] ; [7 9],[4.66666667 3.33333333] ; [9.33333333 6.66666667],0
p10,1,0.041764,4.144762,[32  8] ; [16 12],[28.23529412 11.76470588] ; [19.76470588  8.23529412],0
v1,1,0.048699,3.885714,[24 16] ; [10 18],[20. 20.] ; [14. 14.],0
s7,1,0.079755,3.069888,[25 15] ; [11 16],[21.49253731 18.50746269] ; [14.50746269 12.49253731],0
a6,1,0.121353,2.399774,[30 10] ; [16 12],[27.05882353 12.94117647] ; [18.94117647  9.05882353],0
s6,1,0.132465,2.263374,[26 13] ; [13 14],[23.04545455 15.95454545] ; [15.95454545 11.04545455],0
v2,1,0.144895,2.125188,[25 15] ; [12 15],[22.08955224 17.91044776] ; [14.91044776 12.08955224],0
d4,1,0.145263,2.121307,[34  7] ; [19  9],[31.49275362  9.50724638] ; [21.50724638  6.49275362],0
r3,1,0.148624,2.086321,[40  1] ; [25  3],[38.62318841  2.37681159] ; [26.37681159  1.62318841],0
n2,1,0.159128,1.982492,[10  1] ; [8 4],[8.60869565 2.39130435] ; [9.39130435 2.60869565],0
p7,1,0.163549,1.941098,[25 13] ; [22  5],[27.47692308 10.52307692] ; [19.52307692  7.47692308],0
