Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,25.824561,[ 7 39] ; [31 15],[19. 27.] ; [19. 27.],1
s3,1,3e-06,21.768823,[12 34] ; [35 12],[23.24731183 22.75268817] ; [23.75268817 23.24731183],1
s6,1,8e-06,20.055356,[15 31] ; [37 10],[25.72043011 20.27956989] ; [26.27956989 20.72043011],1
s2,1,0.000233,13.543643,[11 35] ; [29 18],[19.78494624 26.21505376] ; [20.21505376 26.78494624],1
p9,1,0.00218,9.391667,[23 23] ; [37  9],[30. 16.] ; [30. 16.],0
p10,1,0.004531,8.057747,[21 25] ; [35 12],[27.69892473 18.30107527] ; [28.30107527 18.69892473],0
p6,1,0.010287,6.584446,[ 5 39] ; [16 31],[10.15384615 33.84615385] ; [10.84615385 36.15384615],0
v3,1,0.013528,6.098695,[ 9 34] ; [19 22],[14.33333333 28.66666667] ; [13.66666667 27.33333333],0
p3,1,0.014035,6.033721,[ 8 37] ; [19 27],[13.35164835 31.64835165] ; [13.64835165 32.35164835],0
r3,1,0.018098,5.586638,[35 11] ; [44  3],[39.07526882  6.92473118] ; [39.92473118  7.07526882],0
u1,1,0.020956,5.330443,[ 7 39] ; [17 30],[11.87096774 34.12903226] ; [12.12903226 34.87096774],0
b4,1,0.025615,4.981847,[24 22] ; [35 12],[29.1827957 16.8172043] ; [29.8172043 17.1827957],0
r1,1,0.033797,4.50492,[28 18] ; [38  9],[32.64516129 13.35483871] ; [33.35483871 13.64516129],0
v1,1,0.034454,4.47205,[13 33] ; [22 22],[17.88888889 28.11111111] ; [17.11111111 26.88888889],0
v2,1,0.041651,4.14931,[19 24] ; [29 15],[23.72413793 19.27586207] ; [24.27586207 19.72413793],0
a5,1,0.063888,3.433457,[33 13] ; [41  6],[36.60215054  9.39784946] ; [37.39784946  9.60215054],0
s5,1,0.085923,2.949136,[ 9 36] ; [16 28],[12.64044944 32.35955056] ; [12.35955056 31.64044944],0
a6,1,0.087164,2.925976,[27 19] ; [34 11],[30.83516484 15.16483516] ; [30.16483516 14.83516484],0
a2,1,0.088541,2.900694,[11 35] ; [19 28],[14.83870968 31.16129032] ; [15.16129032 31.83870968],0
n2,1,0.089264,2.887592,[11 12] ; [14  5],[13.69047619  9.30952381] ; [11.30952381  7.69047619],0
p12,1,0.096667,2.759681,[ 1 45] ; [ 5 42],[ 2.96774194 43.03225806] ; [ 3.03225806 43.96774194],0
b1,1,0.115734,2.474127,[17 29] ; [25 22],[20.77419355 25.22580645] ; [21.22580645 25.77419355],0
p7,1,0.131161,2.278707,[11 33] ; [18 27],[14.33707865 29.66292135] ; [14.66292135 30.33707865],0
r4,1,0.138042,2.199647,[31 15] ; [38  9],[34.12903226 11.87096774] ; [34.87096774 12.12903226],0
p11,1,0.176395,1.827736,[24 22] ; [31 16],[27.20430108 18.79569892] ; [27.79569892 19.20430108],0
n6,1,0.205115,1.605573,[31 14] ; [37  9],[33.62637363 11.37362637] ; [34.37362637 11.62637363],0
p5,1,0.214137,1.543237,[ 2 44] ; [ 5 39],[ 3.57777778 42.42222222] ; [ 3.42222222 40.57777778],0
a4,1,0.215935,1.53118,[25 20] ; [32 15],[27.88043478 17.11956522] ; [29.11956522 17.88043478],0
u3,1,0.216522,1.527273,[6 5] ; [8 2],[7.33333333 3.66666667] ; [6.66666667 3.33333333],0
n1,1,0.225546,1.468733,[ 9 14] ; [11  8],[10.95238095 12.04761905] ; [9.04761905 9.95238095],0
p1,1,0.226743,1.461177,[ 5 41] ; [ 2 45],[ 3.46236559 42.53763441] ; [ 3.53763441 43.46236559],0
v4,1,0.251658,1.314075,[36 10] ; [41  6],[38.08602151  7.91397849] ; [38.91397849  8.08602151],0
r2,1,0.274454,1.194351,[40  3] ; [45  1],[41.06741573  1.93258427] ; [43.93258427  2.06741573],0
d2,1,0.326541,0.962567,[32 13] ; [36  9],[34. 11.] ; [34. 11.],0
a8,1,0.381338,0.766385,[ 2 42] ; [ 4 39],[ 3.03448276 40.96551724] ; [ 2.96551724 40.03448276],0
b2,1,0.396964,0.717505,[11 21] ; [16 20],[12.70588235 19.29411765] ; [14.29411765 21.70588235],0
b3,1,0.396964,0.717505,[11 21] ; [16 20],[12.70588235 19.29411765] ; [14.29411765 21.70588235],0
u4,1,0.41393,0.667485,[ 2 44] ; [ 4 43],[ 2.96774194 43.03225806] ; [ 3.03225806 43.96774194],0
a7,1,0.444511,0.584609,[32 14] ; [36 11],[33.6344086 12.3655914] ; [34.3655914 12.6344086],0
b5,1,0.472393,0.516373,[25 21] ; [29 18],[26.70967742 19.29032258] ; [27.29032258 19.70967742],0
d3,1,0.549032,0.359054,[39  7] ; [36  9],[37.91208791  8.08791209] ; [37.08791209  7.91208791],0
p4,1,0.556362,0.346042,[14 31] ; [17 29],[15.32967033 29.67032967] ; [15.67032967 30.32967033],0
u2,1,0.653095,0.20202,[5 5] ; [6 4],[5.5 4.5] ; [5.5 4.5],0
s4,1,0.684946,0.164611,[ 7 37] ; [ 9 38],[ 7.73626374 36.26373626] ; [ 8.26373626 38.73626374],0
a3,1,0.761107,0.092433,[35 11] ; [37 10],[35.61290323 10.38709677] ; [36.38709677 10.61290323],0
n4,1,0.766631,0.088081,[33 13] ; [35 12],[33.6344086 12.3655914] ; [34.3655914 12.6344086],0
n5,1,0.769284,0.086031,[30 16] ; [32 15],[30.66666667 15.33333333] ; [31.33333333 15.66666667],0
p8,1,0.847729,0.036871,[10 36] ; [11 36],[10.38709677 35.61290323] ; [10.61290323 36.38709677],0
n3,1,0.949062,0.004081,[12 10] ; [10  8],[12.1  9.9] ; [9.9 8.1],0
s1,1,0.964533,0.001977,[ 2 43] ; [ 2 45],[ 1.95652174 43.04347826] ; [ 2.04347826 44.95652174],0
a1,1,0.97462,0.001012,[ 4 42] ; [ 4 43],[ 3.95698925 42.04301075] ; [ 4.04301075 42.95698925],0
