Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.3e-05,16.014554,[25 29] ; [101  31],[36.58064516 17.41935484] ; [89.41935484 42.58064516],1
a6,1,0.000326,12.913408,[21 33] ; [89 43],[31.93548387 22.06451613] ; [78.06451613 53.93548387],1
p10,1,0.001964,9.582703,[20 34] ; [80 49],[29.50819672 24.49180328] ; [70.49180328 58.50819672],0
d5,1,0.003008,8.802606,[31 23] ; [104  28],[39.19354839 14.80645161] ; [95.80645161 36.19354839],0
a2,1,0.007046,7.261296,[ 1 53] ; [ 21 111],[ 6.38709677 47.61290323] ; [ 15.61290323 116.38709677],0
p9,1,0.008305,6.966597,[25 29] ; [86 42],[32.93406593 21.06593407] ; [78.06593407 49.93406593],0
v4,1,0.010669,6.519691,[40 13] ; [117  13],[45.46994536  7.53005464] ; [111.53005464  18.46994536],0
d1,1,0.01125,6.425376,[18 36] ; [71 61],[25.83870968 28.16129032] ; [63.16129032 68.83870968],0
a1,1,0.011767,6.345595,[ 5 49] ; [  2 130],[ 2.03225806 51.96774194] ; [  4.96774194 127.03225806],0
d4,1,0.015816,5.823176,[38 16] ; [113  19],[43.83870968 10.16129032] ; [107.16129032  24.83870968],0
r3,1,0.016771,5.720148,[44 10] ; [123   9],[48.48387097  5.51612903] ; [118.51612903  13.48387097],0
b1,1,0.033688,4.510472,[27 27] ; [44 88],[20.61290323 33.38709677] ; [50.38709677 81.61290323],0
s6,1,0.05906,3.56359,[16 38] ; [58 72],[21.7173913 32.2826087] ; [52.2826087 77.7173913],0
r4,1,0.061531,3.49564,[35 19] ; [103  29],[40.06451613 13.93548387] ; [97.93548387 34.06451613],0
b5,1,0.06411,3.42773,[26 28] ; [83 49],[31.64516129 22.35483871] ; [77.35483871 54.64516129],0
r2,1,0.069022,3.306127,[43 10] ; [118  12],[46.6284153  6.3715847] ; [114.3715847  15.6284153],0
n6,1,0.104834,2.630415,[27 27] ; [83 49],[31.93548387 22.06451613] ; [78.06451613 53.93548387],0
r1,1,0.126547,2.334366,[33 21] ; [95 36],[37.36216216 16.63783784] ; [90.63783784 40.36216216],0
p2,1,0.143441,2.140647,[33 21] ; [93 36],[37.18032787 16.81967213] ; [88.81967213 40.18032787],0
v2,1,0.146426,2.109092,[20 32] ; [64 63],[24.40223464 27.59776536] ; [59.59776536 67.40223464],0
s3,1,0.146831,2.104873,[24 27] ; [46 84],[19.72375691 31.27624309] ; [50.27624309 79.72375691],0
a4,1,0.170472,1.878788,[22 32] ; [40 92],[18. 36.] ; [44. 88.],0
b2,1,0.185803,1.750588,[11 20] ; [14 48],[ 8.33333333 22.66666667] ; [16.66666667 45.33333333],0
b3,1,0.185803,1.750588,[11 20] ; [14 48],[ 8.33333333 22.66666667] ; [16.66666667 45.33333333],0
u3,1,0.213728,1.54599,[10 14] ; [28 21],[12.49315068 11.50684932] ; [25.50684932 23.49315068],0
n1,1,0.229104,1.446416,[ 7 14] ; [ 8 33],[ 5.08064516 15.91935484] ; [ 9.91935484 31.08064516],0
a5,1,0.231898,1.429182,[28 26] ; [81 51],[31.64516129 22.35483871] ; [77.35483871 54.64516129],0
p8,1,0.233424,1.419877,[17 36] ; [54 76],[20.56284153 32.43715847] ; [50.43715847 79.56284153],0
v3,1,0.24481,1.352683,[ 9 40] ; [34 93],[11.97159091 37.02840909] ; [31.02840909 95.97159091],0
n2,1,0.286204,1.137394,[15  6] ; [23 17],[13.08196721  7.91803279] ; [24.91803279 15.08196721],0
n4,1,0.391162,0.735326,[22 32] ; [45 87],[19.4516129 34.5483871] ; [47.5483871 84.4516129],0
p3,1,0.408883,0.682045,[20 34] ; [40 90],[17.60869565 36.39130435] ; [42.39130435 87.60869565],0
n3,1,0.431106,0.619842,[12  7] ; [30 11],[13.3  5.7] ; [28.7 12.3],0
s1,1,0.43216,0.617011,[ 4 50] ; [  6 126],[ 2.90322581 51.09677419] ; [  7.09677419 124.90322581],0
s4,1,0.464319,0.535462,[11 43] ; [ 21 111],[ 9.29032258 44.70967742] ; [ 22.70967742 109.29032258],0
v1,1,0.479295,0.500468,[16 37] ; [46 83],[18.05494505 34.94505495] ; [43.94505495 85.05494505],0
p7,1,0.481079,0.496417,[28 26] ; [60 70],[25.82608696 28.17391304] ; [62.17391304 67.82608696],0
p5,1,0.487959,0.481023,[ 1 53] ; [  5 125],[ 1.76086957 52.23913043] ; [  4.23913043 125.76086957],0
a3,1,0.550183,0.35699,[30 23] ; [81 51],[31.8 21.2] ; [79.2 52.8],0
a8,1,0.613713,0.254803,[ 2 49] ; [  3 117],[ 1.49122807 49.50877193] ; [  3.50877193 116.49122807],0
p6,1,0.619737,0.246238,[ 9 42] ; [ 27 102],[10.2 40.8] ; [ 25.8 103.2],0
s5,1,0.669524,0.18216,[13 39] ; [28 99],[11.91061453 40.08938547] ; [29.08938547 97.91061453],0
p4,1,0.696548,0.152088,[19 34] ; [51 80],[20.16304348 32.83695652] ; [49.83695652 81.16304348],0
s2,1,0.709196,0.139082,[15 39] ; [40 91],[16.05405405 37.94594595] ; [38.94594595 92.05405405],0
