Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000388,12.588301,[ 6 29] ; [106 109],[15.68 19.32] ; [ 96.32 118.68],1
n1,1,0.0004,12.532592,[ 3 18] ; [36 25],[ 9.98780488 11.01219512] ; [29.01219512 31.98780488],1
s7,1,0.003271,8.649617,[ 6 28] ; [ 91 114],[13.79916318 20.20083682] ; [ 83.20083682 121.79916318],0
a5,1,0.004076,8.249668,[18 17] ; [162  54],[25.09960159  9.90039841] ; [154.90039841  61.09960159],0
r1,1,0.011116,6.44662,[18 17] ; [157  59],[24.40239044 10.59760956] ; [150.59760956  65.40239044],0
v3,1,0.011807,6.339655,[ 5 29] ; [ 76 131],[11.42738589 22.57261411] ; [ 69.57261411 137.42738589],0
s6,1,0.019442,5.461354,[14 21] ; [130  83],[20.32258065 14.67741935] ; [123.67741935  89.32258065],0
a4,1,0.021187,5.311378,[10 25] ; [106 108],[16.30522088 18.69477912] ; [ 99.69477912 114.30522088],0
d1,1,0.029175,4.757281,[13 22] ; [123  93],[18.96414343 16.03585657] ; [117.03585657  98.96414343],0
p3,1,0.029616,4.731421,[ 6 29] ; [ 77 138],[11.62 23.38] ; [ 71.38 143.62],0
r2,1,0.033462,4.521964,[28  7] ; [197  18],[31.5  3.5] ; [193.5  21.5],0
d2,1,0.04199,4.135588,[13 22] ; [118  94],[18.56275304 16.43724696] ; [112.43724696  99.56275304],0
d5,1,0.055058,3.680343,[21 14] ; [163  53],[25.65737052  9.34262948] ; [158.34262948  57.65737052],0
n3,1,0.058641,3.575412,[10 11] ; [43 18],[13.57317073  7.42682927] ; [39.42682927 21.57317073],0
u1,1,0.059757,3.544109,[ 2 33] ; [ 40 176],[ 5.85657371 29.14342629] ; [ 36.14342629 179.85657371],0
s3,1,0.060341,3.528,[12 23] ; [108 102],[17.14285714 17.85714286] ; [102.85714286 107.14285714],0
s2,1,0.070808,3.264185,[10 24] ; [ 97 114],[14.84897959 19.15102041] ; [ 92.15102041 118.84897959],0
p10,1,0.082793,3.009206,[21 14] ; [158  55],[25.26209677  9.73790323] ; [153.73790323  59.26209677],0
s8,1,0.086186,2.944198,[ 8 27] ; [ 81 133],[12.51004016 22.48995984] ; [ 76.48995984 137.51004016],0
a7,1,0.090028,2.87387,[19 16] ; [148  67],[23.38 11.62] ; [143.62  71.38],0
d3,1,0.09409,2.802973,[17 18] ; [137  79],[21.47410359 13.52589641] ; [132.52589641  83.47410359],0
r4,1,0.107068,2.596972,[24 11] ; [174  42],[27.60956175  7.39043825] ; [170.39043825  45.60956175],0
