Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.5e-05,17.124774,[36  8] ; [ 8 17],[28.05797101 15.94202899] ; [15.94202899  9.05797101],1
d3,1,5.7e-05,16.185877,[38  6] ; [10 15],[30.60869565 13.39130435] ; [17.39130435  7.60869565],1
d4,1,0.001846,9.696573,[42  2] ; [17  8],[37.62318841  6.37681159] ; [21.37681159  3.62318841],0
b5,1,0.00225,9.333333,[33 12] ; [ 9 16],[27. 18.] ; [15. 10.],0
v1,1,0.007259,7.207633,[16 26] ; [18  7],[21.31343284 20.68656716] ; [12.68656716 12.31343284],0
r2,1,0.029761,4.72304,[43  1] ; [20  4],[40.76470588  3.23529412] ; [22.23529412  1.76470588],0
p2,1,0.030367,4.688409,[34 10] ; [13 12],[29.97101449 14.02898551] ; [17.02898551  7.97101449],0
d5,1,0.047268,3.935829,[36  8] ; [15 10],[32.52173913 11.47826087] ; [18.47826087  6.52173913],0
r4,1,0.050957,3.809671,[38  7] ; [16  9],[34.71428571 10.28571429] ; [19.28571429  5.71428571],0
a2,1,0.066798,3.36,[ 9 36] ; [ 1 24],[ 6.42857143 38.57142857] ; [ 3.57142857 21.42857143],0
r1,1,0.080629,3.052177,[35  9] ; [15 10],[31.88405797 12.11594203] ; [18.11594203  6.88405797],0
u3,1,0.102483,2.666477,[15  1] ; [7 3],[13.53846154  2.46153846] ; [8.46153846 1.53846154],0
n3,1,0.106343,2.607745,[11  2] ; [6 5],[9.20833333 3.79166667] ; [7.79166667 3.20833333],0
d1,1,0.108232,2.579853,[27 18] ; [10 15],[23.78571429 21.21428571] ; [13.21428571 11.78571429],0
a8,1,0.126375,2.336473,[ 7 34] ; [ 1 23],[ 5.04615385 35.95384615] ; [ 2.95384615 21.04615385],0
p9,1,0.142349,2.152379,[34  9] ; [15  9],[31.44776119 11.55223881] ; [17.55223881  6.44776119],0
n1,1,0.160958,1.965207,[4 9] ; [6 4],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
b1,1,0.163912,1.937756,[21 24] ; [16  9],[23.78571429 21.21428571] ; [13.21428571 11.78571429],0
