Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,4e-06,21.107751,[57 17] ; [28 43],[43.37931034 30.62068966] ; [41.62068966 29.37931034],1
r1,1,2.1e-05,18.098957,[62 12] ; [36 35],[50.0137931 23.9862069] ; [47.9862069 23.0137931],1
s7,1,0.000173,14.103041,[43 26] ; [21 48],[32. 37.] ; [32. 37.],1
a3,1,0.000259,13.344407,[51 23] ; [27 43],[40.08333333 33.91666667] ; [37.91666667 32.08333333],1
r4,1,0.000846,11.137389,[66  8] ; [47 24],[57.66896552 16.33103448] ; [55.33103448 15.66896552],1
b3,1,0.002937,8.846409,[23 22] ; [ 8 32],[16.41176471 28.58823529] ; [14.58823529 25.41176471],0
b2,1,0.002937,8.846409,[23 22] ; [ 8 32],[16.41176471 28.58823529] ; [14.58823529 25.41176471],0
a7,1,0.003419,8.569208,[54 20] ; [35 36],[45.42068966 28.57931034] ; [43.57931034 27.42068966],0
p3,1,0.004393,8.113818,[38 36] ; [20 51],[29.6 44.4] ; [28.4 42.6],0
a4,1,0.006579,7.384361,[23 50] ; [ 9 62],[16.22222222 56.77777778] ; [15.77777778 55.22222222],0
p8,1,0.009844,6.662939,[47 26] ; [30 40],[39.30769231 33.69230769] ; [37.69230769 32.30769231],0
p4,1,0.012802,6.196279,[46 28] ; [29 41],[38.54166667 35.45833333] ; [36.45833333 33.54166667],0
p10,1,0.015384,5.871978,[60 13] ; [45 25],[53.6013986 19.3986014] ; [51.3986014 18.6013986],0
s2,1,0.017644,5.631157,[39 34] ; [24 47],[31.9375 41.0625] ; [31.0625 39.9375],0
p9,1,0.022201,5.229963,[65  8] ; [52 18],[59.72727273 13.27272727] ; [57.27272727 12.72727273],0
p11,1,0.02286,5.179109,[62 12] ; [48 23],[56.13793103 17.86206897] ; [53.86206897 17.13793103],0
n4,1,0.031089,4.648022,[53 21] ; [38 32],[46.76388889 27.23611111] ; [44.23611111 25.76388889],0
v3,1,0.041159,4.16945,[27 46] ; [15 55],[21.44055944 51.55944056] ; [20.55944056 49.44055944],0
d2,1,0.046082,3.978595,[23 51] ; [12 59],[17.86206897 56.13793103] ; [17.13793103 53.86206897],0
d3,1,0.051573,3.789553,[39 35] ; [26 45],[33.17241379 40.82758621] ; [31.82758621 39.17241379],0
p12,1,0.05756,3.606319,[ 8 65] ; [ 2 68],[ 5.1048951 67.8951049] ; [ 4.8951049 65.1048951],0
d1,1,0.057567,3.606141,[ 8 66] ; [ 2 69],[ 5.10344828 68.89655172] ; [ 4.89655172 66.10344828],0
s5,1,0.063503,3.443449,[24 49] ; [13 55],[19.15602837 53.84397163] ; [17.84397163 50.15602837],0
v1,1,0.069892,3.285555,[37 35] ; [25 44],[31.65957447 40.34042553] ; [30.34042553 38.65957447],0
b1,1,0.071957,3.237801,[37 37] ; [25 46],[31.64137931 42.35862069] ; [30.35862069 40.64137931],0
s8,1,0.072906,3.216359,[31 42] ; [20 51],[25.85416667 47.14583333] ; [25.14583333 45.85416667],0
n5,1,0.09883,2.724324,[54 20] ; [42 28],[49.33333333 24.66666667] ; [46.66666667 23.33333333],0
p6,1,0.140331,2.174324,[29 45] ; [19 50],[24.83916084 49.16083916] ; [23.16083916 45.83916084],0
s3,1,0.169732,1.885311,[47 27] ; [36 33],[42.95104895 31.04895105] ; [40.04895105 28.95104895],0
r2,1,0.173306,1.854109,[67  7] ; [58 12],[64.23611111  9.76388889] ; [60.76388889  9.23611111],0
r3,1,0.176247,1.82899,[67  6] ; [60 11],[64.38194444  8.61805556] ; [62.61805556  8.38194444],0
s6,1,0.189779,1.719333,[45 28] ; [35 34],[41.12676056 31.87323944] ; [38.87323944 30.12676056],0
p1,1,0.230077,1.440386,[11 63] ; [ 6 65],[ 8.67586207 65.32413793] ; [ 8.32413793 62.67586207],0
v2,1,0.237591,1.39483,[34 38] ; [25 42],[30.56115108 41.43884892] ; [28.43884892 38.56115108],0
u3,1,0.255466,1.293165,[13 10] ; [18 25],[10.8030303 12.1969697] ; [20.1969697 22.8030303],0
b4,1,0.29205,1.110147,[46 28] ; [38 33],[42.86896552 31.13103448] ; [41.13103448 29.86896552],0
s1,1,0.324176,0.972024,[ 3 69] ; [ 1 69],[ 2.02816901 69.97183099] ; [ 1.97183099 68.02816901],0
n1,1,0.353235,0.861801,[5 9] ; [ 5 18],[ 3.78378378 10.21621622] ; [ 6.21621622 16.78378378],0
n6,1,0.364741,0.821503,[60 13] ; [54 17],[57.79166667 15.20833333] ; [56.20833333 14.79166667],0
n3,1,0.388741,0.742877,[11  3] ; [15  8],[9.83783784 4.16216216] ; [16.16216216  6.83783784],0
n2,1,0.388741,0.742877,[11  3] ; [15  8],[9.83783784 4.16216216] ; [16.16216216  6.83783784],0
d4,1,0.411946,0.673176,[41 33] ; [34 36],[38.54166667 35.45833333] ; [36.45833333 33.54166667],0
a1,1,0.434016,0.612054,[ 4 70] ; [ 2 69],[ 3.06206897 70.93793103] ; [ 2.93793103 68.06206897],0
u1,1,0.434016,0.612054,[ 4 70] ; [ 2 69],[ 3.06206897 70.93793103] ; [ 2.93793103 68.06206897],0
b5,1,0.587428,0.294379,[46 28] ; [41 30],[44.4 29.6] ; [42.6 28.4],0
p5,1,0.681807,0.168099,[10 64] ; [ 8 63],[ 9.1862069 64.8137931] ; [ 8.8137931 62.1862069],0
a8,1,0.807843,0.059151,[ 8 59] ; [ 7 59],[ 7.55639098 59.44360902] ; [ 7.44360902 58.55639098],0
u2,1,0.866873,0.0281,[12 11] ; [21 21],[11.67692308 11.32307692] ; [21.32307692 20.67692308],0
p7,1,0.869542,0.026975,[48 26] ; [45 23],[48.46478873 25.53521127] ; [44.53521127 23.46478873],0
v4,1,0.908667,0.013161,[69  5] ; [64  5],[68.82517483  5.17482517] ; [64.17482517  4.82517483],0
s4,1,0.946382,0.004523,[13 61] ; [12 58],[12.84722222 61.15277778] ; [12.15277778 57.84722222],0
