Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.5e-05,17.785778,[48 27] ; [71  6],[58.71710526 16.28289474] ; [60.28289474 16.71710526],1
p2,1,0.00011,14.957373,[29 47] ; [54 24],[40.96103896 35.03896104] ; [42.03896104 35.96103896],1
r4,1,0.00076,11.335923,[41 35] ; [62 16],[50.83116883 25.16883117] ; [52.16883117 25.83116883],1
b1,1,0.00373,8.410909,[43 33] ; [26 52],[34.05194805 41.94805195] ; [34.94805195 43.05194805],0
p9,1,0.00478,7.960681,[17 56] ; [34 41],[25.15540541 47.84459459] ; [25.84459459 49.15540541],0
p6,1,0.005502,7.706525,[ 7 67] ; [21 57],[13.63157895 60.36842105] ; [14.36842105 63.63157895],0
n6,1,0.011639,6.365039,[39 36] ; [56 22],[46.56862745 28.43137255] ; [48.43137255 29.56862745],0
p7,1,0.019347,5.469919,[19 56] ; [33 43],[25.82781457 49.17218543] ; [26.17218543 49.82781457],0
v4,1,0.019502,5.455938,[52 22] ; [67 11],[57.93421053 16.06578947] ; [61.06578947 16.93421053],0
n2,1,0.023347,5.1425,[19 21] ; [21  7],[23.52941176 16.47058824] ; [16.47058824 11.52941176],0
n3,1,0.024728,5.042856,[18 19] ; [22  7],[22.42424242 14.57575758] ; [17.57575758 11.42424242],0
s1,1,0.027867,4.836247,[ 7 68] ; [ 1 75],[ 3.97350993 71.02649007] ; [ 4.02649007 71.97350993],0
v2,1,0.041191,4.168151,[23 51] ; [36 40],[29.10666667 44.89333333] ; [29.89333333 46.10666667],0
d4,1,0.075523,3.158698,[48 26] ; [60 17],[52.92715232 21.07284768] ; [55.07284768 21.92715232],0
v1,1,0.09453,2.79548,[20 55] ; [30 46],[24.83443709 50.16556291] ; [25.16556291 50.83443709],0
r1,1,0.109095,2.567284,[44 30] ; [56 22],[48.68421053 25.31578947] ; [51.31578947 26.68421053],0
a1,1,0.134047,2.244999,[ 9 67] ; [ 4 74],[ 6.41558442 69.58441558] ; [ 6.58441558 71.41558442],0
